recording,monkey,analysis,embedding_fold,raw_trial_index,nfev,cost,mse,action
monkeyM_session-o080423001-5_lfp-6,M,short,3,51,1200,64.11430624150859,0.1921019649086947,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,short,4,73,1200,61.34334507162382,0.1972688483449934,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_short,1,92,1200,77.24439007347797,0.3854961214262634,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_short,3,25,1200,48.30043665112268,0.15401580547015645,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_short,3,51,1200,55.47254234574406,0.186976707491672,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_short,4,44,1200,36.37484492803756,0.12346715415108121,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_short,4,73,1200,61.31264254504522,0.19876693422158484,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_long,1,113,1200,69.5283107385726,0.300808067247651,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_long,1,116,1200,50.17079136673253,0.20237813742214614,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_long,2,146,1200,82.24295073078324,0.2902548404653304,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_long,2,189,1200,84.90573495961398,0.3675583810502199,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_long,3,113,1200,69.40661033778639,0.29381451220353966,training_median_imputation
monkeyM_session-o080423001-5_lfp-6,M,matched_long,3,205,1200,87.30284507633954,0.3526694558074192,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,short,0,97,1200,42.86288213599903,0.2069181126392899,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,short,1,34,1200,56.17378942227613,0.2237790618247855,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,short,2,52,1200,59.48051736471302,0.2645186564812171,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,short,2,91,1200,43.31490045947406,0.2060500505282714,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,short,4,72,1200,64.05500164837615,0.1865410963308263,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,matched_short,2,52,1200,59.312849882378636,0.2623286884205234,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,matched_short,2,45,1200,66.98736392967545,0.25537399479241835,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,matched_short,2,97,1200,41.0422999614773,0.18412519207081368,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,matched_short,3,70,1200,52.95788696459892,0.17641645985357282,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,matched_short,4,72,1200,64.14714712455003,0.18474862587979818,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,matched_long,1,139,1200,76.95698381683697,0.3155805001198109,training_median_imputation
monkeyM_session-o080423001-5_lfp-8,M,matched_long,3,170,1200,17.367910956711206,0.10676313623849218,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,short,0,11,1200,24.597743027490736,0.1376521697579256,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,short,0,41,1200,38.89683622255419,0.15672018961240908,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,short,0,94,1200,34.84318241319677,0.16580664479263332,training_median_imputation
