analysis,monkey,method,direction,mean,std,count
matched_short,M,peak_frequency,5,0.14183016154417954,0.10773417288374852,108
matched_short,M,peak_frequency,6,0.1489501119491495,0.11114010837691467,108
matched_short,M,peak_power,1,0.19049274662128107,0.12101132479249532,108
matched_short,M,peak_power,2,0.17910421533547863,0.11570312542051105,108
matched_short,M,peak_power,3,0.16456150905802666,0.12967451967098081,108
matched_short,M,peak_power,4,0.21094513364030987,0.13539737970848856,108
matched_short,M,peak_power,5,0.15110100217557784,0.11700295705244382,108
matched_short,M,peak_power,6,0.17251787109101546,0.12699281115817368,108
matched_short,M,power_frequency,1,0.19171908626392434,0.12707158108121003,108
matched_short,M,power_frequency,2,0.18063462011605444,0.11269105239115311,108
matched_short,M,power_frequency,3,0.19585334387431258,0.12594006609464153,108
matched_short,M,power_frequency,4,0.2164571088550352,0.11662954911752421,108
matched_short,M,power_frequency,5,0.16038034662912892,0.10289623662545115,108
matched_short,M,power_frequency,6,0.180343056296002,0.11610023263028266,108
matched_short,M,torus,1,0.1703864704902067,0.09794146446318638,108
matched_short,M,torus,2,0.167085382246756,0.09028612151770213,108
matched_short,M,torus,3,0.1744266278325626,0.09072593440991453,108
matched_short,M,torus,4,0.1761464240616078,0.09908334168934643,108
matched_short,M,torus,5,0.16686114544295555,0.10088918873523728,108
matched_short,M,torus,6,0.1765901735103851,0.0970545186449894,108
matched_short,M,torus_all_bands,1,0.1785997826393984,0.10390080276122493,108
matched_short,M,torus_all_bands,2,0.1748083794042573,0.10040092247113022,108
matched_short,M,torus_all_bands,3,0.19183521398528255,0.09642433974904217,108
matched_short,M,torus_all_bands,4,0.19595117780399715,0.09675708566687813,108
matched_short,M,torus_all_bands,5,0.17443652514775834,0.09834864569632658,108
matched_short,M,torus_all_bands,6,0.20301434585764555,0.10077005837364748,108
matched_short,M,torus_pca,1,0.16704055509402563,0.10283243724271739,108
matched_short,M,torus_pca,2,0.16100506175113535,0.09071530392887313,108
matched_short,M,torus_pca,3,0.17407679996901634,0.09005462649177136,108
matched_short,M,torus_pca,4,0.1694774649937585,0.09974128780966691,108
matched_short,M,torus_pca,5,0.16446596884936704,0.11026263854598169,108
matched_short,M,torus_pca,6,0.18311938863564253,0.1028577309363264,108
matched_short,M,torus_power_frequency,1,0.19096833829188883,0.10026750478069506,108
matched_short,M,torus_power_frequency,2,0.17789970958256052,0.10357061696596316,108
matched_short,M,torus_power_frequency,3,0.18973967951560305,0.09644706313510304,108
matched_short,M,torus_power_frequency,4,0.1997488951818997,0.11000979996166982,108
matched_short,M,torus_power_frequency,5,0.17700701363436103,0.09803190229425938,108
matched_short,M,torus_power_frequency,6,0.1890289046988293,0.09861406895034333,108
matched_short,T,all_bands,1,0.19743456344716093,0.12264013803241218,94
matched_short,T,all_bands,2,0.22337601451848557,0.12258635637688889,94
matched_short,T,all_bands,3,0.22326365513759872,0.11369235656627578,94
matched_short,T,all_bands,4,0.18851477217846258,0.10306452699725241,94
matched_short,T,all_bands,5,0.16628399124497667,0.11113243089081444,94
matched_short,T,all_bands,6,0.18987065546118437,0.10309437192507186,94
matched_short,T,peak_frequency,1,0.16301770754041997,0.08565538907454753,94
matched_short,T,peak_frequency,2,0.26905435032110836,0.13229156579966792,94
matched_short,T,peak_frequency,3,0.14043909986508146,0.09078707952032923,94
matched_short,T,peak_frequency,4,0.15510434926915628,0.10139926467736318,94
matched_short,T,peak_frequency,5,0.1958596352521079,0.12681268555930036,94
matched_short,T,peak_frequency,6,0.14205909115362683,0.09080047119256256,94
matched_short,T,peak_power,1,0.1692761923305237,0.1166869968049751,94
matched_short,T,peak_power,2,0.17851726674140259,0.1205569940258641,94
matched_short,T,peak_power,3,0.18566064752537026,0.12534970415272814,94
