analysis,monkey,method,true_direction,predicted_direction,fraction
matched_long,M,torus_power_frequency,1,3,0.14679227732101907
matched_long,M,torus_power_frequency,1,4,0.16791258156533345
matched_long,M,torus_power_frequency,1,5,0.15437043011865284
matched_long,M,torus_power_frequency,1,6,0.18237728958924307
matched_long,M,torus_power_frequency,2,1,0.18242453700676736
matched_long,M,torus_power_frequency,2,2,0.17979293613304168
matched_long,M,torus_power_frequency,2,3,0.17419382347137186
matched_long,M,torus_power_frequency,2,4,0.1441006737892948
matched_long,M,torus_power_frequency,2,5,0.158899364123069
matched_long,M,torus_power_frequency,2,6,0.16058866547645526
matched_long,M,torus_power_frequency,3,1,0.15223162960771933
matched_long,M,torus_power_frequency,3,2,0.16418080067515875
matched_long,M,torus_power_frequency,3,3,0.18490359709368032
matched_long,M,torus_power_frequency,3,4,0.18626600512601177
matched_long,M,torus_power_frequency,3,5,0.17480375603124457
matched_long,M,torus_power_frequency,3,6,0.13761421146618522
matched_long,M,torus_power_frequency,4,1,0.17175613119999522
matched_long,M,torus_power_frequency,4,2,0.15240730023973373
matched_long,M,torus_power_frequency,4,3,0.1720621406441215
matched_long,M,torus_power_frequency,4,4,0.20415688454521858
matched_long,M,torus_power_frequency,4,5,0.15617067193489348
matched_long,M,torus_power_frequency,4,6,0.1434468714360375
matched_long,M,torus_power_frequency,5,1,0.15806449486181162
matched_long,M,torus_power_frequency,5,2,0.1744068829735516
matched_long,M,torus_power_frequency,5,3,0.15204241271724714
matched_long,M,torus_power_frequency,5,4,0.1654887800450389
matched_long,M,torus_power_frequency,5,5,0.17544928641689633
matched_long,M,torus_power_frequency,5,6,0.17454814298545443
matched_long,M,torus_power_frequency,6,1,0.18197378799394193
matched_long,M,torus_power_frequency,6,2,0.15995409867894436
matched_long,M,torus_power_frequency,6,3,0.1475747677598753
matched_long,M,torus_power_frequency,6,4,0.14937739047011098
matched_long,M,torus_power_frequency,6,5,0.18062167383820907
matched_long,M,torus_power_frequency,6,6,0.1804982812589184
matched_long,T,all_bands,1,1,0.18061050005368914
matched_long,T,all_bands,1,2,0.19607212189838075
matched_long,T,all_bands,1,3,0.15453196433872482
matched_long,T,all_bands,1,4,0.16634314063686592
matched_long,T,all_bands,1,5,0.14699675637571058
matched_long,T,all_bands,1,6,0.1554455166966288
matched_long,T,all_bands,2,1,0.16906977703871245
matched_long,T,all_bands,2,2,0.23935456254032253
matched_long,T,all_bands,2,3,0.14586465172098448
matched_long,T,all_bands,2,4,0.13662204430249386
matched_long,T,all_bands,2,5,0.15540077209557068
matched_long,T,all_bands,2,6,0.15368819230191597
matched_long,T,all_bands,3,1,0.1759285885484971
matched_long,T,all_bands,3,2,0.1702923096460666
matched_long,T,all_bands,3,3,0.15609602234452932
matched_long,T,all_bands,3,4,0.18046713328282576
matched_long,T,all_bands,3,5,0.15715922093969983
matched_long,T,all_bands,3,6,0.16005672523838133
matched_long,T,all_bands,4,1,0.17511816133247887
matched_long,T,all_bands,4,2,0.1602105059872475
matched_long,T,all_bands,4,3,0.16906476549157068
matched_long,T,all_bands,4,4,0.18341642074673156
matched_long,T,all_bands,4,5,0.1643094448050199
matched_long,T,all_bands,4,6,0.14788070163695138
matched_long,T,all_bands,5,1,0.15113559965743936
matched_long,T,all_bands,5,2,0.16978029295191902
matched_long,T,all_bands,5,3,0.14622763604735764
matched_long,T,all_bands,5,4,0.17369285750605654
matched_long,T,all_bands,5,5,0.18549153424103074
matched_long,T,all_bands,5,6,0.17367207959619665
matched_long,T,all_bands,6,1,0.1717769517803494
matched_long,T,all_bands,6,2,0.18284710844941707
matched_long,T,all_bands,6,3,0.14503112140385208
matched_long,T,all_bands,6,4,0.14953121282225545
matched_long,T,all_bands,6,5,0.16503797023657438
matched_long,T,all_bands,6,6,0.1857756353075516
matched_long,T,peak_frequency,1,1,0.148800712227749
matched_long,T,peak_frequency,1,2,0.31815115123984716
matched_long,T,peak_frequency,1,3,0.13783875495605163
matched_long,T,peak_frequency,1,4,0.1353774652236962
matched_long,T,peak_frequency,1,5,0.15794625354917977
matched_long,T,peak_frequency,1,6,0.10188566280347626
matched_long,T,peak_frequency,2,1,0.18461715197686682
matched_long,T,peak_frequency,2,2,0.40842276130380745
matched_long,T,peak_frequency,2,3,0.14084245289039493
matched_long,T,peak_frequency,2,4,0.08541824525244145
matched_long,T,peak_frequency,2,5,0.08106582347181994
matched_long,T,peak_frequency,2,6,0.09963356510466938
matched_long,T,peak_frequency,3,1,0.14476930276442496
matched_long,T,peak_frequency,3,2,0.25444834595462895
matched_long,T,peak_frequency,3,3,0.11412358731008114
matched_long,T,peak_frequency,3,4,0.16422988459163818
matched_long,T,peak_frequency,3,5,0.2000660988871812
matched_long,T,peak_frequency,3,6,0.12236278049204553
matched_long,T,peak_frequency,4,1,0.11444275225154359
matched_long,T,peak_frequency,4,2,0.14361065814442373
matched_long,T,peak_frequency,4,3,0.12311059199809528
matched_long,T,peak_frequency,4,4,0.1918811780977173
matched_long,T,peak_frequency,4,5,0.29161432754248723
matched_long,T,peak_frequency,4,6,0.13534049196573286
matched_long,T,peak_frequency,5,1,0.09257853195754989
matched_long,T,peak_frequency,5,2,0.13475959332156237
matched_long,T,peak_frequency,5,3,0.11340065363881595
matched_long,T,peak_frequency,5,4,0.22649072094436518
matched_long,T,peak_frequency,5,5,0.28639644900664546
matched_long,T,peak_frequency,5,6,0.14637405113106117
matched_long,T,peak_frequency,6,1,0.119525126465283
matched_long,T,peak_frequency,6,2,0.20471601646451515
matched_long,T,peak_frequency,6,3,0.1400733090576526
matched_long,T,peak_frequency,6,4,0.17730406798129056
matched_long,T,peak_frequency,6,5,0.23117199390735665
matched_long,T,peak_frequency,6,6,0.12720948612390198
matched_long,T,peak_power,1,1,0.17736828659344547
matched_long,T,peak_power,1,2,0.2129867297108167
matched_long,T,peak_power,1,3,0.15286122010635314
matched_long,T,peak_power,1,4,0.150191766558736
matched_long,T,peak_power,1,5,0.15454668539433392
matched_long,T,peak_power,1,6,0.1520453116363147
matched_long,T,peak_power,2,1,0.1672083489748351
matched_long,T,peak_power,2,2,0.20939990166946976
matched_long,T,peak_power,2,3,0.14947702364214677
matched_long,T,peak_power,2,4,0.14775249948066096
matched_long,T,peak_power,2,5,0.16298794560118174
matched_long,T,peak_power,2,6,0.16317428063170566
matched_long,T,peak_power,3,1,0.1689695567367718
matched_long,T,peak_power,3,2,0.18557240191458718
matched_long,T,peak_power,3,3,0.1429727753227355
matched_long,T,peak_power,3,4,0.1671130345237727
matched_long,T,peak_power,3,5,0.16603702400341686
matched_long,T,peak_power,3,6,0.1693352074987159
matched_long,T,peak_power,4,1,0.1648048821745051
matched_long,T,peak_power,4,2,0.1663287701960366
matched_long,T,peak_power,4,3,0.17220412182169922
matched_long,T,peak_power,4,4,0.16802693381902425
matched_long,T,peak_power,4,5,0.16855178605410073
matched_long,T,peak_power,4,6,0.16008350593463413
matched_long,T,peak_power,5,1,0.15671173072584876
matched_long,T,peak_power,5,2,0.16976950330167523
matched_long,T,peak_power,5,3,0.16404178023804816
matched_long,T,peak_power,5,4,0.16061871626494448
matched_long,T,peak_power,5,5,0.17050355150020843
