day,difference,monkey,enhanced,baseline
2008-07-24,-0.025092537283,M,torus_all_bands,all_bands
2008-07-31,-0.026499509422,M,torus_all_bands,all_bands
2008-08-01,0.003952421386,M,torus_all_bands,all_bands
2008-08-08,-0.005546877432,M,torus_all_bands,all_bands
2008-08-28,-0.002359979209,M,torus_all_bands,all_bands
2008-08-29,-0.004168034119,M,torus_all_bands,all_bands
2008-09-04,0.001845008997,M,torus_all_bands,all_bands
2008-09-05,-0.01393813285,M,torus_all_bands,all_bands
2008-09-10,-0.031965010653,M,torus_all_bands,all_bands
2008-09-11,-0.021164938462,M,torus_all_bands,all_bands
2008-09-17,0.026517148816,M,torus_all_bands,all_bands
2008-09-18,-0.013408394779,M,torus_all_bands,all_bands
2008-09-19,0.035095522496,M,torus_all_bands,all_bands
2008-09-25,-0.000395623913,M,torus_all_bands,all_bands
2008-09-26,-0.02580009816,M,torus_all_bands,all_bands
2008-09-30,-0.058558727135,M,torus_all_bands,all_bands
2008-10-01,-0.011711192593,M,torus_all_bands,all_bands
2008-10-02,-0.035558122687,M,torus_all_bands,all_bands
2008-10-03,-0.026117608482,M,torus_all_bands,all_bands
2008-10-08,0.03199127031,M,torus_all_bands,all_bands
2008-10-28,0.119349936966,M,torus_all_bands,all_bands
2008-10-31,0.018287680087,M,torus_all_bands,all_bands
2008-11-07,0.033826579681,M,torus_all_bands,all_bands
2008-11-13,-0.015346823951,M,torus_all_bands,all_bands
2008-11-27,-0.084439858453,M,torus_all_bands,all_bands
2008-12-02,-0.015121213404,M,torus_all_bands,all_bands
2007-01-30,-0.001977858703,T,torus,power_frequency
2007-02-01,-0.048505397974,T,torus,power_frequency
2007-02-02,-0.02632894734,T,torus,power_frequency
2007-02-06,0.031823770017,T,torus,power_frequency
2007-02-07,-0.019369817386,T,torus,power_frequency
2007-02-08,0.004691607155,T,torus,power_frequency
2007-02-09,-0.010834584938,T,torus,power_frequency
2007-02-13,-0.044176362236,T,torus,power_frequency
2007-02-14,-0.01637426837,T,torus,power_frequency
2007-02-15,-0.062326287165,T,torus,power_frequency
2007-02-28,-0.011124151122,T,torus,power_frequency
2007-03-01,-0.010332910524,T,torus,power_frequency
2007-03-06,0.031441832676,T,torus,power_frequency
2007-03-07,-0.023905146472,T,torus,power_frequency
2007-03-08,0.041669426938,T,torus,power_frequency
2007-03-12,-0.029625023188,T,torus,power_frequency
2007-03-14,-0.033943878757,T,torus,power_frequency
2007-03-15,-0.050739857757,T,torus,power_frequency
2007-03-16,-0.063410176924,T,torus,power_frequency
2007-04-12,-0.020315016367,T,torus,power_frequency
2007-04-13,-0.079054637636,T,torus,power_frequency
2007-04-16,-0.032900554774,T,torus,power_frequency
2007-04-19,-0.103821257438,T,torus,power_frequency
2007-04-20,-0.001462632396,T,torus,power_frequency
2007-04-23,-0.002399437339,T,torus,power_frequency
2007-04-24,-0.072858738461,T,torus,power_frequency
2007-04-25,-0.04093171203,T,torus,power_frequency
2007-04-26,-0.011849595076,T,torus,power_frequency
2007-05-02,-0.020929700698,T,torus,power_frequency
2007-05-03,-0.052053594401,T,torus,power_frequency
2007-01-30,0.032296156888,T,torus,all_bands
2007-02-01,-0.08286264726,T,torus,all_bands
2007-02-02,-0.047492458712,T,torus,all_bands
2007-02-06,0.011741158634,T,torus,all_bands
2007-02-07,-0.023468250736,T,torus,all_bands
2007-02-08,0.015522904952,T,torus,all_bands
2007-02-09,-0.007421714401,T,torus,all_bands
2007-02-13,-0.032631984404,T,torus,all_bands
2007-02-14,-0.003368289799,T,torus,all_bands
2007-02-15,-0.003603450984,T,torus,all_bands
2007-02-28,0.0460913616,T,torus,all_bands
2007-03-01,-0.035918934889,T,torus,all_bands
2007-03-06,-0.000340837393,T,torus,all_bands
2007-03-07,-0.023891998039,T,torus,all_bands
2007-03-08,-0.101571297097,T,torus,all_bands
2007-03-12,-0.008537197167,T,torus,all_bands
2007-03-14,0.013452896371,T,torus,all_bands
2007-03-15,-0.012442723283,T,torus,all_bands
2007-03-16,-0.040670947665,T,torus,all_bands
2007-04-12,-0.002830911079,T,torus,all_bands
2007-04-13,-0.010433693392,T,torus,all_bands
2007-04-16,0.018944188819,T,torus,all_bands
2007-04-19,-0.081122493977,T,torus,all_bands
2007-04-20,0.026472868482,T,torus,all_bands
2007-04-23,0.002106218981,T,torus,all_bands
2007-04-24,-0.028526254088,T,torus,all_bands
2007-04-25,-0.006725963629,T,torus,all_bands
2007-04-26,0.021694266096,T,torus,all_bands
2007-05-02,-0.009443413718,T,torus,all_bands
2007-05-03,-0.026250196767,T,torus,all_bands
2007-01-30,0.00462284577,T,torus_power_frequency,power_frequency
2007-02-01,-0.022449500058,T,torus_power_frequency,power_frequency
2007-02-02,-0.030189802625,T,torus_power_frequency,power_frequency
2007-02-06,0.034291919423,T,torus_power_frequency,power_frequency
2007-02-07,-0.011334880467,T,torus_power_frequency,power_frequency
2007-02-08,0.003391598614,T,torus_power_frequency,power_frequency
2007-02-09,0.004294857207,T,torus_power_frequency,power_frequency
2007-02-13,0.017656375627,T,torus_power_frequency,power_frequency
2007-02-14,0.00814001708,T,torus_power_frequency,power_frequency
2007-02-15,-0.011733391477,T,torus_power_frequency,power_frequency
2007-02-28,0.027287123349,T,torus_power_frequency,power_frequency
2007-03-01,0.010937147503,T,torus_power_frequency,power_frequency
2007-03-06,0.034252669876,T,torus_power_frequency,power_frequency
2007-03-07,0.000953807504,T,torus_power_frequency,power_frequency
2007-03-08,0.096751364927,T,torus_power_frequency,power_frequency
2007-03-12,0.003192971184,T,torus_power_frequency,power_frequency
2007-03-14,-0.023069407431,T,torus_power_frequency,power_frequency
2007-03-15,-0.022535353009,T,torus_power_frequency,power_frequency
2007-03-16,-0.018018519108,T,torus_power_frequency,power_frequency
2007-04-12,0.014184360762,T,torus_power_frequency,power_frequency
2007-04-13,-0.038028968873,T,torus_power_frequency,power_frequency
2007-04-16,-0.005862734061,T,torus_power_frequency,power_frequency
2007-04-19,-0.004685014781,T,torus_power_frequency,power_frequency
2007-04-20,0.014633161529,T,torus_power_frequency,power_frequency
2007-04-23,0.017510136274,T,torus_power_frequency,power_frequency
2007-04-24,-0.031424081177,T,torus_power_frequency,power_frequency
2007-04-25,0.00878905087,T,torus_power_frequency,power_frequency
2007-04-26,-0.007273360196,T,torus_power_frequency,power_frequency
2007-05-02,-0.019343248076,T,torus_power_frequency,power_frequency
2007-05-03,-0.027027430474,T,torus_power_frequency,power_frequency
2007-01-30,0.025176864742,T,torus_all_bands,all_bands
2007-02-01,-0.067506254037,T,torus_all_bands,all_bands
2007-02-02,-0.024143694637,T,torus_all_bands,all_bands
2007-02-06,-0.000616185051,T,torus_all_bands,all_bands
2007-02-07,0.025473328869,T,torus_all_bands,all_bands
2007-02-08,0.030628580982,T,torus_all_bands,all_bands
2007-02-09,0.002836951373,T,torus_all_bands,all_bands
2007-02-13,0.055526397638,T,torus_all_bands,all_bands
2007-02-14,0.014461362143,T,torus_all_bands,all_bands
2007-02-15,0.001410613453,T,torus_all_bands,all_bands
2007-02-28,0.052099874744,T,torus_all_bands,all_bands
2007-03-01,-0.01974162701,T,torus_all_bands,all_bands
2007-03-06,-0.005513995397,T,torus_all_bands,all_bands
2007-03-07,-0.002214091368,T,torus_all_bands,all_bands
2007-03-08,-0.035517846795,T,torus_all_bands,all_bands
2007-03-12,0.015332369961,T,torus_all_bands,all_bands
2007-03-14,0.026731183774,T,torus_all_bands,all_bands
2007-03-15,0.010270700765,T,torus_all_bands,all_bands
2007-03-16,-0.017402453681,T,torus_all_bands,all_bands
2007-04-12,0.01951790422,T,torus_all_bands,all_bands
2007-04-13,-0.025294048331,T,torus_all_bands,all_bands
2007-04-16,0.017463634001,T,torus_all_bands,all_bands
2007-04-19,-0.036576786464,T,torus_all_bands,all_bands
2007-04-20,0.035065415981,T,torus_all_bands,all_bands
2007-04-23,-0.000201667325,T,torus_all_bands,all_bands
2007-04-24,-0.007028469422,T,torus_all_bands,all_bands
2007-04-25,0.025656426433,T,torus_all_bands,all_bands
2007-04-26,0.008903544003,T,torus_all_bands,all_bands
2007-05-02,-0.00157053936,T,torus_all_bands,all_bands
2007-05-03,0.012405053428,T,torus_all_bands,all_bands
