recording,monkey,day,analysis,method,true_direction,predicted_direction,fraction
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,5,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,5,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,5,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,5,6,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,6,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,6,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,6,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,6,4,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,6,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,6,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,1,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,1,2,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,1,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,1,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,1,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,1,6,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,2,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,2,2,0.4166666666666667
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,2,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,2,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,2,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,2,6,0.041666666666666664
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,3,1,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,3,2,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,3,3,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,3,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,3,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,3,6,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,4,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,4,2,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,4,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,4,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,4,5,0.375
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,4,6,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,5,1,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,5,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,5,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,5,4,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,5,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,5,6,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,6,1,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,6,2,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,6,3,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,6,4,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,6,5,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,6,6,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,1,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,1,2,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,1,3,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,1,4,0.125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,1,5,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,1,6,0.25
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,2,1,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,2,2,0.375
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,2,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,2,4,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,2,5,0.08333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,2,6,0.0
