recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_short,power_frequency,0.17541998231653402,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_short,torus,0.1358688178597409,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_short,torus_all_bands,0.16107873354250166,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_short,torus_pca,0.14797929388869213,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,matched_short,torus_power_frequency,0.1495748611498137,90
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,short,all_bands,0.17019823364717632,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,short,peak_frequency,0.14952712979028768,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,short,peak_power,0.16740408076199342,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,short,power_frequency,0.20598344650068787,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,short,torus,0.16590410090339347,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,short,torus_all_bands,0.18830437580437578,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,short,torus_pca,0.18554756054756052,96
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,short,torus_power_frequency,0.19505934505934505,96
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_long,all_bands,0.10853143504005575,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_long,peak_frequency,0.20677228953091023,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_long,peak_power,0.24192675280984788,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_long,power_frequency,0.16632903740289137,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_long,torus,0.14421599905470875,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_long,torus_all_bands,0.11219282232213267,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_long,torus_pca,0.13637495826401372,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_long,torus_power_frequency,0.11932622511370139,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_short,all_bands,0.12230743113096054,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_short,peak_frequency,0.12748711278123045,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_short,peak_power,0.14259259259259258,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_short,power_frequency,0.152981552981553,90
