row_index,original_trial_number,direction,R2
174,67,6,1.1247580741464835
175,458,6,1.5040694117846938
176,90,6,1.4507245811491514
177,77,6,1.3753359361906117
178,292,6,1.391998419670062
179,649,6,1.3502658113399937
180,524,6,1.324313774656864
181,105,6,1.199717455213421
182,372,6,1.7701719516237715
183,617,6,1.2313850418823673
184,527,6,0.8294854404046844
185,555,6,1.5974882603692055
186,342,6,1.205040585744401
187,211,6,1.5583113503691357
188,539,6,1.228045052516726
189,24,6,1.5092091671355694
190,538,6,1.1418495657879428
191,642,6,1.4862108225643451
192,379,6,1.4679676067415173
193,483,6,1.0125619469977925
194,9,6,1.223824371903392
195,113,6,1.4089291900820742
196,187,6,1.3924219598543468
197,376,6,1.517590560143856
