recording,outer_fold,family,horizon_ms,trial_index,status,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,monkey,day,raw_trial_index,original_trial_number
monkeyT_session-y070316009-12_lfp-8,0,ar,1,154,ok,2.1184621508328352e-11,3.232246300041295e-11,0.9999999999676776,0.9999999999838614,0.0227725191687914,0.9772274808312084,0.988651994399984,0.022772519136469,0.9999999985806374,T,2007-03-16,155,194
monkeyT_session-y070316009-12_lfp-8,0,ar,1,167,ok,3.3930232597564694e-11,2.118034797674064e-11,0.9999999999788196,0.9999999999894426,0.0218933631068203,0.9781066368931796,0.9890402714097108,0.02189336308564,0.9999999990325676,T,2007-03-16,187,650
monkeyT_session-y070316009-12_lfp-8,0,ar,1,170,ok,1.9432793392430022e-11,2.1737019310605404e-11,0.9999999999782628,0.9999999999892664,0.0263493655111108,0.9736506344888892,0.9868382733056912,0.0263493654893737,0.9999999991750458,T,2007-03-16,188,642
monkeyT_session-y070316009-12_lfp-8,0,ar,1,178,ok,2.017183567695336e-11,2.080306111729329e-11,0.999999999979197,0.9999999999896104,0.0160205275013175,0.9839794724986825,0.9920408017415694,0.0160205274805145,0.9999999987014746,T,2007-03-16,182,289
monkeyT_session-y070316009-12_lfp-8,0,ar,1,184,ok,2.714601422757241e-11,2.9364667378123776e-11,0.9999999999706354,0.9999999999853544,0.0257638960749645,0.9742361039250356,0.9871803776830792,0.0257638960455998,0.9999999988602396,T,2007-03-16,194,113
monkeyT_session-y070316009-12_lfp-8,0,ar,1,185,ok,2.1823671421380485e-11,1.928312807838701e-11,0.9999999999807168,0.9999999999903676,0.0219220257536206,0.9780779742463792,0.989065653117788,0.0219220257343375,0.9999999991203764,T,2007-03-16,200,211
monkeyT_session-y070316009-12_lfp-8,0,ar,1,191,ok,1.814521131382704e-11,2.2844168958945448e-11,0.9999999999771558,0.9999999999886336,0.0225260400421056,0.9774739599578944,0.988743348274276,0.0225260400192614,0.9999999989858772,T,2007-03-16,185,550
monkeyT_session-y070316009-12_lfp-8,0,ar,1,192,ok,2.0097588004093604e-11,1.8024450596960534e-11,0.9999999999819756,0.999999999990988,0.0212584972707887,0.9787415027292112,0.9893951006304936,0.0212584972527643,0.9999999991521296,T,2007-03-16,171,100
monkeyT_session-y070316009-12_lfp-8,0,ar,10,5,ok,0.0030233230472462,0.0038131540008716,0.9961868459991284,0.9981993105498984,2.015214549875393,-1.015214549875393,-0.0359083168269665,2.0114013958745214,0.9981078173531908,T,2007-03-16,0,601
monkeyT_session-y070316009-12_lfp-8,0,ar,10,7,ok,0.0021654159565547,0.0032209822169948,0.9967790177830052,0.998425272590202,1.9839500732798323,-0.9839500732798324,0.0202667040967611,1.9807290910628377,0.9983764802046304,T,2007-03-16,16,205
monkeyT_session-y070316009-12_lfp-8,0,ar,10,12,ok,0.002458505385003,0.0050783111274916,0.9949216888725084,0.9975551212710922,2.0765664536303245,-1.0765664536303243,-0.0246301797038797,2.071488142502833,0.9975544673185808,T,2007-03-16,9,389
monkeyT_session-y070316009-12_lfp-8,0,ar,10,16,ok,0.0034887164586794,0.002106332202374,0.997893667797626,0.9989499305640214,1.321307332658095,-0.3213073326580951,0.3515361841608818,1.319201000455721,0.9984058726154672,T,2007-03-16,15,56
monkeyT_session-y070316009-12_lfp-8,0,ar,10,22,ok,0.0019492274753592,0.0027897305574874,0.9972102694425125,0.9986557469356904,1.87982623401882,-0.8798262340188197,0.0548901869066715,1.877036503461332,0.9985159635997188,T,2007-03-16,7,382
monkeyT_session-y070316009-12_lfp-8,0,ar,10,25,ok,0.0045034131572736,0.0018829824066237,0.9981170175933762,0.9991049480058948,0.7899295706934716,0.2100704293065284,0.5804755731106501,0.7880465882868478,0.9976162654539308,T,2007-03-16,21,156
monkeyT_session-y070316009-12_lfp-8,0,ar,10,27,ok,0.0032500330416206,0.0015958184246371,0.9984041815753628,0.9992126371939796,1.7099383937147683,-0.7099383937147685,0.1278298099062204,1.7083425752901311,0.9990667392284408,T,2007-03-16,2,684
