row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,feature_0
133,158,45,5,4,short,5.807997183121874
134,136,410,5,0,short,5.757287803119476
135,169,142,5,3,short,5.919448218416715
136,166,706,5,3,short,5.049349790610058
137,165,328,5,1,short,5.70186524251591
138,154,143,5,3,short,5.499037988319766
139,145,44,5,2,short,5.758653980193487
140,139,164,5,4,short,5.943254815141078
141,152,560,5,2,short,5.520566167579263
142,155,194,5,0,short,5.656628575357991
143,149,243,5,1,short,5.0950545827297695
144,141,403,5,1,short,5.89411169587902
145,167,568,5,0,short,5.392113725730812
146,138,581,5,2,short,5.3104689207861275
147,163,63,5,2,short,5.631438252025997
148,143,294,5,3,short,5.738852983270832
149,146,367,5,1,short,5.7899400346440935
150,151,436,5,4,short,5.395219427274969
151,162,241,5,1,short,5.5321722470390196
152,150,457,5,0,short,5.416121269554311
153,156,36,5,3,short,5.706337865409883
154,147,485,5,4,short,5.764087649783596
155,159,700,5,4,short,5.848701357946987
156,168,6,5,4,short,5.587952466373471
157,161,157,5,0,short,5.8363022121963235
158,157,476,5,4,short,5.883755328853159
159,142,271,5,2,short,6.009222238794302
160,135,399,5,1,short,5.657175117184127
161,137,300,5,3,short,5.545095343407037
162,148,446,5,2,short,5.431609219803257
163,144,542,5,3,short,5.673153837427491
164,140,693,5,0,short,5.497666937764008
165,190,258,6,0,short,5.782115815933764
166,185,550,6,3,short,5.731354217273893
167,171,100,6,3,short,5.793691814397519
168,178,129,6,4,short,5.972084285789406
169,186,186,6,4,short,5.554282193574057
170,187,650,6,1,short,5.516859339295494
171,176,438,6,3,short,5.876956256474923
172,193,290,6,1,short,5.417646978891688
173,182,289,6,2,short,5.820837945488407
174,199,67,6,2,short,5.258391483739892
175,174,458,6,3,short,5.848284157389424
176,180,90,6,2,short,5.430858178356969
177,198,77,6,2,short,5.76428094687256
178,172,292,6,4,short,5.944569532068461
179,183,649,6,1,short,5.675198304751129
180,184,524,6,0,short,5.5830086444034945
181,177,105,6,4,short,5.784130850081885
182,195,372,6,3,short,5.856360828319774
183,175,617,6,3,short,5.406238522488082
184,196,527,6,4,short,5.477909551620591
185,179,555,6,1,short,5.070082893907115
186,202,342,6,0,short,5.832090287130314
187,200,211,6,2,short,5.5891925061746095
188,192,539,6,4,short,5.803112615483476
189,189,24,6,0,short,5.391560860058204
190,181,538,6,1,short,5.786031350919929
191,188,642,6,0,short,5.681088994947494
192,197,379,6,2,short,5.953359351552321
193,170,483,6,1,short,5.587944899078037
194,201,9,6,0,short,5.543685547296458
195,194,113,6,2,short,5.667787770701145
196,173,187,6,0,short,5.724302181144539
197,191,376,6,1,short,5.701593231904912
