row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
65,40,117,2,1,short,3.829074079443158,1.5921526777357813,0.008692630586448756,0.009771677926135168,0.9089068825910931,-0.4375793171072676,0.7824703928592422,-0.4430174099723855,0.5544120290025695,0.6226749974222202,0.5521803597399062,0.7079206476273959,-0.0039914764112198575,-0.7062806982913149
66,87,663,3,4,short,6.47569419934022,1.735489363922348,0.011674616034178586,0.00871429324760699,0.9331983805668016,-0.4337905222165422,0.8027905264678837,-0.40908819764021265,0.5658321206113028,0.5960556698195594,0.5696943476641421,0.7011845649467875,0.015652766189223233,-0.7128079662791444
67,77,14,3,4,short,3.7117412040180255,1.2379847786117524,0.007420158002092179,0.009745122325841352,0.8967611336032388,-0.4305304707490635,0.7921605532764047,-0.4325796707999698,0.5622340641165835,0.6103056078392395,0.5580501072367301,0.7060710806310788,-0.00295345099788602,-0.7081348079452554
68,76,540,3,0,short,4.038996615458417,1.1424432523265307,0.0055531275307763245,0.0065543224381468725,0.9129554655870445,-0.4287058752007812,0.7964098761998244,-0.4265472795127318,0.5658012108841691,0.6047563033946085,0.5604808678862252,0.7043296545867852,-0.0010595262471942146,-0.7098722526439467
69,85,128,3,1,short,,,,,,,,,,,,,,
70,68,420,3,2,short,3.351100002620685,1.1505067842288408,0.005880716254399929,0.011412842202337813,0.8805668016194332,-0.4344919644521066,0.7876437052863479,-0.436845655065198,0.5581096760511642,0.616126612368388,0.5557891569916767,0.7069160645540697,-0.0023218643903023806,-0.7072936353602648
71,83,503,3,3,short,4.064116532888532,1.39942298092939,0.006785619366402186,0.010184438024314289,0.8906882591093117,-0.43329947055280443,0.7909507279436739,-0.4320283726609072,0.5574599929018645,0.6118755570540213,0.5611119843611293,0.7081595336733895,0.002290992187557378,-0.7060487421009147
72,84,636,3,2,short,4.477049340562913,1.3780837621610194,0.006086785706480211,0.009135550501276424,0.888663967611336,-0.4263215301835683,0.7969322288355563,-0.42795908162478985,0.5635968219898586,0.6040679100494344,0.5634364048332696,0.7075369779346324,-0.0009913080757821269,-0.7066756272600793
73,72,307,3,3,short,3.887727743599786,1.4631702471025778,0.009325600526738859,0.011514920710372802,0.8866396761133604,-0.4333363702403967,0.790630750476057,-0.43257670606326565,0.5582830514586511,0.6122922596884744,0.5598376757414588,0.707488250560315,0.0010977828786919996,-0.7067242532925104
74,69,612,3,3,short,4.0163195416600965,1.0253196822691286,0.006874091141054267,0.009705193694249907,0.8805668016194332,-0.42257195767481526,0.8010202254416233,-0.4240277573701102,0.5672442113503018,0.5986353212939292,0.5655702934108974,0.7068712367018822,-0.0015331447306827228,-0.7073405857087423
75,99,609,3,2,short,5.084321778904226,1.4588984905083795,0.006581599353015148,0.00840813764274516,0.9048582995951417,-0.4292689156599393,0.7948300632236072,-0.42892116833294264,0.5619074123242149,0.6068320033860187,0.5621520965375969,0.7070984783064128,0.00030043712761293473,-0.7071150201447342
76,93,46,3,4,short,3.4202310114227763,1.089063914842,0.007591389293354426,0.007932245211130626,0.9048582995951417,-0.426403448953735,0.7984187085200974,-0.42509724135244525,0.5653395446236444,0.6021026154890999,0.5637939691996673,0.7060958136153264,7.941211909509582e-05,-0.708116300962367
77,89,615,3,0,short,4.021045152621225,1.3182717181026848,0.007990708173930338,0.008779699258511076,0.9109311740890689,-0.43298385322898536,0.7915501146399683,-0.4312463319918601,0.56006048831625,0.6111038921573899,0.5593606014165214,0.7062982601351528,0.0006700772658553011,-0.7079140616815813
78,82,510,3,4,short,4.381450340967027,1.2555360512824791,0.009200152838947567,0.008661004660798825,0.902834008097166,-0.4202581093769341,0.7996299006551114,-0.4289232372828752,0.5706558951721696,0.6004206570231874,0.5602203887088489,0.7055033457101212,-0.00933041253861211,-0.708645166916197
79,96,43,3,0,short,3.7663494654357033,1.3699758474029191,0.007593836391888093,0.01040549817080488,0.8906882591093117,-0.43566748663007593,0.7852498091093706,-0.4399733837257996,0.5541082619219965,0.6191775307604911,0.5564020304340427,0.7093362215220769,-0.0013866127931720373,-0.7048689255044125
80,86,147,3,3,short,3.661839604240635,1.463562641221524,0.01329318059634619,0.009291828008317684,0.917004048582996,-0.4297069319347119,0.7926652823027077,-0.43247393317889754,0.5622062885998057,0.6096495878794588,0.5587946573270346,0.7065946799305022,-0.003021627107159669,-0.7076120604282663
81,94,406,3,4,short,5.517447598965513,1.5957467755917456,0.0074526080309405855,0.009120117270423793,0.9109311740890689,-0.4234327586216051,0.8022336192161484,-0.420863302184281,0.5633757404049192,0.5969914316869659,0.5711470963031815,0.7094451874875934,0.004738216089047176,-0.7047446879962891
82,74,200,3,1,short,3.596435616882279,1.2964215442791212,0.007810671969312224,0.011788545870412424,0.9068825910931174,-0.4278412732683229,0.7968988173903093,-0.4265021919405183,0.5630708838447438,0.6041117705148501,0.5639150188563098,0.7070382059368783,0.0011151535049456762,-0.7071744705362468
