row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,feature_0
169,186,186,6,4,short,4.232220810835575
170,187,650,6,1,short,4.101371016572795
171,176,438,6,3,short,4.327748363516847
172,193,290,6,1,short,4.075747891212288
173,182,289,6,2,short,4.317960311469676
174,199,67,6,2,short,3.92068912161808
175,174,458,6,3,short,4.277202246446942
176,180,90,6,2,short,4.189336782851372
177,198,77,6,2,short,4.245537877642686
178,172,292,6,4,short,4.471047394479163
179,183,649,6,1,short,4.112774017310647
180,184,524,6,0,short,4.074801959968111
181,177,105,6,4,short,4.249674531920919
182,195,372,6,3,short,4.270628571128534
183,175,617,6,3,short,3.9265902233615964
184,196,527,6,4,short,4.183331001601422
185,179,555,6,1,short,4.012249179316815
186,202,342,6,0,short,4.2304059219243015
187,200,211,6,2,short,4.160213703899328
188,192,539,6,4,short,4.305835851038292
189,189,24,6,0,short,3.941885019877992
190,181,538,6,1,short,4.234247057182888
191,188,642,6,0,short,4.176642675712985
192,197,379,6,2,short,4.424971922996921
193,170,483,6,1,short,4.098569960425751
194,201,9,6,0,short,4.062961389154836
195,194,113,6,2,short,4.188870179386361
196,173,187,6,0,short,4.2755775483564324
197,191,376,6,1,short,4.274390864785936
