analysis_set,analysis_label,monkey,source_monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,relevant_band,relevant_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1434677640489737
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1808768111843229
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080506002-22,monkeyM_session-o080506002-22_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1409452676273534
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1753191079366469
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.155599327406181
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507002-11,monkeyM_session-o080507002-11_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1522866476889509
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.2168065537190069
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1539807841449041
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507012-23,monkeyM_session-o080507012-23_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1407837452475822
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1794041459837133
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1397752910023379
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1711730833675525
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1577200674992963
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1468882001525653
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1118594839582174
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1840631346606945
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1836058485264046
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1572148417659831
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1495582595754548
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1441567127037451
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1795348376144629
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.0922913800915412
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1716754857138521
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1684495054060271
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1978456208038785
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1593764309044842
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1194486013059077
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1318076354277089
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1886181572540598
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.141431619629294
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1669121965048701
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1394476372924649
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1727711901624945
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1249302930797389
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1928864480012256
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1322221616121668
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.2411819401256021
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1392165242165242
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1496166231368723
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1691165977545697
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1317751818760251
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1396074447704482
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1822504713029494
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.136838341631271
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1540775079612336
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1748697102355638
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.193613014737691
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1774336896071691
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1309755012990604
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.2261496849962695
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1741260620639672
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1720969830012383
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.135412658329325
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1459992077639136
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1797889082010712
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1443608374769115
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1758224706943469
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.2055751655751655
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1291778321531684
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1807256599856908
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1348737865427907
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1690035521635026
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1311003859303522
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1656415942551406
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1908702298670804
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.2032998820104146
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1635996162340248
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1322558485234348
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1823347716908012
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080523010-18,monkeyM_session-o080523010-18_lfp-8,8,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1426232267889685
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080523010-18,monkeyM_session-o080523010-18_lfp-8,8,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1778185538402746
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080523010-18,monkeyM_session-o080523010-18_lfp-8,8,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.151010419328776
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080527006-16,monkeyM_session-o080527006-16_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1759066973879798
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080527006-16,monkeyM_session-o080527006-16_lfp-1,1,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1356786621247745
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080527006-16,monkeyM_session-o080527006-16_lfp-1,1,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1260620232655506
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080527006-16,monkeyM_session-o080527006-16_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1194643405694219
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080527006-16,monkeyM_session-o080527006-16_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1515639924435471
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080527006-16,monkeyM_session-o080527006-16_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.181337294149205
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080528006-15,monkeyM_session-o080528006-15_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1824141732563536
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080528006-15,monkeyM_session-o080528006-15_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1615848686989567
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080528006-15,monkeyM_session-o080528006-15_lfp-2,2,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1158016286684896
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080528006-15,monkeyM_session-o080528006-15_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1248968316641991
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080528006-15,monkeyM_session-o080528006-15_lfp-4,4,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1455635699613443
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080528006-15,monkeyM_session-o080528006-15_lfp-4,4,relevant_band,Relevant band,beta,beta,Beta (13-30 Hz),0.1070089998796462
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080528016-25,monkeyM_session-o080528016-25_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,beta,Beta (13-30 Hz),0.1432741659451017
full_6_direction_lfps,Full 6-direction LFPs,M+T,M,o080528016-25,monkeyM_session-o080528016-25_lfp-2,2,average_psd,Average PSD,average_psd,beta,Beta (13-30 Hz),0.1590016366612111
