analysis_epoch,target,lfp_uid,monkey,session_id,lfp_id,feature_set,feature_label,source_relevant_band,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id,torus_fit_success_fraction,cache_path
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,low_gamma,Low gamma (30-55 Hz),beta,ok,0.15853658536585366,0.14049121933384026,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,average_psd,Average PSD,beta,ok,0.16260162601626016,0.12081341666292571,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,all_band_power,All band power,beta,ok,0.14634146341463414,0.1446653549067568,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,torus_features,Torus features,beta,ok,0.13821138211382114,0.137084646933709,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,torus_plus_relevant_band,Torus + Relevant band,beta,ok,0.16666666666666666,0.1662900340203781,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,torus_plus_average_psd,Torus + Average PSD,beta,ok,0.14634146341463414,0.1451963595668522,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,torus_plus_all_band_power,Torus + All band power,beta,ok,0.1951219512195122,0.19637033845009014,6,246,41,10,10.0,7,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7,0.9806949806949808,nonlinear_refit/monkeyM_session-o080417003-14_lfp-1_movement_tau10_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,delta,Delta (2-4 Hz),beta,ok,0.14634146341463414,0.13639865366808593,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,theta,Theta (4-8 Hz),beta,ok,0.2032520325203252,0.17692855048560732,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,alpha,Alpha (8-13 Hz),beta,ok,0.15853658536585366,0.14135748670231427,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
