analysis_level,analysis_label,monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,selected_band,selected_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17940414598371335
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13977529100233793
full_6_direction_lfps,Full 6-direction LFPs,M,o080507012-23,monkeyM_session-o080507012-23_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15553103738932458
full_6_direction_lfps,Full 6-direction LFPs,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.15772006749929635
full_6_direction_lfps,Full 6-direction LFPs,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1468882001525653
full_6_direction_lfps,Full 6-direction LFPs,M,o080509001-9,monkeyM_session-o080509001-9_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.11661161434270677
full_6_direction_lfps,Full 6-direction LFPs,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.18406313466069454
full_6_direction_lfps,Full 6-direction LFPs,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.18360584852640463
full_6_direction_lfps,Full 6-direction LFPs,M,o080509010-19,monkeyM_session-o080509010-19_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.13124855521062154
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.14955825957545488
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.14415671270374517
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1822787248676114
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.09229138009154125
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.17167548571385213
full_6_direction_lfps,Full 6-direction LFPs,M,o080513001-9,monkeyM_session-o080513001-9_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14795321611065643
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.19784562080387855
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.15937643090448425
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.13370946076555515
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.13180763542770893
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.18861815725405986
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1406669806408355
full_6_direction_lfps,Full 6-direction LFPs,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1669121965048701
full_6_direction_lfps,Full 6-direction LFPs,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1394476372924649
full_6_direction_lfps,Full 6-direction LFPs,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.16505120087209638
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.12493029307973892
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.19288644800122565
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14106174477411315
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.24118194012560212
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13921652421652422
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.10955987690861958
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1691165977545697
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1317751818760251
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15410407523520994
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.18225047130294947
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13683834163127107
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15071924701046044
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17486971023556389
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.19361301473769102
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.06251885369532428
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.13097550129906044
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.22614968499626953
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.11577620173364851
full_6_direction_lfps,Full 6-direction LFPs,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17209698300123832
full_6_direction_lfps,Full 6-direction LFPs,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.135412658329325
full_6_direction_lfps,Full 6-direction LFPs,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1496997918566546
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1797889082010712
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1443608374769115
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15255250528233297
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.20557516557516556
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.12917783215316847
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.12200587997331329
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.13487378654279072
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1690035521635026
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14671118114472612
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1656415942551406
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.19087022986708047
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14158669856837613
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.16359961623402483
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13225584852343483
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-4,4,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.10720390965062332
full_6_direction_lfps,Full 6-direction LFPs,M,o080523010-18,monkeyM_session-o080523010-18_lfp-8,8,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.14262322678896858
