lfp_uid,monkey,session_id,lfp_id,source_cell_id,twodir,source_pair_index,n_trials,n_samples,sampling_rate_hz,go_sample_zero_based,n_directions,n_delay_types,has_all_6_directions,has_short_and_long,converted_path,direction_1_count,direction_2_count,direction_3_count,direction_4_count,direction_5_count,direction_6_count,short_delay_count,long_delay_count,unknown_delay_count
monkeyM_session-o080828001-6_lfp-6,M,o080828001-6,6,Spi5-1,,382,252,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080828001-6_lfp-6.npz,42,42,42,42,40,44,130,122,0
monkeyM_session-o080828001-6_lfp-5,M,o080828001-6,5,Spi6-2,,383,252,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080828001-6_lfp-5.npz,42,42,42,42,40,44,130,122,0
monkeyM_session-o080828007-12_lfp-5,M,o080828007-12,5,Spi6-1,,386,204,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080828007-12_lfp-5.npz,29,34,37,37,35,32,111,93,0
monkeyM_session-o080829001-5_lfp-5,M,o080829001-5,5,Spi7-1,,391,242,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080829001-5_lfp-5.npz,39,41,40,41,40,41,121,121,0
monkeyM_session-o080829006-8_lfp-5,M,o080829006-8,5,Spi7-1,3,395,118,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080829006-8_lfp-5.npz,0,0,59,0,0,59,60,58,0
monkeyM_session-o080903002-5_lfp-7,M,o080903002-5,7,Spi5-1,,400,122,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080903002-5_lfp-7.npz,18,21,19,20,21,23,63,59,0
monkeyM_session-o080903002-5_lfp-5,M,o080903002-5,5,Spi6-1,,402,122,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080903002-5_lfp-5.npz,18,21,19,20,21,23,63,59,0
monkeyM_session-o080903006-12_lfp-7,M,o080903006-12,7,Spi5-1,,404,209,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080903006-12_lfp-7.npz,31,35,35,37,35,36,102,107,0
monkeyM_session-o080903006-12_lfp-5,M,o080903006-12,5,Spi6-1,,407,209,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080903006-12_lfp-5.npz,31,35,35,37,35,36,102,107,0
monkeyM_session-o080904001-7_lfp-6,M,o080904001-7,6,Spi5-1,,411,205,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080904001-7_lfp-6.npz,32,35,36,35,35,32,104,101,0
monkeyM_session-o080904001-7_lfp-5,M,o080904001-7,5,Spi6-1,,414,205,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080904001-7_lfp-5.npz,32,35,36,35,35,32,104,101,0
monkeyM_session-o080904008-14_lfp-6,M,o080904008-14,6,Spi5-1,,419,191,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080904008-14_lfp-6.npz,32,32,32,32,32,31,95,96,0
monkeyM_session-o080904008-14_lfp-5,M,o080904008-14,5,Spi6-3,,420,191,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080904008-14_lfp-5.npz,32,32,32,32,32,31,95,96,0
monkeyM_session-o080905001-6_lfp-5,M,o080905001-6,5,Spi7-1,,423,286,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080905001-6_lfp-5.npz,48,50,47,48,47,46,143,143,0
monkeyM_session-o080905008-11_lfp-6,M,o080905008-11,6,Spi5-1,3,429,76,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080905008-11_lfp-6.npz,0,0,40,0,0,36,44,32,0
monkeyM_session-o080905008-11_lfp-5,M,o080905008-11,5,Spi6-2,3,430,76,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o080905008-11_lfp-5.npz,0,0,40,0,0,36,44,32,0
monkeyM_session-o080910001-5_lfp-7,M,o080910001-5,7,Spi5-1,,436,193,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080910001-5_lfp-7.npz,33,32,32,32,32,32,96,97,0
monkeyM_session-o080910001-5_lfp-5,M,o080910001-5,5,Spi7-1,,437,193,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080910001-5_lfp-5.npz,33,32,32,32,32,32,96,97,0
monkeyM_session-o080910006-11_lfp-7,M,o080910006-11,7,Spi5-1,,439,241,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080910006-11_lfp-7.npz,39,42,41,40,39,40,121,120,0
monkeyM_session-o080910006-11_lfp-5,M,o080910006-11,5,Spi7-1,,442,241,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080910006-11_lfp-5.npz,39,42,41,40,39,40,121,120,0
monkeyM_session-o080911001-5_lfp-6,M,o080911001-5,6,Spi5-1,,443,249,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080911001-5_lfp-6.npz,41,39,44,43,42,40,124,125,0
monkeyM_session-o080911001-5_lfp-5,M,o080911001-5,5,SpN6-4,,445,249,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080911001-5_lfp-5.npz,41,39,44,43,42,40,124,125,0
monkeyM_session-o080911006-11_lfp-6,M,o080911006-11,6,Spi5-1,,447,237,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080911006-11_lfp-6.npz,37,40,39,38,45,38,128,109,0
monkeyM_session-o080911006-11_lfp-5,M,o080911006-11,5,Spi6-1,,450,237,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080911006-11_lfp-5.npz,37,40,39,38,45,38,128,109,0
monkeyM_session-o080912004-7_lfp-5,M,o080912004-7,5,Spi6-2,,454,152,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080912004-7_lfp-5.npz,28,28,25,23,24,24,72,80,0
monkeyM_session-o080912008-13_lfp-6,M,o080912008-13,6,Spi5-1,,459,190,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080912008-13_lfp-6.npz,31,31,34,29,34,31,94,96,0
monkeyM_session-o080912008-13_lfp-5,M,o080912008-13,5,Spi6-1,,460,190,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080912008-13_lfp-5.npz,31,31,34,29,34,31,94,96,0
monkeyM_session-o080917001-8_lfp-6,M,o080917001-8,6,Spi5-2,,466,206,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080917001-8_lfp-6.npz,35,34,35,33,33,36,100,106,0
monkeyM_session-o080917001-8_lfp-5,M,o080917001-8,5,Spi6-1,,467,206,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080917001-8_lfp-5.npz,35,34,35,33,33,36,100,106,0
monkeyM_session-o080918001-5_lfp-6,M,o080918001-5,6,Spi5-1,,472,243,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080918001-5_lfp-6.npz,40,40,41,41,40,41,121,122,0
monkeyM_session-o080918001-5_lfp-5,M,o080918001-5,5,Spi6-2,,473,243,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080918001-5_lfp-5.npz,40,40,41,41,40,41,121,122,0
monkeyM_session-o080918006-11_lfp-5,M,o080918006-11,5,Spi6-1,,477,210,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080918006-11_lfp-5.npz,33,39,37,35,32,34,108,102,0
monkeyM_session-o080919001-6_lfp-7,M,o080919001-6,7,SpN5-1,,484,274,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080919001-6_lfp-7.npz,46,46,44,45,48,45,140,134,0
monkeyM_session-o080919001-6_lfp-5,M,o080919001-6,5,Spi7-1,,485,274,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080919001-6_lfp-5.npz,46,46,44,45,48,45,140,134,0
monkeyM_session-o080919007-12_lfp-7,M,o080919007-12,7,Spi5-1,,490,268,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080919007-12_lfp-7.npz,44,47,45,45,43,44,137,131,0
monkeyM_session-o080919007-12_lfp-5,M,o080919007-12,5,Spi7-1,,492,268,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080919007-12_lfp-5.npz,44,47,45,45,43,44,137,131,0
monkeyM_session-o080925002-6_lfp-7,M,o080925002-6,7,Spi6-1,,495,222,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080925002-6_lfp-7.npz,38,39,36,36,37,36,111,111,0
monkeyM_session-o080925002-6_lfp-6,M,o080925002-6,6,Spi7-1,,496,222,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080925002-6_lfp-6.npz,38,39,36,36,37,36,111,111,0
monkeyM_session-o080925007-12_lfp-7,M,o080925007-12,7,Spi6-1,,501,284,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080925007-12_lfp-7.npz,47,48,47,48,48,46,141,143,0
monkeyM_session-o080925007-12_lfp-6,M,o080925007-12,6,Spi7-1,,502,284,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080925007-12_lfp-6.npz,47,48,47,48,48,46,141,143,0
monkeyM_session-o080926001-6_lfp-5,M,o080926001-6,5,Spi7-1,,505,219,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080926001-6_lfp-5.npz,36,39,34,36,38,36,116,103,0
monkeyM_session-o080926007-11_lfp-6,M,o080926007-11,6,Spi5-1,,508,232,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080926007-11_lfp-6.npz,39,40,37,40,37,39,118,114,0
monkeyM_session-o080926007-11_lfp-5,M,o080926007-11,5,Spi8-1,,509,232,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080926007-11_lfp-5.npz,39,40,37,40,37,39,118,114,0
monkeyM_session-o080930001-5_lfp-1,M,o080930001-5,1,Spi3-1,,511,226,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o080930001-5_lfp-1.npz,40,36,36,40,37,37,112,114,0
