lfp_uid,monkey,session_id,lfp_id,freq_hz,band,median_residual_log_psd,prominence,bootstrap_support,included_for_order,exclusion_reason
monkeyM_session-o080416002-18_lfp-1,M,o080416002-18,1,22.0,beta,0.29035671918049033,0.36633639693209563,1.0,True,
monkeyM_session-o080416002-18_lfp-1,M,o080416002-18,1,37.0,low_gamma,0.41227863881808824,0.6201771124290045,1.0,True,
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,5.0,theta,0.20679187545540068,0.2739244835466172,1.0,True,
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,21.0,beta,0.236811456266853,0.2972352894869649,1.0,True,
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,33.0,low_gamma,0.20028744043778077,0.14358574792194317,0.8833333333333333,True,
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2,47.0,low_gamma,0.04421440702966916,0.043901508692442984,0.7083333333333334,True,
monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,17.0,beta,0.13116821308868534,0.16367213140717496,1.0,True,
monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,33.0,low_gamma,0.8987839732450782,1.0803745084132885,1.0,True,
monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,1,47.0,low_gamma,-0.31287354949861385,0.09017646349866931,0.8833333333333333,True,
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,5.0,theta,0.08039257525746982,0.12107981412129082,0.9666666666666667,True,
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,17.0,beta,0.15063311650833847,0.110696834801608,0.9333333333333333,True,
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,33.0,low_gamma,0.8567854843823348,0.9936603903710691,1.0,True,
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,47.0,low_gamma,-0.2665334702682792,0.15206669700468334,1.0,True,
monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,16.0,beta,0.5290870868193738,0.6564078736240191,1.0,True,
monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,30.0,low_gamma,0.2167403701380422,0.05207760764353936,0.7666666666666667,True,
monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,53.0,low_gamma,0.023710720039917477,0.13809098513124546,0.6666666666666666,True,
monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,6,5.0,theta,0.22390885648824965,0.38713347536822107,1.0,True,
monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,6,19.0,beta,0.38570954424921666,0.603359887172465,1.0,True,
