lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,delay,torus_geometry_15,ok,0.6375,0.6374433505235193,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,condition,torus_geometry_15,ok,0.3875,0.386774628879892,4,80,20
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,torus_geometry_15,ok,0.5875,0.5869191049913942,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,delay,torus_geometry_15,ok,0.45,0.44965603502188867,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,condition,torus_geometry_15,ok,0.3,0.29758077288565093,4,80,20
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,direction,torus_geometry_15,ok,0.525,0.5247029393370857,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,delay,torus_geometry_15,ok,0.4625,0.46039215686274515,2,80,40
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,condition,torus_geometry_15,ok,0.2,0.20126720126720127,4,80,20
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,direction,torus_geometry_15,ok,0.5875,0.5874355368026254,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,delay,torus_geometry_15,ok,0.8875,0.8870588235294118,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,condition,torus_geometry_15,ok,0.425,0.42355889724310775,4,80,20
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,direction,torus_geometry_15,ok,0.6,0.6,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,delay,torus_geometry_15,ok,0.5125,0.5087387812942843,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,peri_go,condition,torus_geometry_15,ok,0.325,0.32350399884059616,4,80,20
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,direction,torus_geometry_15,ok,0.575,0.5739348370927319,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,delay,torus_geometry_15,ok,0.525,0.5223130106851037,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,movement,condition,torus_geometry_15,ok,0.3375,0.3303553267226036,4,80,20
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,direction,torus_geometry_15,ok,0.625,0.6228786926461345,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,delay,torus_geometry_15,ok,0.3875,0.38277436624153677,2,80,40
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,post_go,condition,torus_geometry_15,ok,0.2875,0.27746669399467105,4,80,20
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,direction,torus_geometry_15,ok,0.5116279069767442,0.5092391304347825,2,86,43
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,delay,torus_geometry_15,ok,0.6555555555555556,0.6551724137931034,2,90,45
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,pre_go,condition,torus_geometry_15,ok,0.3333333333333333,0.3192678736619532,4,84,21
