lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_fit_success_fraction,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,beta,ok,0.6190476190476191,0.6188315371525808,2,84,42,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,low_gamma,ok,0.6071428571428571,0.6070871722182849,2,84,42,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,average_psd,ok,0.5595238095238095,0.5594613749114103,2,84,42,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,all_band_power,ok,0.5714285714285714,0.5704545454545455,2,84,42,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,torus_nonlinear_15,ok,0.5952380952380952,0.5952380952380952,2,84,42,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,delta,ok,0.4090909090909091,0.4063310845874416,2,88,44,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,theta,ok,0.42045454545454547,0.42037969779155365,2,88,44,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,alpha,ok,0.4431818181818182,0.44310990572129666,2,88,44,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,beta,ok,0.5227272727272727,0.5227272727272727,2,88,44,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,low_gamma,ok,0.4431818181818182,0.43729609813389014,2,88,44,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
