lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,direction,torus_geometry_15,ok,0.43,0.42994299429942995,2,100,50,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,delay,torus_geometry_15,ok,0.3877551020408163,0.38545150501672243,2,98,49,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,movement,condition,torus_geometry_15,ok,0.2708333333333333,0.26738577506474287,4,96,24,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,direction,torus_geometry_15,ok,0.4,0.3997599039615846,2,100,50,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,delay,torus_geometry_15,ok,0.5918367346938775,0.5911556111806424,2,98,49,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2,post_go,condition,torus_geometry_15,ok,0.16666666666666666,0.16627768128528006,4,96,24,13,13.0,9,pertrace_unsupervised_movement_signal,pertrace_tau13_embed9
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,direction,torus_geometry_15,ok,0.4824561403508772,0.48241631396691037,2,114,57,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,delay,torus_geometry_15,ok,0.6785714285714286,0.6784688995215311,2,112,56,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,pre_go,condition,torus_geometry_15,ok,0.3333333333333333,0.3332336523125997,4,108,27,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,direction,torus_geometry_15,ok,0.543859649122807,0.5437192118226601,2,114,57,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,delay,torus_geometry_15,ok,0.5714285714285714,0.5712918660287081,2,112,56,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,peri_go,condition,torus_geometry_15,ok,0.35185185185185186,0.35196360243530056,4,108,27,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,direction,torus_geometry_15,ok,0.4649122807017544,0.4648711042708734,2,114,57,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,delay,torus_geometry_15,ok,0.5803571428571429,0.5800558436378142,2,112,56,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,movement,condition,torus_geometry_15,ok,0.25,0.2453025263290588,4,108,27,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,direction,torus_geometry_15,ok,0.4473684210526316,0.4473258945748365,2,114,57,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,delay,torus_geometry_15,ok,0.625,0.6248803827751196,2,112,56,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,1,post_go,condition,torus_geometry_15,ok,0.21296296296296297,0.20800962344227286,4,108,27,15,15.0,7,pertrace_unsupervised_movement_signal,pertrace_tau15_embed7
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,direction,torus_geometry_15,ok,0.4824561403508772,0.4814586385012721,2,114,57,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,delay,torus_geometry_15,ok,0.5178571428571429,0.5153846153846154,2,112,56,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,pre_go,condition,torus_geometry_15,ok,0.3148148148148148,0.3103062124704744,4,108,27,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,direction,torus_geometry_15,ok,0.49122807017543857,0.4898148148148148,2,114,57,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,delay,torus_geometry_15,ok,0.5,0.4993614303959132,2,112,56,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,peri_go,condition,torus_geometry_15,ok,0.26851851851851855,0.263990484686292,4,108,27,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,direction,torus_geometry_15,ok,0.4824561403508772,0.48241631396691037,2,114,57,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,delay,torus_geometry_15,ok,0.5267857142857143,0.5264459513362585,2,112,56,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,movement,condition,torus_geometry_15,ok,0.2777777777777778,0.26970566864183887,4,108,27,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,direction,torus_geometry_15,ok,0.47368421052631576,0.4722222222222222,2,114,57,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,delay,torus_geometry_15,ok,0.4732142857142857,0.47216231328380864,2,112,56,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2,post_go,condition,torus_geometry_15,ok,0.25,0.23147763872703095,4,108,27,8,8.0,9,pertrace_unsupervised_movement_signal,pertrace_tau8_embed9
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,direction,torus_geometry_15,ok,0.4625,0.46241600250039067,2,80,40,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,delay,torus_geometry_15,ok,0.75,0.7493734335839599,2,80,40,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,pre_go,condition,torus_geometry_15,ok,0.3,0.30319388214125054,4,80,20,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
