lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_fit_success_fraction
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,delta,ok,0.5813953488372093,0.5811688311688312,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,theta,ok,0.4069767441860465,0.40689655172413797,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,alpha,ok,0.4418604651162791,0.44065040650406506,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,beta,ok,0.686046511627907,0.6856640043319344,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,low_gamma,ok,0.6046511627906976,0.6046511627906976,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,average_psd,ok,0.5581395348837209,0.5579004329004329,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,all_band_power,ok,0.6511627906976745,0.6511627906976745,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,torus_nonlinear_15,ok,0.627906976744186,0.6277056277056277,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,delta,ok,0.46511627906976744,0.4648268398268398,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,theta,ok,0.6162790697674418,0.6158115608501422,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,alpha,ok,0.5465116279069767,0.5449735449735449,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,beta,ok,0.686046511627907,0.6856640043319344,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,low_gamma,ok,0.4418604651162791,0.4391304347826087,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,average_psd,ok,0.7093023255813954,0.7089481521591986,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,all_band_power,ok,0.6627906976744186,0.6627450980392157,2,86,43,1.0
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,torus_nonlinear_15,ok,0.5697674418604651,0.5692432651956139,2,86,43,1.0
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,delta,ok,0.5480769230769231,0.5470299323510333,2,104,52,1.0
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,theta,ok,0.4230769230769231,0.4222222222222222,2,104,52,1.0
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,alpha,ok,0.4423076923076923,0.4421013688494266,2,104,52,1.0
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,beta,ok,0.6153846153846154,0.6148148148148148,2,104,52,1.0
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,low_gamma,ok,0.5384615384615384,0.5384615384615384,2,104,52,1.0
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,average_psd,ok,0.5865384615384616,0.5865002311604253,2,104,52,1.0
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,all_band_power,ok,0.6730769230769231,0.6730769230769231,2,104,52,1.0
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,torus_nonlinear_15,ok,0.46153846153846156,0.461339252682205,2,104,52,1.0
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,delta,ok,0.47619047619047616,0.475,2,84,42,1.0
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,theta,ok,0.5714285714285714,0.5714285714285714,2,84,42,1.0
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,alpha,ok,0.5238095238095238,0.5194508009153318,2,84,42,1.0
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,beta,ok,0.6190476190476191,0.6188315371525808,2,84,42,1.0
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,low_gamma,ok,0.6071428571428571,0.6070871722182849,2,84,42,1.0
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,average_psd,ok,0.5595238095238095,0.5594613749114103,2,84,42,1.0
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,all_band_power,ok,0.5714285714285714,0.5704545454545455,2,84,42,1.0
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,torus_nonlinear_15,ok,0.6190476190476191,0.6190476190476191,2,84,42,1.0
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,delta,ok,0.4090909090909091,0.4063310845874416,2,88,44,0.9886363636363636
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,theta,ok,0.42045454545454547,0.42037969779155365,2,88,44,0.9886363636363636
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,alpha,ok,0.4431818181818182,0.44310990572129666,2,88,44,0.9886363636363636
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,beta,ok,0.5227272727272727,0.5227272727272727,2,88,44,0.9886363636363636
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,low_gamma,ok,0.4431818181818182,0.43729609813389014,2,88,44,0.9886363636363636
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,average_psd,ok,0.4318181818181818,0.43064182194616973,2,88,44,0.9886363636363636
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,all_band_power,ok,0.3409090909090909,0.3405684754521964,2,88,44,0.9886363636363636
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,torus_nonlinear_15,ok,0.3181818181818182,0.3178294573643411,2,88,44,0.9886363636363636
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,delta,ok,0.5948275862068966,0.5947974730583426,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,theta,ok,0.43103448275862066,0.43103448275862066,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,alpha,ok,0.5689655172413793,0.5684523809523809,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,beta,ok,0.5948275862068966,0.5945564066334499,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,low_gamma,ok,0.49137931034482757,0.4910388934334796,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,average_psd,ok,0.47413793103448276,0.4693663292088489,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,all_band_power,ok,0.5517241379310345,0.550521609538003,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,torus_nonlinear_15,ok,0.5344827586206896,0.532258064516129,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,delta,ok,0.5517241379310345,0.551590841510556,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,theta,ok,0.5172413793103449,0.5172413793103449,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,alpha,ok,0.6206896551724138,0.6206896551724138,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,beta,ok,0.5603448275862069,0.5600505689001264,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,low_gamma,ok,0.5689655172413793,0.5688373476063039,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,average_psd,ok,0.41379310344827586,0.41361879274457325,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,all_band_power,ok,0.5948275862068966,0.5940734122552305,2,116,58,0.9915254237288136
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,torus_nonlinear_15,ok,0.5431034482758621,0.5427976500334648,2,116,58,0.9915254237288136
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,movement,direction,delta,ok,0.5083333333333333,0.5082991874435725,2,120,60,0.9833333333333333
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,movement,direction,theta,ok,0.49166666666666664,0.49134875964144253,2,120,60,0.9833333333333333
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,movement,direction,alpha,ok,0.49166666666666664,0.4916313632891173,2,120,60,0.9833333333333333
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,movement,direction,beta,ok,0.5666666666666667,0.5666666666666667,2,120,60,0.9833333333333333
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,movement,direction,low_gamma,ok,0.5916666666666667,0.591411298728372,2,120,60,0.9833333333333333
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,movement,direction,average_psd,ok,0.425,0.4249600666712966,2,120,60,0.9833333333333333
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,movement,direction,all_band_power,ok,0.55,0.5498749652681301,2,120,60,0.9833333333333333
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,1,movement,direction,torus_nonlinear_15,ok,0.5583333333333333,0.5583026599069381,2,120,60,0.9833333333333333
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,movement,direction,delta,ok,0.5833333333333334,0.5828698553948832,2,120,60,0.9916666666666667
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,movement,direction,theta,ok,0.5166666666666667,0.5154553049289892,2,120,60,0.9916666666666667
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,movement,direction,alpha,ok,0.4583333333333333,0.45829571498020694,2,120,60,0.9916666666666667
