lfp_uid,epoch,n_trials,n_samples_per_epoch
monkeyT_session-y070424001-6_lfp-8,movement,262,1000
monkeyT_session-y070424007-15_lfp-5,movement,358,1000
monkeyT_session-y070424007-15_lfp-8,movement,324,1000
monkeyT_session-y070425001-6_lfp-6,movement,318,1000
monkeyT_session-y070425001-6_lfp-8,movement,315,1000
monkeyT_session-y070425007-12_lfp-5,movement,300,1000
monkeyT_session-y070425007-12_lfp-6,movement,294,1000
monkeyT_session-y070425007-12_lfp-7,movement,300,1000
monkeyT_session-y070425007-12_lfp-8,movement,300,1000
monkeyT_session-y070426001-5_lfp-5,movement,257,1000
monkeyT_session-y070426006-13_lfp-7,movement,277,1000
monkeyT_session-y070426006-13_lfp-8,movement,277,1000
monkeyT_session-y070502002-7_lfp-6,movement,284,1000
monkeyT_session-y070502002-7_lfp-7,movement,284,1000
monkeyT_session-y070502008-15_lfp-5,movement,266,1000
monkeyT_session-y070502008-15_lfp-6,movement,266,1000
monkeyT_session-y070502008-15_lfp-7,movement,266,1000
monkeyT_session-y070502008-15_lfp-8,movement,266,1000
monkeyT_session-y070503001-7_lfp-5,movement,307,1000
monkeyT_session-y070503001-7_lfp-6,movement,307,1000
monkeyT_session-y070503011-16_lfp-5,movement,261,1000
monkeyT_session-y070503011-16_lfp-6,movement,261,1000
monkeyT_session-y070503011-16_lfp-8,movement,260,1000
