lfp_uid,epoch,n_trials,n_samples_per_epoch
monkeyM_session-o080801008-10_lfp-7,movement,122,1000
monkeyM_session-o080801011-14_lfp-7,movement,147,1000
monkeyM_session-o080806001-5_lfp-7,movement,169,1000
monkeyM_session-o080807001-3_lfp-5,movement,105,1000
monkeyM_session-o080807004-6_lfp-5,movement,132,1000
monkeyM_session-o080808001-5_lfp-5,movement,209,1000
monkeyM_session-o080808001-5_lfp-6,movement,209,1000
monkeyM_session-o080808006-12_lfp-5,movement,280,1000
monkeyM_session-o080808006-12_lfp-6,movement,280,1000
monkeyM_session-o080828001-6_lfp-5,movement,252,1000
monkeyM_session-o080828001-6_lfp-6,movement,252,1000
monkeyM_session-o080828007-12_lfp-5,movement,204,1000
monkeyM_session-o080829001-5_lfp-5,movement,242,1000
monkeyM_session-o080829006-8_lfp-5,movement,118,1000
monkeyM_session-o080903002-5_lfp-5,movement,122,1000
monkeyM_session-o080903002-5_lfp-7,movement,122,1000
monkeyM_session-o080903006-12_lfp-5,movement,209,1000
monkeyM_session-o080903006-12_lfp-7,movement,209,1000
monkeyM_session-o080904001-7_lfp-5,movement,205,1000
monkeyM_session-o080904001-7_lfp-6,movement,205,1000
monkeyM_session-o080904008-14_lfp-5,movement,191,1000
monkeyM_session-o080904008-14_lfp-6,movement,191,1000
monkeyM_session-o080905001-6_lfp-5,movement,286,1000
monkeyM_session-o080905008-11_lfp-5,movement,76,1000
monkeyM_session-o080905008-11_lfp-6,movement,76,1000
monkeyM_session-o080910001-5_lfp-5,movement,193,1000
monkeyM_session-o080910001-5_lfp-7,movement,193,1000
monkeyM_session-o080910006-11_lfp-5,movement,241,1000
monkeyM_session-o080910006-11_lfp-7,movement,241,1000
monkeyM_session-o080911001-5_lfp-5,movement,249,1000
monkeyM_session-o080911001-5_lfp-6,movement,249,1000
monkeyM_session-o080911006-11_lfp-5,movement,237,1000
monkeyM_session-o080911006-11_lfp-6,movement,237,1000
monkeyM_session-o080912004-7_lfp-5,movement,152,1000
monkeyM_session-o080912008-13_lfp-5,movement,190,1000
monkeyM_session-o080912008-13_lfp-6,movement,190,1000
monkeyM_session-o080917001-8_lfp-5,movement,206,1000
monkeyM_session-o080917001-8_lfp-6,movement,206,1000
monkeyM_session-o080918001-5_lfp-5,movement,243,1000
monkeyM_session-o080918001-5_lfp-6,movement,243,1000
monkeyM_session-o080918006-11_lfp-5,movement,210,1000
monkeyM_session-o080919001-6_lfp-5,movement,274,1000
monkeyM_session-o080919001-6_lfp-7,movement,274,1000
monkeyM_session-o080919007-12_lfp-5,movement,268,1000
monkeyM_session-o080919007-12_lfp-7,movement,268,1000
