target,epoch,feature_set,mean_accuracy,std_accuracy,mean_f1,std_f1,n_lfps,mean_balanced_trials
delay,post_go,torus_geometry_15,0.5455460478832889,0.05947421018511333,0.5450267930793484,0.05966159227058319,341,200.08797653958945
delay,pre_go,all_band_power,0.7793983474371887,0.08862063599732128,0.7791389675153901,0.0887122489338918,341,200.08797653958945
delay,pre_go,alpha,0.6626345433389729,0.09788177285823774,0.6621950493961645,0.09821898005567198,341,200.08797653958945
delay,pre_go,average_psd,0.6532651604088726,0.10632549987563053,0.652531729316372,0.10630197903986673,341,200.08797653958945
delay,pre_go,beta,0.6513513636627868,0.10395977825363338,0.6507261887500011,0.10415553447718184,341,200.08797653958945
delay,pre_go,delta,0.6156620126679035,0.10441443928496073,0.6149488005893641,0.10485688224077952,341,200.08797653958945
delay,pre_go,low_gamma,0.6000013264424223,0.09482956075628282,0.5989938799099953,0.09485795040585876,341,200.08797653958945
delay,pre_go,theta,0.6484637135783661,0.10996464631494997,0.6479716043672278,0.11035410079100233,341,200.08797653958945
delay,pre_go,torus_geometry_15,0.6646465466982016,0.09801257424230453,0.6639667707705854,0.09814232770169697,341,200.08797653958945
direction,movement,all_band_power,0.32908908540170057,0.17380058004573956,0.321676124298556,0.1778064173063409,341,195.8533724340176
direction,movement,alpha,0.2802173686461829,0.1634245331706596,0.25939479805654975,0.17535382173673925,341,195.8533724340176
direction,movement,average_psd,0.293112989839311,0.1648215980528574,0.27038743278534355,0.17762729482343065,341,195.8533724340176
direction,movement,beta,0.2941558889458802,0.17068569114219484,0.2734903395646912,0.18274204973893232,341,195.8533724340176
direction,movement,delta,0.2995212142535107,0.16500912583058186,0.27724894933695315,0.17733798118503732,341,195.8533724340176
direction,movement,low_gamma,0.29428644340161375,0.17244373262160118,0.2720690163613354,0.18508802642214708,341,195.8533724340176
direction,movement,theta,0.292601823567085,0.16929344951248015,0.2711702687369643,0.18138670482372024,341,195.8533724340176
direction,movement,torus_geometry_15,0.2985243768128259,0.16664893801149883,0.2956013673940871,0.16787855940020735,341,195.8533724340176
direction,peri_go,all_band_power,0.3225335864141853,0.17356863772557596,0.31655214075677607,0.17661077944292292,341,195.87683284457478
direction,peri_go,alpha,0.28251211944482557,0.1655875588850012,0.26169978596686344,0.17748898439261407,341,195.87683284457478
direction,peri_go,average_psd,0.2869218379695111,0.16865690789365317,0.2671370125687741,0.17975230769164083,341,195.87683284457478
direction,peri_go,beta,0.287543584480137,0.16909549335978863,0.2672026324580261,0.1806264865690004,341,195.87683284457478
direction,peri_go,delta,0.29084324824690183,0.1673669765184518,0.26946967570427927,0.17911312293045314,341,195.87683284457478
direction,peri_go,low_gamma,0.2870514560656955,0.16690299808368297,0.26539869475739136,0.17925127637911523,341,195.87683284457478
direction,peri_go,theta,0.2872889032718103,0.16797432664214365,0.26607418677140626,0.18034577826688614,341,195.87683284457478
direction,peri_go,torus_geometry_15,0.2924894492617794,0.166516061824085,0.2898778012531769,0.1677279710962808,341,195.87683284457478
direction,post_go,all_band_power,0.3196061743474317,0.17042794241385203,0.31275320113658295,0.1739955698546144,341,195.87683284457478
direction,post_go,alpha,0.280607372734906,0.16752931053227685,0.2604012690996438,0.17917136368773895,341,195.87683284457478
direction,post_go,average_psd,0.2902241975647651,0.17172490591359443,0.26945311813404466,0.18345785402476353,341,195.87683284457478
direction,post_go,beta,0.29169998938194275,0.1638738618763605,0.27005274481038294,0.17624230008234548,341,195.87683284457478
direction,post_go,delta,0.29207272519655963,0.165089360086169,0.2702913751233015,0.17688457810347458,341,195.87683284457478
direction,post_go,low_gamma,0.29140639112959166,0.17091659662983522,0.2699459371391358,0.18302711286531181,341,195.87683284457478
direction,post_go,theta,0.2833310785176645,0.1649292280120468,0.2614842862199226,0.1775642683332465,341,195.87683284457478
direction,post_go,torus_geometry_15,0.2959827250305366,0.1664118441605393,0.293292061400789,0.16760926868829273,341,195.87683284457478
direction,pre_go,all_band_power,0.2832419214067454,0.16808966626631253,0.2777395555534322,0.17100565932946565,341,195.87683284457478
direction,pre_go,alpha,0.268469722572641,0.1626237454795767,0.24985376273308058,0.17307791953637489,341,195.87683284457478
direction,pre_go,average_psd,0.2647387242322593,0.16559189626097778,0.24807483614443482,0.17495940437045296,341,195.87683284457478
direction,pre_go,beta,0.2645569147927402,0.15911275491038449,0.24558900171913575,0.16982276585855735,341,195.87683284457478
direction,pre_go,delta,0.2693464014845325,0.15889867891384488,0.2499246862342615,0.16995066389689806,341,195.87683284457478
direction,pre_go,low_gamma,0.26805838442334545,0.16038266210526822,0.24869375890800816,0.1710833778379728,341,195.87683284457478
direction,pre_go,theta,0.26940699852746414,0.1671823079643449,0.25082445932039527,0.17759580708103176,341,195.87683284457478
direction,pre_go,torus_geometry_15,0.2772337416313311,0.15792346032412774,0.2744884329942003,0.15902095025804738,341,195.87683284457478
