lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,delta,ok,0.375,0.3283333333333333,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,theta,ok,0.225,0.20325435729847494,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,alpha,ok,0.35,0.3325356125356125,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,beta,ok,0.2,0.19151583710407238,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,low_gamma,ok,0.275,0.21721491228070175,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,average_psd,ok,0.25,0.2337092731829574,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,all_band_power,ok,0.3,0.29734848484848486,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,movement,condition,torus_geometry_15,ok,0.175,0.18374269005847954,4,40,10
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,delta,ok,0.5,0.4987468671679198,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,theta,ok,0.425,0.40683430045132174,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,alpha,ok,0.6,0.6,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,beta,ok,0.625,0.6247654784240151,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,low_gamma,ok,0.625,0.6228786926461345,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,average_psd,ok,0.575,0.5747342088805503,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,all_band_power,ok,0.475,0.47203016970458833,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,direction,torus_geometry_15,ok,0.675,0.6747967479674797,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,delay,delta,ok,0.625,0.6247654784240151,2,40,20
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,1,post_go,delay,theta,ok,0.35,0.3350383631713555,2,40,20
