lfp_uid,monkey,session_id,lfp_id,epoch_for_selection,status,n_trials_used,n_samples_per_epoch,torus_tau,torus_tau_ms,tau_method,robust_peak_count,selected_mode_count_K,torus_embedding_dim,embedding_dim_method,included_peak_frequencies_hz,dominant_peak_hz,embedding_adjustment,torus_param_source,torus_param_id
monkeyM_session-o080513010-18_lfp-1,M,o080513010-18,1,movement,ok,225,1000,15,15.0,ami_first_local_minimum,2,2,5,psd_peak_count,"16.0, 32.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau15_embed5
monkeyM_session-o080513010-18_lfp-2,M,o080513010-18,2,movement,ok,225,1000,18,18.0,ami_first_local_minimum,2,2,5,psd_peak_count,"33.0, 53.0",33.0,,pertrace_unsupervised_movement_signal,pertrace_tau18_embed5
monkeyM_session-o080514007-17_lfp-1,M,o080514007-17,1,movement,ok,198,1000,11,11.0,ami_first_local_minimum,3,3,7,psd_peak_count,"17.0, 33.0, 47.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau11_embed7
monkeyM_session-o080515002-11_lfp-1,M,o080515002-11,1,movement,ok,245,1000,8,8.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 32.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau8_embed7
monkeyM_session-o080515002-11_lfp-2,M,o080515002-11,2,movement,ok,245,1000,14,14.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 31.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080515012-24_lfp-1,M,o080515012-24,1,movement,ok,292,1000,10,10.0,ami_first_local_minimum,3,3,7,psd_peak_count,"17.0, 32.0, 47.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau10_embed7
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2,movement,ok,292,1000,11,11.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 32.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau11_embed7
monkeyM_session-o080516002-14_lfp-1,M,o080516002-14,1,movement,ok,167,1000,17,17.0,ami_first_local_minimum,2,2,5,psd_peak_count,"5.0, 18.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau17_embed5
monkeyM_session-o080516002-14_lfp-4,M,o080516002-14,4,movement,ok,167,1000,14,14.0,ami_first_local_minimum,3,3,7,psd_peak_count,"18.0, 34.0, 47.0",18.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080516015-26_lfp-5,M,o080516015-26,5,movement,ok,155,1000,18,18.0,ami_first_local_minimum,1,1,3,psd_peak_count,19.0,19.0,,pertrace_unsupervised_movement_signal,pertrace_tau18_embed3
