analysis_level,analysis_label,monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,selected_band,selected_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.15937643090448425
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.13370946076555515
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.17311622790514924
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.18861815725405986
full_6_direction_lfps,Full 6-direction LFPs,M,o080513010-18,monkeyM_session-o080513010-18_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1406669806408355
full_6_direction_lfps,Full 6-direction LFPs,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.11093124683147058
full_6_direction_lfps,Full 6-direction LFPs,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1394476372924649
full_6_direction_lfps,Full 6-direction LFPs,M,o080514007-17,monkeyM_session-o080514007-17_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.16505120087209638
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.19871023081792993
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.19288644800122565
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14106174477411315
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.22453132321037297
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13921652421652422
full_6_direction_lfps,Full 6-direction LFPs,M,o080515002-11,monkeyM_session-o080515002-11_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.10955987690861958
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1656364846877714
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1317751818760251
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15410407523520994
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.18882283848087864
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.13683834163127107
full_6_direction_lfps,Full 6-direction LFPs,M,o080515012-24,monkeyM_session-o080515012-24_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15071924701046044
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.14283872423407307
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.19361301473769102
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.06251885369532428
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.14817506804594324
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.22614968499626953
full_6_direction_lfps,Full 6-direction LFPs,M,o080516002-14,monkeyM_session-o080516002-14_lfp-4,4,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.11577620173364851
full_6_direction_lfps,Full 6-direction LFPs,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1660341817886575
full_6_direction_lfps,Full 6-direction LFPs,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.135412658329325
full_6_direction_lfps,Full 6-direction LFPs,M,o080516015-26,monkeyM_session-o080516015-26_lfp-5,5,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1496997918566546
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.13555545005306574
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1443608374769115
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15255250528233297
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.19713922269886186
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.12917783215316847
full_6_direction_lfps,Full 6-direction LFPs,M,o080522005-11,monkeyM_session-o080522005-11_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.12200587997331329
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.13341384734982517
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.1690035521635026
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-1,1,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.14671118114472612
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.15729049662370823
full_6_direction_lfps,Full 6-direction LFPs,M,o080522012-21,monkeyM_session-o080522012-21_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.19087022986708047
