row_index,original_trial_number,direction,h1_interval_count,longest_h1,second_longest_h1,lifetime_gap
75,609,3,149,0.8947549760341644,0.8782957196235657,0.016459256410598755
76,46,3,159,0.5381266623735428,0.41126595437526703,0.12686070799827576
77,615,3,162,0.5526655912399292,0.4751226305961609,0.07754296064376831
78,510,3,141,0.5314069092273712,0.45777685940265656,0.07363004982471466
79,43,3,184,0.5259990990161896,0.3745516836643219,0.15144741535186768
80,147,3,156,0.5247409641742706,0.5232177376747131,0.0015232264995574951
81,406,3,150,1.299720287322998,0.8700945377349854,0.4296257495880127
82,200,3,147,0.36749374866485596,0.35125842690467834,0.016235321760177612
83,48,3,129,1.1319156885147095,0.9690912365913391,0.16282445192337036
84,177,3,170,0.47373029589653015,0.4274328351020813,0.04629746079444885
85,319,3,138,0.41574667394161224,0.3566440939903259,0.059102579951286316
86,137,3,145,0.4573904275894165,0.42089442908763885,0.03649599850177765
87,309,3,154,0.4166235625743866,0.3660029172897339,0.05062064528465271
88,416,3,164,0.6253877878189087,0.6113817989826202,0.014005988836288452
89,669,3,154,0.7702778279781342,0.6763578057289124,0.0939200222492218
90,572,3,151,0.6142806112766266,0.5754168033599854,0.038863807916641235
91,477,3,152,1.1081563830375671,0.4297671765089035,0.6783892065286636
92,323,3,135,0.7642902135848999,0.7241199612617493,0.040170252323150635
93,196,3,142,1.649124264717102,0.7242539525032043,0.9248703122138977
94,494,3,132,0.8622924089431763,0.7491673529148102,0.11312505602836609
95,51,3,173,0.8821450024843216,0.5453790128231049,0.33676598966121674
96,432,3,167,0.3865295946598053,0.37764861434698105,0.00888098031282425
97,144,3,180,0.48859938979148865,0.45095154643058777,0.03764784336090088
98,216,3,163,0.4799150824546814,0.30170582234859467,0.17820926010608673
99,312,4,151,0.7630190849304199,0.4949263483285904,0.26809273660182953
100,400,4,178,0.5273477435112,0.5232942700386047,0.004053473472595215
101,333,4,155,0.7378237247467041,0.42364509403705597,0.31417863070964813
102,459,4,149,0.6396077871322632,0.43512682616710663,0.20448096096515656
103,606,4,180,0.42883437871932983,0.3204403817653656,0.10839399695396423
104,86,4,141,0.8771233558654785,0.6685489118099213,0.20857444405555725
105,242,4,158,0.6091736257076263,0.5823927223682404,0.026780903339385986
106,248,4,167,0.5704447031021118,0.4164957106113434,0.15394899249076843
107,89,4,157,0.4094017744064331,0.39863666892051697,0.010765105485916138
108,691,4,144,0.8437725901603699,0.7273510098457336,0.11642158031463623
109,94,4,148,0.43403610587120056,0.40122659504413605,0.032809510827064514
110,17,4,164,0.558029443025589,0.35110896825790405,0.20692047476768494
111,109,4,156,0.8296761512756348,0.4846959412097931,0.3449802100658417
112,695,4,155,0.3615948557853699,0.3159640431404114,0.045630812644958496
113,116,4,158,0.588513195514679,0.3843225836753845,0.20419061183929443
114,361,4,152,0.8494652509689331,0.45079202950000763,0.3986732214689255
115,283,4,148,0.67207270860672,0.45568907260894775,0.21638363599777222
116,511,4,132,0.86032834649086,0.8324099183082581,0.02791842818260193
117,206,4,154,1.051669180393219,0.889835774898529,0.16183340549468994
118,520,4,137,0.6981206834316254,0.665027916431427,0.033092767000198364
119,119,4,159,0.9459648132324219,0.5394048988819122,0.40655991435050964
120,85,4,137,0.7116223871707916,0.479143887758255,0.23247849941253662
121,199,4,128,0.644869938492775,0.5283492505550385,0.11652068793773651
122,536,4,174,0.5594841539859772,0.42829807102680206,0.1311860829591751
123,339,4,127,1.0428500175476074,0.4331120401620865,0.6097379773855209
124,701,4,177,0.7679324746131897,0.31925663352012634,0.44867584109306335
125,704,4,148,0.7195055484771729,0.514839380979538,0.2046661674976349
126,592,4,125,1.7040981650352478,0.3956662118434906,1.3084319531917572
127,440,4,150,0.3298589587211609,0.25436705350875854,0.07549190521240234
128,388,4,144,0.42784588038921356,0.4040043205022812,0.023841559886932373
129,121,4,179,0.6188729703426361,0.40980640053749084,0.20906656980514526
130,291,4,163,0.5629306137561798,0.532211571931839,0.03071904182434082
131,573,4,139,0.4993237555027008,0.4237400144338608,0.07558374106884003
132,705,5,177,0.6135246753692627,0.5269002914428711,0.0866243839263916
133,45,5,157,0.5190397053956985,0.32609789073467255,0.192941814661026
134,410,5,144,0.6408684849739075,0.3932974189519882,0.24757106602191925
135,142,5,165,0.37074369192123413,0.36157864332199097,0.009165048599243164
136,706,5,164,0.36666713654994965,0.3217526078224182,0.04491452872753143
137,328,5,167,0.6232632398605347,0.38909925520420074,0.23416398465633392
138,143,5,150,0.4113926291465759,0.29424498975276947,0.11714763939380646
139,44,5,176,0.445920467376709,0.332248330116272,0.11367213726043701
140,164,5,166,0.4327782988548279,0.38119298219680786,0.05158531665802002
141,560,5,156,0.8044310808181763,0.4315078556537628,0.37292322516441345
142,194,5,158,0.5085722506046295,0.2868869826197624,0.2216852679848671
143,243,5,140,0.44455596059560776,0.36809012293815613,0.07646583765745163
144,403,5,173,0.43704238533973694,0.4303670823574066,0.006675302982330322
145,568,5,152,0.4241240918636322,0.3014480173587799,0.1226760745048523
146,581,5,129,0.8381224721670151,0.691168338060379,0.14695413410663605
147,63,5,160,1.0075364112854004,0.5391611754894257,0.46837523579597473
148,294,5,139,0.3734327554702759,0.369308277964592,0.004124477505683899
149,367,5,164,0.4218188375234604,0.3004424422979355,0.1213763952255249
150,436,5,141,0.579275518655777,0.5161808431148529,0.06309467554092407
151,241,5,138,0.5617620646953583,0.42682377994060516,0.1349382847547531
152,457,5,160,0.3908962160348892,0.3687817305326462,0.022114485502243042
153,36,5,160,0.48941224813461304,0.37513452768325806,0.11427772045135498
154,485,5,159,0.47865913808345795,0.30723947286605835,0.1714196652173996
155,700,5,138,1.5482027530670166,1.1548121571540833,0.39339059591293335
156,6,5,169,0.8706988394260406,0.45668771862983704,0.4140111207962036
157,157,5,148,0.7159734964370728,0.6051800101995468,0.11079348623752594
158,476,5,162,0.3939323127269745,0.3365132063627243,0.05741910636425018
159,271,5,122,0.6729640364646912,0.5673973858356476,0.10556665062904358
160,399,5,161,0.6397645473480225,0.5641072690486908,0.07565727829933167
161,300,5,152,0.4328434020280838,0.2779886722564697,0.15485472977161407
162,446,5,167,0.9614686965942383,0.351874440908432,0.6095942556858063
163,542,5,185,0.6222869008779526,0.48005320131778717,0.1422336995601654
