recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,2,embedding,ok,0,9,1,0.0025424611740826,3.4625295338166386e-05,0.0025424611740826,0.0025770864694208,True,10,30765501.81357685,30791404.232526187,ok
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,3,ar,ok,20,0,1,0.0019439677585849,1.539381073491037e-05,0.0019439677585849,0.0019593615693198,True,21,107027246.51319048,107241807.56171928,ok
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,3,embedding,ok,0,9,1,0.002514678886888,2.691255345087975e-05,0.002514678886888,0.0025415914403389,True,10,31013600.210580736,31038922.879079506,ok
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,4,ar,ok,19,0,1,0.0019821385389798,2.7331769347843604e-05,0.0019642740088005,0.001991224738684,False,20,105533013.03306527,105900916.07725336,ok
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,4,embedding,ok,0,9,1,0.0025262749833217,3.846295779657134e-05,0.0025262749833217,0.0025647379411183,True,10,31060860.685954403,31092707.299283408,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,0,ar,ok,19,0,1,0.001994406173908,2.375978256678803e-05,0.0019834422268001,0.0020012250514313,False,20,122109696.92640318,122235576.19245778,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,0,embedding,ok,0,9,1,0.0026079311599249,3.54284204961969e-05,0.0026079311599249,0.0026433595804211,True,10,32858751.498767216,32882441.314458013,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,1,ar,ok,16,0,1,0.0020641832521726,6.834207518766654e-05,0.0020217161212303,0.0020901123315922,False,17,118584439.096204,118676925.55752808,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,1,embedding,ok,0,9,1,0.0026488409962616,0.0001010583007921,0.0026488409962616,0.0027498992970538,True,10,32650816.104507983,32671077.22853364,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,2,ar,ok,16,0,1,0.0020880952550934,6.158511442073682e-05,0.0020435677725898,0.0020972604285284,False,17,117514204.634107,117606779.24987423,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,2,embedding,ok,0,9,1,0.0026757172508629,9.425533457488507e-05,0.0026757172508629,0.0027699725854378,True,10,32555572.060795303,32575839.32677144,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,3,ar,ok,20,0,1,0.0019767271379342,1.237495091345096e-05,0.0019767271379342,0.0019891020888477,True,21,125767059.69592877,125861107.13419718,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,3,embedding,ok,0,9,1,0.0025899450006011,2.8805820909995623e-05,0.0025899450006011,0.0026187508215111,True,10,32925405.436772782,32951505.34011002,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,4,ar,ok,20,0,1,0.0020502688206614,9.338084500251286e-06,0.0020502688206614,0.0020596069051617,True,21,123212142.57333057,123301005.99214076,ok
monkeyT_session-y070413009-13_lfp-6,T,2007-04-13,4,embedding,ok,0,9,1,0.0026908531519003,1.3439772307197176e-05,0.0026908531519003,0.0027042929242075,True,10,32333019.069921404,32344127.4027737,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,0,ar,ok,19,0,1,0.0021221779399667,3.730874294527807e-05,0.0021026807613498,0.0021454643463832,False,20,108575653.92157552,108734762.60802816,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,0,embedding,ok,0,9,1,0.0027436426292203,3.711813800427279e-05,0.0027436426292203,0.0027807607672245,True,10,27999185.816707853,28022087.090917043,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,1,ar,ok,19,0,1,0.0021091844113791,3.347955668836714e-05,0.0020891147333255,0.0021157907315732,False,20,107976524.90114383,108195412.99725191,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,1,embedding,ok,0,9,1,0.0027475067762416,4.566904253650865e-05,0.0027475067762416,0.0027931758187782,True,10,28376277.492214277,28400247.353299312,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,2,ar,ok,19,0,1,0.0021315519622824,4.015507626154895e-05,0.0021090549891096,0.0021482348152451,False,20,106575465.69376075,106778105.61839226,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,2,embedding,ok,0,9,1,0.0027774887194843,5.041168393375578e-05,0.0027774887194843,0.0028279004034181,True,10,28029313.074720982,28053738.45786741,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,3,ar,ok,20,0,1,0.0021389323794335,1.2037949582409036e-05,0.0021389323794335,0.0021509703290159,True,21,108069668.90236612,108221908.35596403,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,3,embedding,ok,0,9,1,0.0028140328421167,1.1034430486374204e-05,0.0028140328421167,0.0028250672726031,True,10,27835490.073072214,27870088.60603446,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,4,ar,ok,19,0,1,0.0021377333868547,3.207887743818752e-05,0.0021158383374759,0.0021422929989914,False,20,109645077.68821122,109792348.40897503,ok
monkeyT_session-y070413009-13_lfp-7,T,2007-04-13,4,embedding,ok,0,9,1,0.0027941577753862,4.552489684121131e-05,0.0027941577753862,0.0028396826722274,True,10,27933575.79708206,27958703.32400103,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,0,ar,ok,19,0,1,0.00186713382062,3.591590104434793e-05,0.0018406406470026,0.0018795017405895,False,20,110771620.50105704,111276211.1299014,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,0,embedding,ok,0,9,1,0.0022982801833058,4.488454372156551e-05,0.0022982801833058,0.0023431647270273,True,10,31965136.454433013,32003899.85190841,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,1,ar,ok,19,0,1,0.0018367077934671,3.1662859321179775e-05,0.0018155479512019,0.0018537366487698,False,20,111126242.1030529,111604136.99825196,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,1,embedding,ok,0,9,1,0.0022560289192024,2.4022947645257995e-05,0.0022560289192024,0.0022800518668477,True,10,31626466.861666054,31676299.686240274,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,2,ar,ok,20,0,1,0.0018312263627821,1.2587719924153412e-05,0.0018312263627821,0.0018438140827063,True,21,110422434.17351228,110708054.76222348,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,2,embedding,ok,0,9,1,0.0022784847755849,2.1679708994248185e-05,0.0022784847755849,0.0023001644845791,True,10,31921584.05266246,31982373.176770348,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,3,ar,ok,19,0,1,0.0018359317107585,3.512190808920622e-05,0.0018095191843567,0.0018433529936008,False,20,110429579.89738478,110813336.9662204,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,3,embedding,ok,0,9,1,0.0022472359854717,3.504290916681406e-05,0.0022472359854717,0.0022822788946385,True,10,32111370.009300478,32151690.23140182,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,4,ar,ok,19,0,1,0.0018426267853971,2.691656262614024e-05,0.0018197043361081,0.0018457172453296,False,20,110406110.0634741,110766333.77434573,ok
monkeyT_session-y070413009-13_lfp-8,T,2007-04-13,4,embedding,ok,0,9,1,0.0022607657539475,3.193667970118897e-05,0.0022607657539475,0.0022927024336487,True,10,32034607.657660477,32081341.14430765,ok
