recording,monkey,day,analysis,method,direction,f1
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,power_frequency,3,0.2318840579710145
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,power_frequency,4,0.0975609756097561
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,power_frequency,5,0.1971830985915492
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,power_frequency,6,0.1971830985915492
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus,1,0.2631578947368421
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus,2,0.2727272727272727
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus,3,0.2571428571428571
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus,4,0.1454545454545454
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus,5,0.2461538461538461
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus,6,0.15625
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_all_bands,1,0.1971830985915492
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_all_bands,2,0.25
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_all_bands,3,0.2985074626865671
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_all_bands,4,0.1666666666666666
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_all_bands,5,0.2647058823529412
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_all_bands,6,0.1818181818181818
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_pca,1,0.3466666666666667
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_pca,2,0.2857142857142857
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_pca,3,0.2033898305084746
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_pca,4,0.2068965517241379
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_pca,5,0.1052631578947368
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_pca,6,0.1714285714285714
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_power_frequency,1,0.2253521126760563
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_power_frequency,2,0.2972972972972973
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_power_frequency,3,0.2898550724637681
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_power_frequency,4,0.1568627450980392
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_power_frequency,5,0.3478260869565217
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,short,torus_power_frequency,6,0.2903225806451613
