recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080506002-22_lfp-1,M,3,ok,1,3,11.0,1.0241767030985724,10,159,[30.0],15.9,[],True
monkeyM_session-o080506002-22_lfp-1,M,4,ok,1,3,11.0,1.0241767030985724,10,159,[30.0],15.9,[],True
monkeyM_session-o080506002-22_lfp-2,M,0,ok,1,3,11.0,1.0241767030985724,10,158,[30.0],15.8,[],True
monkeyM_session-o080506002-22_lfp-2,M,1,ok,1,3,11.0,1.0241767030985724,10,158,[30.0],15.8,[],True
monkeyM_session-o080506002-22_lfp-2,M,2,ok,1,3,11.0,1.0241767030985724,10,158,[30.0],15.8,[],True
monkeyM_session-o080506002-22_lfp-2,M,3,ok,1,3,11.0,1.0241767030985724,10,159,[30.0],15.9,[],True
monkeyM_session-o080506002-22_lfp-2,M,4,ok,1,3,11.0,1.1552468801208078,10,159,[32.0],15.9,[],True
monkeyM_session-o080507002-11_lfp-1,M,0,ok,1,3,19.0,1.483574045130705,10,96,[20.0],9.6,[],True
monkeyM_session-o080507002-11_lfp-1,M,1,ok,1,3,21.0,2.3373285285729897,10,96,[20.0],9.6,[],True
monkeyM_session-o080507002-11_lfp-1,M,2,ok,1,3,21.0,1.455162915609677,10,96,[18.0],9.6,[],True
monkeyM_session-o080507002-11_lfp-1,M,3,ok,1,3,24.0,2.781331582683182,10,96,[18.0],9.6,[],True
monkeyM_session-o080507002-11_lfp-1,M,4,ok,1,3,19.0,1.483574045130705,10,96,[20.0],9.6,[],True
monkeyM_session-o080507012-23_lfp-1,M,0,ok,2,5,18.0,17.63770462173187,36,86,"[20.0, 30.0]",2.388888888888889,[],True
monkeyM_session-o080507012-23_lfp-1,M,1,ok,2,5,17.0,41.7175582542869,36,86,"[20.0, 30.0]",2.388888888888889,[],True
