time_ms,observed_lag_0,fitted_lag_0,observed_lag_1,fitted_lag_1,observed_lag_2,fitted_lag_2,observed_lag_3,fitted_lag_3,observed_lag_4,fitted_lag_4
-226.0,-0.028020476922392845,0.7789095255854315,0.3491600453853607,0.2727540773671697,0.7048407196998596,1.0207125840603817,-0.0579134039580822,-0.3864405500838898,1.5224297046661377,-0.037365044000872275
-225.0,0.0751836821436882,0.8255837341807251,0.2780293822288513,0.27633187530276465,0.6369336247444153,0.9435219478254573,-0.22132374346256256,-0.4094217388547614,1.3079371452331543,-0.059767478199281854
-224.0,0.15607991814613342,0.8440704248365094,0.20039257407188416,0.28664573430431023,0.5701587796211243,0.8389983881231878,-0.36651894450187683,-0.4158842183526487,1.063327670097351,-0.089084334165463
-223.0,0.20506499707698822,0.8342941197017482,0.12395566701889038,0.30266222513514524,0.5071889162063599,0.7100048698344046,-0.48861321806907654,-0.407559460628699,0.8034257292747498,-0.12432523528467151
-222.0,0.21444198489189148,0.7972387759356733,0.05659374222159386,0.322807844316642,0.44993406534194946,0.5603223781817107,-0.5849910378456116,-0.3867656034123071,0.5433331727981567,-0.16411653649293148
-221.0,0.17942392826080322,0.7348957240998847,0.005125886294990778,0.34505200313559264,0.3993756175041199,0.39451336598535386,-0.655475914478302,-0.3562745812163381,0.29734185338020325,-0.20675900709218004
-220.0,0.09883394092321396,0.6501703009836156,-0.02577020227909088,0.3670144876218034,0.35558900237083435,0.21775282992021142,-0.7021793127059937,-0.3191607747209978,0.0779564157128334,-0.2503018267741298
-219.0,-0.02461789920926094,0.5467513781896014,-0.03431275859475136,0.3860923725262122,0.31792643666267395,0.035633950455990146,-0.7290259599685669,-0.27863830565846687,-0.1048782616853714,-0.29262964926045876
-218.0,-0.18453043699264526,0.4289495722347988,-0.021920418366789818,0.39960045159389673,0.28529655933380127,-0.14604367390250053,-0.7410191297531128,-0.2378945734828735,-0.24427467584609985,-0.3315588811181031
-217.0,-0.37145864963531494,0.3015112509129598,0.006964665837585926,0.40491859268394625,0.2564753592014313,-0.3214944168512301,-0.7433657646179199,-0.19992775783616037,-0.33659279346466064,-0.3649388864087666
-216.0,-0.5739326477050781,0.16941646648804617,0.04548720642924309,0.3996390692525946,0.23039865493774414,-0.4851664853026128,-0.7406185269355774,-0.16739579218093284,-0.38133102655410767,-0.3907535806125201
-215.0,-0.7797267436981201,0.03766960499229738,0.08531831949949265,0.381706875932056,0.20640301704406738,-0.6319521194333383,-0.735984206199646,-0.14248375928924537,-0.380765825510025,-0.4072188310914789
-214.0,-0.9772244095802307,-0.08890818574453359,0.11778675019741058,0.3495463080410098,0.18438835442066193,-0.7573794154423441,-0.7309080958366394,-0.126795793759909,-0.33941689133644104,-0.4128712387227875
-213.0,-1.1567063331604004,-0.2058758499974512,0.13504794239997864,0.3021676614511471,0.16487573087215424,-0.8577778454615709,-0.724983274936676,-0.12127643935958618,-0.2634316682815552,-0.40664422973063036
-212.0,-1.3113882541656494,-0.30935013443587367,0.13113203644752502,0.23924876536156098,0.14893986284732819,-0.9304106806340748,-0.7161667943000793,-0.12616505075088894,-0.15997807681560516,-0.38792792297395673
-211.0,-1.438064455986023,-0.3961566102666404,0.10272134840488434,0.16118715880095563,0.13801652193069458,-0.9735689463402084,-0.7012346982955933,-0.1409853108636791,-0.03671269863843918,-0.3566099327414357
-210.0,-1.537266731262207,-0.4639476715259098,0.049542393535375595,0.06912001387697742,0.13361720740795135,-0.9866231907919292,-0.6763811707496643,-0.16457032464470414,0.09864561259746552,-0.3130950901799165
-209.0,-1.6129249334335327,-0.5112826566986188,-0.02568071335554123,-0.035089661975734925,0.1370108425617218,-0.970031157622522,-0.637865424156189,-0.1951221191231753,0.23864831030368805,-0.2583029818495651
