recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyT_session-y070215005-10_lfp-1,T,4,ok,2,5,14.0,1.412720184980373,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070215005-10_lfp-2,T,0,ok,1,3,13.0,1.1525420501870804,10,100,[24.0],10.0,[],True
monkeyT_session-y070215005-10_lfp-2,T,1,ok,1,3,13.0,1.1525420501870804,10,101,[24.0],10.1,[],True
monkeyT_session-y070215005-10_lfp-2,T,2,ok,2,5,14.0,1.412720184980373,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070215005-10_lfp-2,T,3,ok,2,5,13.0,1.3961411532519297,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070215005-10_lfp-2,T,4,ok,1,3,13.0,1.1525420501870804,10,101,[24.0],10.1,[],True
monkeyT_session-y070215011-16_lfp-1,T,0,ok,2,5,14.0,1.3465409483417157,36,91,"[8.0, 24.0]",2.5277777777777777,"[{""lower_hz"": 8.0, ""upper_hz"": 24.0, ""multiple"": 3}]",True
monkeyT_session-y070215011-16_lfp-1,T,1,ok,1,3,14.0,1.2793317601587226,10,91,[26.0],9.1,[],True
monkeyT_session-y070215011-16_lfp-1,T,2,ok,1,3,14.0,1.2793317601587226,10,91,[26.0],9.1,[],True
monkeyT_session-y070215011-16_lfp-1,T,3,ok,1,3,14.0,1.2793317601587226,10,91,[26.0],9.1,[],True
monkeyT_session-y070215011-16_lfp-1,T,4,ok,2,5,14.0,1.4412206614927672,36,92,"[8.0, 26.0]",2.555555555555556,"[{""lower_hz"": 8.0, ""upper_hz"": 26.0, ""multiple"": 3}]",True
