row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,R1,R2,mse,mean_error,frac_inside,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,target_event_code,target_position,reach_side
43,38,521,2,4,short,4.850625147200376,1.523765335183271,0.0052657866112675,0.0083343528239503,0.9109311740890688,-0.4278377613230105,0.7933286147892975,-0.4331103311427806,0.5627258996917172,0.6087772701767721,0.5592224934069309,0.7073149311319973,-0.0044659010974054,-0.7068844629252549,102,right,Rightward
44,65,131,2,0,short,3.647399802539301,1.2453672139209748,0.0068180727856649,0.009955951509264,0.8724696356275303,-0.4314115776979699,0.792519363406561,-0.431041888050115,0.5605748497109516,0.6098467478343004,0.5602167277290739,0.7068520980372717,5.274074957581365e-05,-0.7073613706718236,102,right,Rightward
45,41,579,2,2,short,3.2477030996423544,1.1642241068254493,0.006464030383411,0.0118202081176091,0.8421052631578947,-0.4263711067231402,0.7972278878098559,-0.4273586014694457,0.564479642229758,0.603677275893188,0.5629711183340974,0.7068029519320425,-0.0012006116840093,-0.7074094611126822,102,right,Rightward
46,66,419,2,1,short,4.765094959601797,1.8249960421529872,0.0093789250611637,0.0068594454063014,0.9230769230769232,-0.4338176099678204,0.7872634227012699,-0.4381992521199571,0.5585292272763758,0.6166035291072886,0.5548379855151337,0.7069988568306619,-0.0040486008841099,-0.7072031004393424,102,right,Rightward
47,58,580,2,3,short,3.5258161940954347,1.358781891702879,0.0072295483415356,0.0122806193393032,0.8744939271255061,-0.4342996899870103,0.7890055539822701,-0.4345733713221713,0.5574104010441724,0.6143859992837782,0.5584115764307258,0.7075856302137302,0.0002822573372124,-0.706627551292641,102,right,Rightward
48,44,428,2,2,short,4.261298963767636,1.3005205503706354,0.0055842390888908,0.0102940741134512,0.8987854251012146,-0.4278636442801725,0.7917990240240711,-0.43587499063128,0.5634835425936993,0.6107346768690254,0.5563177614419136,0.7066958321154475,-0.0075802390605843,-0.7074768836127721,102,right,Rightward
49,36,543,2,4,short,4.05118711841986,1.1783444287427065,0.0069345528533157,0.0088166631731225,0.8805668016194332,-0.4246426952636457,0.7989208663102314,-0.425915520653258,0.5665859802203952,0.6014323682861409,0.5632578746856698,0.7061578494762488,-0.0021344207254105,-0.7080512240447343,102,right,Rightward
50,61,387,2,4,short,3.659670035887765,1.652100482287081,0.0094980979562703,0.0112502376200058,0.8927125506072875,-0.4382705554171895,0.7865420889124941,-0.4350522527507223,0.5551786200504627,0.6175309566300868,0.557164443806668,0.7068915193246925,0.0026570609138667,-0.7073169868836233,102,right,Rightward
51,45,158,2,1,short,3.983030294324811,1.4769268715231838,0.0064505134996594,0.0096522698619868,0.9129554655870444,-0.431985054551597,0.7906071120203427,-0.4339692466833416,0.5613156785597485,0.6123160345413217,0.5567708530864381,0.7059133244577998,-0.0030770548328385,-0.7082915431420121,102,right,Rightward
52,51,275,2,4,short,3.636135189372142,1.4263014432797738,0.0102340544880285,0.0092079571112914,0.8987854251012146,-0.435318680345565,0.786241453343208,-0.438545349521524,0.5553792163200539,0.6179180494284143,0.5565350036343684,0.7085559770560956,-0.0012888891898406,-0.7056534320349741,102,right,Rightward
