row_index,original_trial_number,direction,heldout_fold_zero_based,R1,R2
128,388,4,3,2.9716342316163447,1.1105558177771349
129,121,4,1,4.104633802715354,1.472112368998294
130,291,4,1,3.6237615427211742,1.1905286163792397
131,573,4,4,3.55699376075182,1.1332771238839283
132,705,5,2,3.701714977070394,1.52909871264833
133,45,5,4,2.6057419231845667,1.0578640183880152
134,410,5,0,2.878743099669464,0.9701321186693664
135,142,5,3,3.471637999298065,1.2635079951058814
136,706,5,3,3.0169155329808754,0.9397512660384856
137,328,5,1,4.218505777026001,1.4720073425728315
138,143,5,3,3.6075676760503255,1.1640158362417636
139,44,5,2,3.541409238102432,1.3342762490314173
140,164,5,4,3.119508327780789,1.0805581999902865
141,560,5,2,4.73718308779593,1.1773879003482877
142,194,5,0,2.958358646874622,1.0746629150402245
143,243,5,1,3.6289711677205383,1.0399575121989442
144,403,5,1,3.4861713578911004,1.1714464532497528
145,568,5,0,3.1261718175198308,1.030900976721736
146,581,5,2,7.23595415651555,1.9594123851280925
147,63,5,2,5.612482162898575,1.3281879997017492
148,294,5,3,4.29013824491075,1.7548354692136776
149,367,5,1,2.9703913136939786,1.0936379558642528
150,436,5,4,4.2172968785916325,1.366141616588444
151,241,5,1,3.5631189208396044,1.1849714371665805
152,457,5,0,3.4801389032087853,1.26769979296236
153,36,5,3,3.776472404011125,1.24164459657657
154,485,5,4,2.8129498150638783,1.0592467409373123
155,700,5,4,5.263725455834066,1.4003707539046646
156,6,5,4,3.8639978740663854,1.3573345343677043
157,157,5,0,4.333821329419456,1.4629758640715045
158,476,5,4,3.499154291295504,1.2792074451414213
159,271,5,2,4.415694723165707,1.2069774367650543
160,399,5,1,4.69165431609586,1.0397082033728025
161,300,5,3,3.4535842533693897,1.2425657768625666
162,446,5,2,3.378831808797252,1.2496722910295297
163,542,5,3,3.404504327820824,1.3050092488617135
164,693,5,0,3.869656594623193,1.0119913733629051
165,258,6,0,3.437096099978564,1.237699828298487
166,550,6,3,3.153410423644047,1.105611290096192
167,100,6,3,4.098556155159456,1.2798179602980178
168,129,6,4,4.024630389619746,1.2483038755794813
169,186,6,4,6.283208829698364,2.050330663749552
170,650,6,1,3.869004736214352,1.6703430057782092
171,438,6,3,3.741235927590396,1.3506401865597804
172,290,6,1,3.89671574815247,1.2835688492465769
173,289,6,2,3.8814256978322033,1.1764691894006214
174,67,6,2,3.0845659709623368,1.1247580741464835
175,458,6,3,4.931120968836978,1.5040694117846938
176,90,6,2,3.5777475929682687,1.4507245811491514
177,77,6,2,5.032021934267941,1.3753359361906117
178,292,6,4,4.648185131126407,1.391998419670062
179,649,6,1,3.470353094586329,1.3502658113399937
180,524,6,0,4.107614580168867,1.324313774656864
181,105,6,4,3.1458030702708046,1.199717455213421
182,372,6,3,5.844649694400425,1.7701719516237715
183,617,6,3,4.088427285991922,1.2313850418823673
184,527,6,4,3.791340951783021,0.8294854404046844
185,555,6,1,5.046549956863948,1.5974882603692055
186,342,6,0,3.2994758613605444,1.205040585744401
187,211,6,2,4.261113313319016,1.5583113503691357
188,539,6,4,3.810899151155384,1.228045052516726
189,24,6,0,3.454457866569784,1.5092091671355694
190,538,6,1,4.185073390548797,1.1418495657879428
191,642,6,0,3.517228429953396,1.4862108225643451
192,379,6,2,5.325166338706195,1.4679676067415173
193,483,6,1,4.178375418380267,1.0125619469977925
194,9,6,0,3.043357681793049,1.223824371903392
195,113,6,2,4.670367127422874,1.4089291900820742
196,187,6,0,4.124285807822049,1.3924219598543468
197,376,6,1,4.75841025921055,1.517590560143856
