recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,n_trials,status,short_delay_ms
monkeyM_session-o080711002-7_lfp-8,M,o080711002-7,2008-07-11,8,234,234,5000,4500,4500,5000,323,b5e5c9aa88c9938b4f66b844bb1d2430431572d8b2cf6f16bb1fa6f2eb82255d,108,ok,1000
monkeyM_session-o080718005-9_lfp-5,M,o080718005-9,2008-07-18,5,191,191,5000,4500,4500,5000,335,14f230257a95d38a172429bdd9b79a76ac26c15b48a6cde61a424d41cb7c926a,90,ok,1000
monkeyM_session-o080718005-9_lfp-8,M,o080718005-9,2008-07-18,8,191,191,5000,4500,4500,5000,332,8f406b7b14c08e96d95321ca00cce576ef7a05d4df1f74350589f2e02e011465,90,ok,1000
monkeyM_session-o080722004-9_lfp-5,M,o080722004-9,2008-07-22,5,193,193,5000,4500,4500,5000,337,4f450ead1691dad9661fdc5accf7c58387cf2a2df8f0d0a564cbbc5a0201400e,96,ok,1000
monkeyM_session-o080723006-11_lfp-5,M,o080723006-11,2008-07-23,5,292,292,5000,4500,4500,5000,343,96d274ec97dea53fe31049df9dfbdc57d7aeffbd79f8b253b6b4f6ebbe24eb32,144,ok,1000
monkeyM_session-o080723006-11_lfp-7,M,o080723006-11,2008-07-23,7,292,292,5000,4500,4500,5000,342,dffc0566ae4e1c184614e6bc96afa18e62d6b5f6672b42e6ccb1e2cc0a9f8523,144,ok,1000
monkeyM_session-o080724004-9_lfp-5,M,o080724004-9,2008-07-24,5,241,241,5000,4500,4500,5000,351,e35c5fbd41b29027b97160924b9f034139d75fcb5ce12ecf9febe5dcb5197d2f,114,ok,1000
monkeyM_session-o080724004-9_lfp-7,M,o080724004-9,2008-07-24,7,241,241,5000,4500,4500,5000,350,f0c7dd9823a3809d66e6f8f8bd018c0aaaf8a1acff581b2a3b4e0055d373d4d5,114,ok,1000
monkeyM_session-o080731003-10_lfp-6,M,o080731003-10,2008-07-31,6,247,247,5000,4500,4500,5000,356,f88be39d2447a2b81ff8c7b396c1b33077146edddb34c725faf92c385bb7a4fd,108,ok,1000
monkeyM_session-o080731011-18_lfp-6,M,o080731011-18,2008-07-31,6,207,207,5000,4500,4500,5000,358,ccc434728ace5dd56e2b372a224f4b86639630c9dc0424966ca460d0bb79cdac,90,ok,1000
monkeyM_session-o080801001-7_lfp-5,M,o080801001-7,2008-08-01,5,275,275,5000,4500,4500,5000,363,85da1864608be12db25e7dbe5caf8da00e7724c056208e5cf47ed43734b200fb,126,ok,1000
monkeyM_session-o080801001-7_lfp-6,M,o080801001-7,2008-08-01,6,275,275,5000,4500,4500,5000,360,578ac123e9bb8b529d479f1dea084db693390e101f3f0ac75dc5a30638f30684,126,ok,1000
monkeyM_session-o080808001-5_lfp-5,M,o080808001-5,2008-08-08,5,209,209,5000,4500,4500,5000,377,2bde8a4303f6aa4c157f1831935a2f5991a87992338a593e4ce6ef8137ced86c,96,ok,1000
monkeyM_session-o080808001-5_lfp-6,M,o080808001-5,2008-08-08,6,209,209,5000,4500,4500,5000,375,721fbafb5b65b6408513c4c6bd4f3e8d633940aff48a431aa9767b6c535f4ed6,96,ok,1000
monkeyM_session-o080808006-12_lfp-5,M,o080808006-12,2008-08-08,5,280,280,5000,4500,4500,5000,381,35f12d037c705c21400c415f7978a4c5ac5c7c2968f5f975af10fc1015066291,132,ok,1000
monkeyM_session-o080808006-12_lfp-6,M,o080808006-12,2008-08-08,6,280,280,5000,4500,4500,5000,378,c82849ac237d9a28f9ea4a851914f0eb2af4cdbee377407d9fb83c9a7a36ff0a,132,ok,1000
monkeyM_session-o080828001-6_lfp-5,M,o080828001-6,2008-08-28,5,252,252,5000,4500,4500,5000,383,655ea73a180928beb7a5978216b79f4beb4e4e6838b3b65e82db00c3b4b785d0,114,ok,1000
monkeyM_session-o080828001-6_lfp-6,M,o080828001-6,2008-08-28,6,252,252,5000,4500,4500,5000,382,f82e1f9b3ebd2ff189d9692545cb59da8c80ccc2150dea4eac3707e0c5ba3dde,114,ok,1000
monkeyM_session-o080828007-12_lfp-5,M,o080828007-12,2008-08-28,5,204,204,5000,4500,4500,5000,386,dc633255b79fd85c561a9c20810c0e981ccb4b3e7bbc0ccb188c67a684f1ff8c,96,ok,1000
monkeyM_session-o080829001-5_lfp-5,M,o080829001-5,2008-08-29,5,242,242,5000,4500,4500,5000,391,75f8fcf28f3ceff73d9ae6303f88b07b32200620d9c3b82adbdc69e80f0156b5,114,ok,1000
monkeyM_session-o080904001-7_lfp-5,M,o080904001-7,2008-09-04,5,205,205,5000,4500,4500,5000,414,e01c2b449f4fc2f6b066023c71022fe2d463275673189a98b805783f47311676,96,ok,1000
monkeyM_session-o080904001-7_lfp-6,M,o080904001-7,2008-09-04,6,205,205,5000,4500,4500,5000,411,b6d0aa2347dee0e4536844615f7e5c4da494158f1c61a18aa3df8db0c4e496e4,96,ok,1000
monkeyM_session-o080904008-14_lfp-5,M,o080904008-14,2008-09-04,5,191,191,5000,4500,4500,5000,420,94bec29d3e59aba75d4c50fbfcc687b2ff0a3ccf9a79f680092dfb08f4576f0a,90,ok,1000
monkeyM_session-o080904008-14_lfp-6,M,o080904008-14,2008-09-04,6,191,191,5000,4500,4500,5000,419,19d5a73f6f1c5d1c27850efa993ba2ea6249846f088c2f20354ff409f82a105b,90,ok,1000
monkeyM_session-o080905001-6_lfp-5,M,o080905001-6,2008-09-05,5,286,286,5000,4500,4500,5000,423,affe035426736efe3730967a84b2a217c87139d0c361dd29a35ef691c7c10aff,132,ok,1000
monkeyM_session-o080910001-5_lfp-5,M,o080910001-5,2008-09-10,5,193,193,5000,4500,4500,5000,437,de55239dde441d9577cc93b457f7b4ffd932ee8d377ab672a62f91228c66abcc,96,ok,1000
monkeyM_session-o080910001-5_lfp-7,M,o080910001-5,2008-09-10,7,193,193,5000,4500,4500,5000,436,49fbf23dd6fd001b03e752c574fe42507a92cd28f0dad78ba34f68f551ce3fda,96,ok,1000
monkeyM_session-o080910006-11_lfp-5,M,o080910006-11,2008-09-10,5,241,241,5000,4500,4500,5000,442,2b169099cc590adbaaaad5cf45071036e5211bde5f2b7010f910e8d65b03e064,114,ok,1000
monkeyM_session-o080910006-11_lfp-7,M,o080910006-11,2008-09-10,7,241,241,5000,4500,4500,5000,439,dfa9558a2cb05fad574799491c55bf047dfa0d14dbe2fd3ac657a460b017e508,114,ok,1000
monkeyM_session-o080911001-5_lfp-5,M,o080911001-5,2008-09-11,5,249,249,5000,4500,4500,5000,445,0d0632f79846b19419dec49852e17be44ad0429d8a8948c0cd28dd83c27a643f,114,ok,1000
monkeyM_session-o080911001-5_lfp-6,M,o080911001-5,2008-09-11,6,249,249,5000,4500,4500,5000,443,6a173fe9b7e45ca059447df2df0959fc9a5b63a8126f8dfc3292d78abcdc9d0d,114,ok,1000
monkeyM_session-o080911006-11_lfp-5,M,o080911006-11,2008-09-11,5,237,237,5000,4500,4500,5000,450,65782f5aa8b34e4c037ec7c50aa169ded0824ced477604b2570c280621ae8d50,114,ok,1000
monkeyM_session-o080911006-11_lfp-6,M,o080911006-11,2008-09-11,6,237,237,5000,4500,4500,5000,447,c753188af33a29c3ba8664dce41843beebcd6737d33cc8ff135c8ac001fc003f,114,ok,1000
monkeyM_session-o080917001-8_lfp-5,M,o080917001-8,2008-09-17,5,206,206,5000,4500,4500,5000,467,4fdf9b1889793ce27fea8a7b893698e327d327dabacacadbf9db76a6ee2ec4a9,96,ok,1000
monkeyM_session-o080917001-8_lfp-6,M,o080917001-8,2008-09-17,6,206,206,5000,4500,4500,5000,466,5efea87b61cf58ce23a2a903a0fce676c3abdad8748612a8e60a524fc05f6baf,96,ok,1000
monkeyM_session-o080918001-5_lfp-5,M,o080918001-5,2008-09-18,5,243,243,5000,4500,4500,5000,473,e87a0deee6b865a19ad88a979b791e64f264784b4863be1eae5dc42d73b65239,120,ok,1000
monkeyM_session-o080918001-5_lfp-6,M,o080918001-5,2008-09-18,6,243,243,5000,4500,4500,5000,472,665a8aa0f87a1f86f0eef45348af056a9a87eb62ed8480270d26bda694f0cae1,120,ok,1000
