recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,2,ar,ok,14,0,1,0.002582253334737232,8.361961995890965e-05,0.002506710586601356,0.0025868535753419816,False,15,114815132.57210149,115555652.96097621,ok
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,2,embedding,ok,0,9,1,0.0035307984479516514,0.00010375236079572559,0.0035307984479516514,0.003634550808747377,True,10,25777888.379135404,25900428.710484546,ok
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,3,ar,ok,19,0,1,0.002551703812014861,5.181162314409489e-05,0.002551703812014861,0.002603515435158956,False,20,118044195.08405387,118748389.64116722,ok
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,3,embedding,ok,0,9,1,0.0035841417328127457,7.62062779149423e-05,0.0035841417328127457,0.003660348010727688,True,10,25727605.476846877,25831013.893474206,ok
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,4,ar,ok,19,0,1,0.0025166447106029573,4.17889730309789e-05,0.0025166447106029573,0.002558433683633936,False,20,119404170.76003988,120085724.20959337,ok
monkeyT_session-y070423002-6_lfp-6,T,2007-04-23,4,embedding,ok,0,9,1,0.0035430681587443075,8.27503491766129e-05,0.0035430681587443075,0.0036258185079209204,True,10,26087568.381800912,26185660.94502564,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,0,ar,ok,17,0,1,0.0031140082563761314,6.703345926439784e-05,0.0030507064361919765,0.0031243894726127293,False,18,118294216.603938,118840539.25159523,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,0,embedding,ok,0,9,1,0.004067735988705569,9.945551348442619e-05,0.004067735988705569,0.004167191502189995,True,10,24730705.08036365,24788002.790051922,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,1,ar,ok,19,0,1,0.002965138546262878,2.0609615586508995e-05,0.0029612644354534306,0.002982813714288492,False,20,121018244.83993354,121709888.84742734,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,1,embedding,ok,0,9,1,0.0039374575470682875,3.917942998761657e-05,0.0039374575470682875,0.0039766369770559045,True,10,25334319.06478058,25403467.630354818,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,2,ar,ok,16,0,1,0.0031081468604784944,8.846680857136671e-05,0.00303221785291038,0.0031174206044460996,False,17,117715813.24926668,118236707.77092493,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,2,embedding,ok,0,9,1,0.004028669340715729,0.0001177516190970499,0.004028669340715729,0.004146420959812779,True,10,24716379.808748726,24777550.943262562,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,3,ar,ok,19,0,1,0.002997434707028392,2.4358302463404918e-05,0.0029937213013208376,0.003018921517675786,False,20,120310541.28029598,120913081.64758769,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,3,embedding,ok,0,9,1,0.003961580490251185,3.360322511979878e-05,0.003961580490251185,0.003995183715370984,True,10,25127186.718211118,25202144.11222371,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,4,ar,ok,19,0,1,0.0030611175127817827,4.628390809928817e-05,0.0030577034965753058,0.003104815883302902,False,20,119585637.27757296,120130258.4320567,ok
monkeyT_session-y070423008-14_lfp-5,T,2007-04-23,4,embedding,ok,0,9,1,0.004079080822763262,6.515262519282029e-05,0.004079080822763262,0.004144233447956082,True,10,24726569.834550224,24772305.247373294,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,0,ar,ok,19,0,1,0.0026313323180485993,2.6337286882588915e-05,0.0026313323180485993,0.002657669604931188,False,20,109807718.66261104,109978094.79063803,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,0,embedding,ok,0,9,1,0.003694763694920213,2.5449871671649614e-05,0.003694763694920213,0.003720213566591863,True,10,24341603.657626167,24378221.857613906,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,1,ar,ok,19,0,1,0.0026440177896041687,1.6575018464457105e-05,0.0026440177896041687,0.0026605928080686257,False,20,109780177.12122759,109890590.77927946,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,1,embedding,ok,0,9,1,0.003707939319342654,2.2080018798557283e-05,0.003707939319342654,0.003730019338141211,True,10,24382848.762484003,24412142.332330834,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,2,ar,ok,19,0,1,0.002590222901568131,2.9128070039366935e-05,0.002590222901568131,0.002619350971607498,False,20,111102999.11079463,111237872.18468003,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,2,embedding,ok,0,9,1,0.0036441874806818907,5.003036194096606e-05,0.0036441874806818907,0.0036942178426228565,True,10,24670704.814668555,24703313.95768348,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,3,ar,ok,19,0,1,0.002630749383774422,2.4559600424324893e-05,0.002630749383774422,0.0026553089841987467,False,20,108839363.7190399,109047024.90944213,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,3,embedding,ok,0,9,1,0.00371139786074249,2.441242879634038e-05,0.00371139786074249,0.0037358102895388304,True,10,24386796.47410788,24423414.841687694,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,4,ar,ok,19,0,1,0.002646302722429135,4.072801550160217e-05,0.002646302722429135,0.002687030737930737,False,20,109540060.48726127,109690897.67893448,ok
monkeyT_session-y070423008-14_lfp-7,T,2007-04-23,4,embedding,ok,0,9,1,0.003741798845981382,2.3436201656967774e-05,0.003741798845981382,0.00376523504763835,True,10,24206028.263323944,24237426.86713,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,0,ar,ok,20,0,1,0.0015634954367229482,1.3471983205028671e-05,0.0015634954367229482,0.0015769674199279768,True,21,116945950.74934219,117039520.96153733,ok
