recording,monkey,day,family,horizon_ms,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,n_trials
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,embedding,1,5.124653209801005e-11,5.248049660438326e-11,0.9999999999475195,0.9999999999738962,0.020751360193726868,0.9792486398062732,0.9896364229653258,0.020751360141246365,0.9999999974067435,126
monkeyT_session-y070416009-13_lfp-6,T,2007-04-16,embedding,10,0.0036531787991056506,0.0038180172988085356,0.9961819827011913,0.9981345128670122,1.5260379845945882,-0.5260379845945877,0.24341467595932348,1.522219967295779,0.9974314466061959,126
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,ar,1,1.2485545106021171e-11,2.0923363347326315e-11,0.9999999999790767,0.9999999999895754,0.04959114029592707,0.950408859704073,0.97520329528142,0.0495911402750037,0.999999999557595,126
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,ar,10,0.0012014555561601088,0.001999597682789653,0.9980004023172104,0.9990150401427341,2.3543955726551173,-1.3543955726551171,-0.17795745809685337,2.352395974972327,0.9991201318263184,126
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,embedding,1,2.2393973927099183e-11,3.749576814367123e-11,0.9999999999625042,0.9999999999813114,0.04959114029592707,0.950408859704073,0.97520329528142,0.04959114025843129,0.9999999992077985,126
monkeyT_session-y070419002-5_lfp-5,T,2007-04-19,embedding,10,0.0016085748898798733,0.0026772082142846386,0.9973227917857154,0.9986812293231426,2.3543955726551173,-1.3543955726551171,-0.17795745809685337,2.3517183644408317,0.9988237981213508,126
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,ar,1,1.9830134536225613e-11,2.897166808942723e-11,0.9999999999710282,0.9999999999855738,0.040247037656278774,0.9597529623437212,0.9798928079017477,0.0402470376273071,0.9999999992346114,126
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,ar,10,0.002024233640848733,0.0029593183248587695,0.997040681675141,0.9985442728977221,2.05661653040205,-1.0566165304020498,-0.026493818543470965,2.0536572120771908,0.9985079066013688,126
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,embedding,1,3.470880277924897e-11,5.101960897207688e-11,0.9999999999489804,0.9999999999745854,0.040247037656278774,0.9597529623437212,0.9798928079017477,0.04024703760525917,0.9999999986665664,126
monkeyT_session-y070419002-5_lfp-7,T,2007-04-19,embedding,10,0.002707659475466536,0.003971801965472475,0.9960281980345277,0.9980479050675207,2.05661653040205,-1.0566165304020498,-0.026493818543470965,2.0526447284365776,0.998008622487318,126
