recording,monkey,day,method,geometry_evaluable,macro_f1,n_trials
monkeyT_session-y070215005-10_lfp-2,T,2007-02-15,ktorus_power_frequency,True,0.21184572769938625,126
monkeyT_session-y070215005-10_lfp-2,T,2007-02-15,peak_frequency,True,0.17697614759464617,126
monkeyT_session-y070215005-10_lfp-2,T,2007-02-15,peak_power,True,0.12026078759949727,126
monkeyT_session-y070215005-10_lfp-2,T,2007-02-15,power_frequency,True,0.150100996054271,126
monkeyT_session-y070215011-16_lfp-1,T,2007-02-15,all_bands,True,0.25074305137931857,114
monkeyT_session-y070215011-16_lfp-1,T,2007-02-15,ktorus,True,0.25424274973147154,114
monkeyT_session-y070215011-16_lfp-1,T,2007-02-15,ktorus_all_bands,True,0.2762066365007541,114
monkeyT_session-y070215011-16_lfp-1,T,2007-02-15,ktorus_power_frequency,True,0.35956438165740484,114
monkeyT_session-y070215011-16_lfp-1,T,2007-02-15,peak_frequency,True,0.16727698128235766,114
monkeyT_session-y070215011-16_lfp-1,T,2007-02-15,peak_power,True,0.25995135602133573,114
monkeyT_session-y070215011-16_lfp-1,T,2007-02-15,power_frequency,True,0.2819877873879175,114
monkeyT_session-y070215011-16_lfp-2,T,2007-02-15,all_bands,True,0.17810483167626026,114
monkeyT_session-y070215011-16_lfp-2,T,2007-02-15,ktorus,True,0.1712150079023144,114
monkeyT_session-y070215011-16_lfp-2,T,2007-02-15,ktorus_all_bands,True,0.28181941339836075,114
monkeyT_session-y070215011-16_lfp-2,T,2007-02-15,ktorus_power_frequency,True,0.28878972781411805,114
monkeyT_session-y070215011-16_lfp-2,T,2007-02-15,peak_frequency,True,0.32283272283272274,114
monkeyT_session-y070215011-16_lfp-2,T,2007-02-15,peak_power,True,0.1800773605871057,114
monkeyT_session-y070215011-16_lfp-2,T,2007-02-15,power_frequency,True,0.3193364772317674,114
monkeyT_session-y070228001-5_lfp-8,T,2007-02-28,all_bands,True,0.11545137353186886,96
monkeyT_session-y070228001-5_lfp-8,T,2007-02-28,ktorus,True,0.16640078899073243,96
monkeyT_session-y070228001-5_lfp-8,T,2007-02-28,ktorus_all_bands,True,0.1785942332207188,96
monkeyT_session-y070228001-5_lfp-8,T,2007-02-28,ktorus_power_frequency,True,0.1679941593734697,96
monkeyT_session-y070228001-5_lfp-8,T,2007-02-28,peak_frequency,True,0.16463166463166465,96
monkeyT_session-y070228001-5_lfp-8,T,2007-02-28,peak_power,True,0.11539021034059967,96
monkeyT_session-y070228001-5_lfp-8,T,2007-02-28,power_frequency,True,0.17266688625384277,96
monkeyT_session-y070301002-6_lfp-8,T,2007-03-01,all_bands,True,0.2519466833725146,132
monkeyT_session-y070301002-6_lfp-8,T,2007-03-01,ktorus,True,0.12332581311744262,132
monkeyT_session-y070301002-6_lfp-8,T,2007-03-01,ktorus_all_bands,True,0.18315700257189618,132
monkeyT_session-y070301002-6_lfp-8,T,2007-03-01,ktorus_power_frequency,True,0.18693276145490442,132
