day,difference,monkey,enhanced,baseline
2008-07-11,0.062189802128,M,ktorus_all_bands,all_bands
2008-07-18,0.053149030836,M,ktorus_all_bands,all_bands
2008-07-22,0.121185668599,M,ktorus_all_bands,all_bands
2008-07-23,-0.014000543562,M,ktorus_all_bands,all_bands
2008-07-24,-0.044290081528,M,ktorus_all_bands,all_bands
2008-07-31,0.01897519231,M,ktorus_all_bands,all_bands
2008-08-01,0.01503588217,M,ktorus_all_bands,all_bands
2008-08-08,-0.01930712987,M,ktorus_all_bands,all_bands
2008-08-28,0.001437771756,M,ktorus_all_bands,all_bands
2008-08-29,0.004862725002,M,ktorus_all_bands,all_bands
2008-09-04,-0.019355199912,M,ktorus_all_bands,all_bands
2008-09-05,0.031095340911,M,ktorus_all_bands,all_bands
2008-09-10,0.006315899183,M,ktorus_all_bands,all_bands
2008-09-11,0.009037704238,M,ktorus_all_bands,all_bands
2008-09-17,0.025042157922,M,ktorus_all_bands,all_bands
2008-09-18,0.00885588021,M,ktorus_all_bands,all_bands
2008-09-19,0.005691207577,M,ktorus_all_bands,all_bands
2008-09-25,0.020544272832,M,ktorus_all_bands,all_bands
2008-09-26,-0.019382202172,M,ktorus_all_bands,all_bands
2008-10-01,0.014566817321,M,ktorus_all_bands,all_bands
2008-10-02,-0.037563688404,M,ktorus_all_bands,all_bands
2008-10-03,-0.02211211794,M,ktorus_all_bands,all_bands
2008-10-08,-0.018872174624,M,ktorus_all_bands,all_bands
2008-10-28,0.017392974844,M,ktorus_all_bands,all_bands
2008-10-31,0.012614711699,M,ktorus_all_bands,all_bands
2008-11-07,0.000760729767,M,ktorus_all_bands,all_bands
2008-11-13,0.041657942543,M,ktorus_all_bands,all_bands
2008-11-27,-0.0817784841,M,ktorus_all_bands,all_bands
2008-12-02,0.00747363198,M,ktorus_all_bands,all_bands
2007-01-30,-0.058081388192,T,ktorus,power_frequency
2007-02-01,-0.030157069438,T,ktorus,power_frequency
2007-02-02,-0.033318363649,T,ktorus,power_frequency
2007-02-06,0.009186511922,T,ktorus,power_frequency
2007-02-07,-0.00037567477,T,ktorus,power_frequency
2007-02-08,-0.060518542242,T,ktorus,power_frequency
2007-02-09,0.005877477418,T,ktorus,power_frequency
2007-02-13,0.012137615545,T,ktorus,power_frequency
2007-02-14,-0.010504350779,T,ktorus,power_frequency
2007-02-15,-0.033744674605,T,ktorus,power_frequency
2007-02-28,-0.006266097263,T,ktorus,power_frequency
2007-03-01,-0.043175757594,T,ktorus,power_frequency
2007-03-06,0.037903747663,T,ktorus,power_frequency
2007-03-07,-0.056821921273,T,ktorus,power_frequency
2007-03-08,0.011514452811,T,ktorus,power_frequency
2007-03-12,-0.0170961413,T,ktorus,power_frequency
2007-03-14,0.061575624513,T,ktorus,power_frequency
2007-03-15,-0.069492422002,T,ktorus,power_frequency
2007-03-16,-0.068761011139,T,ktorus,power_frequency
2007-04-12,-0.030177691167,T,ktorus,power_frequency
2007-04-13,-0.077777313891,T,ktorus,power_frequency
2007-04-16,-0.040036566418,T,ktorus,power_frequency
2007-04-19,-0.038841285661,T,ktorus,power_frequency
2007-04-20,-0.042421989969,T,ktorus,power_frequency
2007-04-23,0.016492388029,T,ktorus,power_frequency
2007-04-24,-0.069943165862,T,ktorus,power_frequency
2007-04-25,-0.047574032811,T,ktorus,power_frequency
2007-04-26,-0.018433924409,T,ktorus,power_frequency
2007-05-02,-0.029469570679,T,ktorus,power_frequency
2007-05-03,-0.030000434676,T,ktorus,power_frequency
2007-01-30,-0.023807372601,T,ktorus,all_bands
2007-02-01,-0.064514318724,T,ktorus,all_bands
2007-02-02,-0.054481875021,T,ktorus,all_bands
2007-02-06,-0.01089609946,T,ktorus,all_bands
2007-02-07,-0.00447410812,T,ktorus,all_bands
2007-02-08,-0.049687244445,T,ktorus,all_bands
2007-02-09,0.009290347956,T,ktorus,all_bands
2007-02-13,0.023681993377,T,ktorus,all_bands
2007-02-14,0.002501627792,T,ktorus,all_bands
2007-02-15,0.024978161576,T,ktorus,all_bands
2007-02-28,0.050949415459,T,ktorus,all_bands
2007-03-01,-0.068761781958,T,ktorus,all_bands
2007-03-06,0.006121077595,T,ktorus,all_bands
2007-03-07,-0.05680877284,T,ktorus,all_bands
2007-03-08,-0.131726271224,T,ktorus,all_bands
2007-03-12,0.013883191173,T,ktorus,all_bands
2007-03-14,0.10897239964,T,ktorus,all_bands
2007-03-15,-0.031195287528,T,ktorus,all_bands
2007-03-16,-0.035224493198,T,ktorus,all_bands
2007-04-12,-0.012693585879,T,ktorus,all_bands
2007-04-13,-0.009156369646,T,ktorus,all_bands
2007-04-16,0.011808177174,T,ktorus,all_bands
2007-04-19,-0.016142522199,T,ktorus,all_bands
2007-04-20,-0.014486489092,T,ktorus,all_bands
2007-04-23,0.02099804435,T,ktorus,all_bands
2007-04-24,-0.025610681488,T,ktorus,all_bands
2007-04-25,-0.01336828441,T,ktorus,all_bands
2007-04-26,0.015109936763,T,ktorus,all_bands
2007-05-02,-0.017983283699,T,ktorus,all_bands
2007-05-03,-0.004197037041,T,ktorus,all_bands
2007-01-30,-0.024795202632,T,ktorus_power_frequency,power_frequency
2007-02-01,0.014773928882,T,ktorus_power_frequency,power_frequency
2007-02-02,-0.001002569019,T,ktorus_power_frequency,power_frequency
