recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,all_bands,True,4,0.047619047619047616
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,all_bands,True,5,0.32
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,all_bands,True,6,0.2
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus,True,1,0.18181818181818182
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus,True,2,0.2127659574468085
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus,True,3,0.21621621621621623
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus,True,4,0.3684210526315789
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus,True,5,0.13953488372093023
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus,True,6,0.32558139534883723
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_all_bands,True,1,0.23255813953488372
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_all_bands,True,2,0.19047619047619047
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_all_bands,True,3,0.2
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_all_bands,True,4,0.16666666666666666
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_all_bands,True,5,0.20512820512820512
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_all_bands,True,6,0.23809523809523808
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_power_frequency,True,1,0.10256410256410256
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_power_frequency,True,2,0.2727272727272727
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_power_frequency,True,3,0.18604651162790697
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_power_frequency,True,4,0.3333333333333333
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_power_frequency,True,5,0.22727272727272727
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus_power_frequency,True,6,0.30434782608695654
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_frequency,True,1,0.23076923076923078
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_frequency,True,2,0.07142857142857142
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_frequency,True,3,0.14634146341463414
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_frequency,True,4,0.12903225806451613
