monkey,method,true_direction,predicted_direction,fraction
M,power_frequency,4,1,0.16581534674606863
M,power_frequency,4,2,0.1352594388019699
M,power_frequency,4,3,0.1527915225358549
M,power_frequency,4,4,0.23248955919157385
M,power_frequency,4,5,0.1707834883521945
M,power_frequency,4,6,0.14286064437233825
M,power_frequency,5,1,0.16951022496020818
M,power_frequency,5,2,0.15580277732611517
M,power_frequency,5,3,0.1570592537061128
M,power_frequency,5,4,0.18199782570799114
M,power_frequency,5,5,0.1582962334751259
M,power_frequency,5,6,0.17733368482444684
M,power_frequency,6,1,0.17408201747868135
M,power_frequency,6,2,0.15725917868819594
M,power_frequency,6,3,0.16436556992176732
M,power_frequency,6,4,0.15158842581451146
M,power_frequency,6,5,0.1554699554359996
M,power_frequency,6,6,0.19723485266084434
T,all_bands,1,1,0.22187778889495743
T,all_bands,1,2,0.15670928338404436
T,all_bands,1,3,0.14620179069322395
T,all_bands,1,4,0.1309646072366144
T,all_bands,1,5,0.1620959589562939
T,all_bands,1,6,0.18215057083486597
T,all_bands,2,1,0.1626521434656541
T,all_bands,2,2,0.2408126042150809
T,all_bands,2,3,0.19511040402936447
T,all_bands,2,4,0.14807735383898366
T,all_bands,2,5,0.1201824808193841
T,all_bands,2,6,0.1331650136315327
T,all_bands,3,1,0.14010537729944367
T,all_bands,3,2,0.18573303852504233
T,all_bands,3,3,0.2437231989121635
T,all_bands,3,4,0.1592423354080864
T,all_bands,3,5,0.14952248997195514
T,all_bands,3,6,0.12167355988330887
T,all_bands,4,1,0.1383572122324387
T,all_bands,4,2,0.18404568510610303
T,all_bands,4,3,0.18413984082343512
T,all_bands,4,4,0.1856927761577564
T,all_bands,4,5,0.15699598673692172
T,all_bands,4,6,0.15076849894334504
T,all_bands,5,1,0.15970044680541987
T,all_bands,5,2,0.16376987568875895
T,all_bands,5,3,0.17623529998101525
T,all_bands,5,4,0.14560917286585612
T,all_bands,5,5,0.17122452523911436
T,all_bands,5,6,0.18346067941983543
T,all_bands,6,1,0.1827037913001052
T,all_bands,6,2,0.16017949762771486
T,all_bands,6,3,0.14574394148948092
T,all_bands,6,4,0.14357643553898242
T,all_bands,6,5,0.17873511776911347
T,all_bands,6,6,0.1890612162746031
T,ktorus,1,1,0.19879460089641798
T,ktorus,1,2,0.18891110750680865
T,ktorus,1,3,0.14297082417390447
T,ktorus,1,4,0.1463649749126272
T,ktorus,1,5,0.15910246856908364
T,ktorus,1,6,0.16385602394115803
T,ktorus,2,1,0.17648195373034678
T,ktorus,2,2,0.23350484765054855
T,ktorus,2,3,0.15342377503854276
T,ktorus,2,4,0.14182170122102072
T,ktorus,2,5,0.14507094591802425
T,ktorus,2,6,0.1496967764415169
T,ktorus,3,1,0.1641422717569057
T,ktorus,3,2,0.18299553810823982
T,ktorus,3,3,0.17115558697877023
T,ktorus,3,4,0.15942812838443907
T,ktorus,3,5,0.1679739887576065
T,ktorus,3,6,0.1543044860140387
T,ktorus,4,1,0.16553805851597883
T,ktorus,4,2,0.16427956053404963
T,ktorus,4,3,0.1511243521037992
T,ktorus,4,4,0.17548697632060212
T,ktorus,4,5,0.18498263627718461
T,ktorus,4,6,0.15858841624838557
T,ktorus,5,1,0.13710907501934114
T,ktorus,5,2,0.1357860741536854
T,ktorus,5,3,0.14495074545779882
T,ktorus,5,4,0.1611238439350836
T,ktorus,5,5,0.22263899717656385
T,ktorus,5,6,0.19839126425752718
T,ktorus,6,1,0.1660731176394405
T,ktorus,6,2,0.15734732739527368
T,ktorus,6,3,0.13284117309976648
T,ktorus,6,4,0.16896259360090413
T,ktorus,6,5,0.19386844464994296
T,ktorus,6,6,0.18090734361467228
T,ktorus_all_bands,1,1,0.22659856903113793
T,ktorus_all_bands,1,2,0.16648562392248112
