recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080801001-7_lfp-5,M,4,ok,2,5,14.0,5.543455480865398,36,101,"[18.0, 34.0]",2.8055555555555554,"[{""lower_hz"": 18.0, ""upper_hz"": 34.0, ""multiple"": 2}]",True
monkeyM_session-o080801001-7_lfp-6,M,0,ok,1,3,12.0,1.543256175354837,10,100,[32.0],10.0,[],True
monkeyM_session-o080801001-7_lfp-6,M,1,ok,1,3,12.0,1.543256175354837,10,101,[32.0],10.1,[],True
monkeyM_session-o080801001-7_lfp-6,M,2,ok,1,3,12.0,1.543256175354837,10,101,[32.0],10.1,[],True
monkeyM_session-o080801001-7_lfp-6,M,3,ok,1,3,12.0,1.543256175354837,10,101,[32.0],10.1,[],True
monkeyM_session-o080801001-7_lfp-6,M,4,ok,1,3,12.0,1.543256175354837,10,101,[32.0],10.1,[],True
monkeyM_session-o080808001-5_lfp-5,M,0,ok,1,3,28.0,3.173141866875186,10,76,[20.0],7.6,[],True
monkeyM_session-o080808001-5_lfp-5,M,1,ok,2,5,28.0,3.2430515690380672,36,77,"[20.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080808001-5_lfp-5,M,2,ok,2,5,31.0,2.2142625394830024,36,77,"[18.0, 36.0]",2.138888888888889,"[{""lower_hz"": 18.0, ""upper_hz"": 36.0, ""multiple"": 2}]",True
monkeyM_session-o080808001-5_lfp-5,M,3,ok,2,5,30.0,3.465335956152202,36,77,"[18.0, 36.0]",2.138888888888889,"[{""lower_hz"": 18.0, ""upper_hz"": 36.0, ""multiple"": 2}]",True
monkeyM_session-o080808001-5_lfp-5,M,4,ok,2,5,29.0,9.734811637151978,36,77,"[20.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080808001-5_lfp-6,M,0,ok,1,3,28.0,1.0507675666973844,10,76,[30.0],7.6,[],True
monkeyM_session-o080808001-5_lfp-6,M,1,ok,1,3,30.0,1.828015532346449,10,77,[30.0],7.7,[],True
monkeyM_session-o080808001-5_lfp-6,M,2,ok,1,3,29.0,1.3500953983879593,10,77,[30.0],7.7,[],True
monkeyM_session-o080808001-5_lfp-6,M,3,ok,1,3,28.0,1.323843338244691,10,77,[28.0],7.7,[],True
