recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,minimum_short,minimum_long,status,geometry_evaluable,n_trials,selection_hash,predecessor_features_sha256,fit_seconds,decode_seconds
monkeyM_session-o080429002-7_lfp-2,M,o080429002-7,2008-04-29,2,250,250,5000,4500,4500,5000,135,b0e7ae3e90a03bbba9144e97e2c4c54b3511bd00aa994c194ea032dd9081e1a7,20,20,eligible,True,120.0,226786afd024b92b082402054daddec2dd4c255c3f25e75b1de8a22ec6a37743,3722c6d06eb2f0b27accfdcba7a222f036e714e54bfca7f61880d844bacf98cf,3.524975608976092,28.93248008500086
monkeyM_session-o080429011-12_lfp-2,M,o080429011-12,2008-04-29,2,101,101,5000,4500,4500,5000,137,882eb2e1487c2de2be925881e1697f7aa9d9c628248efe6c192caf2a208f122d,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080430002-12_lfp-1,M,o080430002-12,2008-04-30,1,250,250,5000,4500,4500,5000,144,8693ece17143fa5a088e3f791346a22aef168a29b62464fb0a17e1f6562f781d,20,20,eligible,True,120.0,e8873f108512963fa47c07342fca676339fe0de9c8898840403f818d830430bb,5d404fd8ccf859f6d93aff28f8b2becb5ad13a1aabe07c18da33aa7d05ec3b84,8.912963623995893,35.411556805018336
monkeyM_session-o080430013-23_lfp-1,M,o080430013-23,2008-04-30,1,254,254,5000,4500,4500,5000,150,5b413c1601036250c8eb692c71c92b42422d1af6afacb87f14d92955efcf2d6a,20,20,eligible,True,120.0,9183dda4468fd7f025875b721679eaed4817aa88d0aa6489f64c3b3827c84b3f,7c9b29da77252d53cdbd66ee811ede6e7e7a5ad054c03ac1b2e704b08ea7babf,3.993004975025542,30.687497235951014
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2008-04-30,2,254,254,5000,4500,4500,5000,149,edb94acbe45c58629803751eca2f05f213b513a9dcd5c8a0be324977a5a60770,20,20,eligible,True,120.0,80f86a5ab9ffc8fac43cef8ef58d50c3d2c445ea82fb078bdc5691906e33d20b,0ed70546a937eaabb8ad94865ae7d40d986004f0f3eb1b3b0850b1ec4e1aad8f,5.076425363018643,30.660368557961192
monkeyM_session-o080501001-6_lfp-1,M,o080501001-6,2008-05-01,1,146,146,5000,4500,4500,5000,156,90d6e651001d591758be9e6573d92d5d1cb8fec0643dbd08ad440297aa554e8e,10,9,insufficient_short_trials,False,,,,,
monkeyM_session-o080501018-21_lfp-6,M,o080501018-21,2008-05-01,6,103,103,5000,4500,4500,5000,161,136c5fe71f3a9b5d3ac81d62fad707c0234f3939525bec11321d62e4326567da,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080501018-21_lfp-7,M,o080501018-21,2008-05-01,7,103,103,5000,4500,4500,5000,163,3ab75559175de7f824c6505ff44a1105abd233d9a348b9e473948118c43ac11a,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080506002-22_lfp-1,M,o080506002-22,2008-05-06,1,410,410,5000,4500,4500,5000,168,f83fa2a94b1ddb2e6569e95b088d253765c9653b823f4b506a7f409bd2e8792d,33,29,eligible,True,198.0,ff1aabf8b62af8bd5044cfdb48df957f9fee33a929c837581903f8275481920b,e22e21362c57ce785a5539903bb58132d2220d09979ed37f2f69d9cffec3727e,3.7310192250297405,30.961514130001888
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2008-05-06,2,410,410,5000,4500,4500,5000,166,7a55eff8667998cefe4610be131bcb117bc7dad9070a6869bd26f82cdaae5441,33,29,eligible,True,198.0,5ac61ee1a0f775e3c3d5abfe9ce1a083e3c2d00bd27116f388d3d3c38ff0d322,63faf5c15f10bd661e9072405258f07927bcb8b1f39fae5d7964c5f396f40ddd,4.928507522039581,31.11958580900682
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,2008-05-07,1,242,242,5000,4500,4500,5000,172,d5ef27e60ad3420085d11ebd5185165ce931c81ade9aa700fd2bb23aff30f8ca,20,20,eligible,True,120.0,e34b88d831aca1e35507916981fa2a61e130fb57c7900bddbbbaa083812af57c,1cd55aca57f8e99b23ea4c76f7bf93be7ec9c1656d5908f57b71a44869ffd347,4.158921572030522,30.87598838697886
monkeyM_session-o080507012-23_lfp-1,M,o080507012-23,2008-05-07,1,233,233,5000,4500,4500,5000,177,34c7aef75ab1ef700202478cef8703d1d63631171cd08fc1b28b7293f6f69b02,18,17,eligible,True,108.0,16a4a1436a7ae7c25ed7ec4e2d1ed2d552270c75e549e3643d529f712e7627be,dd98c37290005ef444ea85847e6ea86e5115747d3bd2c48a8be95a93e530f236,5.205051230965182,31.030957743991166
monkeyM_session-o080507012-23_lfp-2,M,o080507012-23,2008-05-07,2,233,233,5000,4500,4500,5000,176,363ab54d7895bfe3160176dc07be3c4f44b3f99b478431ba749c12ec97b0d7fa,18,17,eligible,True,108.0,a5e2a83ab586be5ca72e987d54a0a6e159982e1e1cdc745bb673c6411d8c1887,7f064e5daf959a37c202194a5a9eb751ee758ab8f803367cf6f110d499b49283,3.3819586529862136,30.80886223295238
monkeyM_session-o080509001-9_lfp-1,M,o080509001-9,2008-05-09,1,227,227,5000,4500,4500,5000,179,ec7ac649acbaab612b2cbc1119036e07a5708c5bfdd613be34d037074037a798,16,18,eligible,True,96.0,1c764e3bace040cfbed8c9faac71f4ff0463d94cdbc1ad36a4afb2d26693282f,dc77ad2be85fc9b4f3ad13ecff571169ae9621a918215074fc69b902d1c0ae69,5.285871507017873,31.233781446993817
monkeyM_session-o080509010-19_lfp-1,M,o080509010-19,2008-05-09,1,232,232,5000,4500,4500,5000,181,292d08b7aafeff1b738f4df3742117b22fa58e013cfac58c8590a63ac5334bbe,19,15,eligible,True,114.0,e35829c01e90f32007b06be702b34a8724e4ab8c05940d8f1e0154c7a1d465c7,2001ed5b88964cdca5294a03574405bb340935e523e6564981b05003a9ab4142,6.190067144983914,31.24591298098676
monkeyM_session-o080513001-9_lfp-1,M,o080513001-9,2008-05-13,1,224,224,5000,4500,4500,5000,186,517db8dbd5c697aa47c64788291cec2effc3d11f02fa92e09901c8dd0fe14f9f,17,17,eligible,True,102.0,f6f851c0425a29a65f59d56b122f71dec835c879817cc9f83f2eaba03f11b8e1,7dc36710c225c53539fc1a4df2cb85fc900764cebab9fcd4b761998899a7b915,2.951269056997262,31.235481231007725
monkeyM_session-o080513001-9_lfp-2,M,o080513001-9,2008-05-13,2,224,224,5000,4500,4500,5000,185,387fa871d39c248c20d9281b3b4d409e9dbee2fe1e1d7a8e6629643062191804,17,17,eligible,True,102.0,7a149df2ab3d4d4d380b76bd17b3d58eb8fd13e31a85a18227c06db96110dffa,d0a57b936e83183ea48b05523b052ba27875a71c1743e617dfd20be11b50ca74,3.081011298985686,30.70555640204111
monkeyM_session-o080513010-18_lfp-1,M,o080513010-18,2008-05-13,1,225,225,5000,4500,4500,5000,190,eb57cc81e73b655df88b3c17840fcb47e6bcfd50dade8d87d5f66804077714cd,18,15,eligible,True,108.0,69ce3291b220e45462abd4c2f25821f904bc146efa366b9b1a94f2e3bd650b61,39b915c152016765643668dd15a45914df1305b760b8965347d656f173f08781,3.4660328190075234,31.05536487197969
monkeyM_session-o080513010-18_lfp-2,M,o080513010-18,2008-05-13,2,225,225,5000,4500,4500,5000,189,c1be5348acd1b4ee1c20bfd04ab00ab86e3f7118c80e621a4d250000900f2177,18,15,eligible,True,108.0,9d1c9945e44ed4ce55e4386ba194f4a28e7442b61b414336a700fceaf97ab6b2,d0a8381e3f2b8c492694daca67226a8ba15ba93284a0dcb819bd796c820bbc7a,3.6475430079735816,30.685812336974777
monkeyM_session-o080514007-17_lfp-1,M,o080514007-17,2008-05-14,1,198,198,5000,4500,4500,5000,194,d67e6e32dd9fb6853c33329285f68dd1807bb0e9f42e5e5406f255c0bd1ce6af,14,14,insufficient_short_trials,False,,,,,
monkeyM_session-o080515002-11_lfp-1,M,o080515002-11,2008-05-15,1,245,245,5000,4500,4500,5000,199,973b61a2d8c7fad8a6a696407e31cc67ff02f15486c88c18fcdf142e56bd0fae,20,20,eligible,True,120.0,10fffe33e02fe5edbb5c3ff8724a2f1de98d294e35ce2efee4fdcc0e3ccad0d3,acc4ccca6e479384bbad43e5248e0a63e1ddf23440306dc34df30a32542c53bc,2.425465098989662,30.5528552790056
monkeyM_session-o080515002-11_lfp-2,M,o080515002-11,2008-05-15,2,245,245,5000,4500,4500,5000,197,e03ed99a1135fa5a16579ef1f033270e3fa82022a9445ca0b8cec41e5658c97f,20,20,eligible,True,120.0,09971ac8968783a69f0c14b3425873c05e9158cb21da56a6c8c00f3a92489eb3,ec6c08509476c6de1ebf12019104444d3dfa20ace18658d93a2ab91fa0299e9f,2.8955248019774444,30.355741705046967
monkeyM_session-o080515012-24_lfp-1,M,o080515012-24,2008-05-15,1,292,292,5000,4500,4500,5000,203,446ecd55455222006f9f979ee714db60333214ab1705375723e6da35bdbc30ff,21,23,eligible,True,126.0,5cca06de4f6f3619a55fb39d31d3f1b659818367c642fdc642c38382ec89fa6c,507ebaa934190e1caf270e05bc21ebde0d22282e01d8e8994c935554530563db,3.1336013859836385,30.612455324037
