row_index,original_trial_number,direction,opposite_pair,distance,betti_h1,plot_x
127,440,4,1-4,0.22000855207443237,30,2.0952827244515477
128,388,4,1-4,0.22000855207443237,28,2.089752627574656
129,121,4,1-4,0.22000855207443237,26,2.01725846426849
130,291,4,1-4,0.22000855207443237,29,1.9778167751465792
131,573,4,1-4,0.22000855207443237,21,1.857516222029291
132,705,5,2-5,0.22000855207443237,27,1.8874111851272681
133,45,5,2-5,0.22000855207443237,32,2.0883768985274154
134,410,5,2-5,0.22000855207443237,21,1.8723137194759962
135,142,5,2-5,0.22000855207443237,23,1.9500182816120903
136,706,5,2-5,0.22000855207443237,35,2.1433887367037787
137,328,5,2-5,0.22000855207443237,24,2.028718606132586
138,143,5,2-5,0.22000855207443237,34,2.0977685110832174
139,44,5,2-5,0.22000855207443237,52,1.9557158261294063
140,164,5,2-5,0.22000855207443237,25,1.8507904374042925
141,560,5,2-5,0.22000855207443237,25,2.0622696426095857
142,194,5,2-5,0.22000855207443237,30,1.8405362996912549
143,243,5,2-5,0.22000855207443237,28,1.8324272341379975
144,403,5,2-5,0.22000855207443237,29,1.930761705340469
145,568,5,2-5,0.22000855207443237,31,2.155278660867249
146,581,5,2-5,0.22000855207443237,13,2.008765288407031
147,63,5,2-5,0.22000855207443237,24,1.9245310965262317
148,294,5,2-5,0.22000855207443237,20,1.832494705472052
149,367,5,2-5,0.22000855207443237,37,1.9491792113467856
150,436,5,2-5,0.22000855207443237,23,2.1028693118286137
151,241,5,2-5,0.22000855207443237,17,1.8519427201644847
152,457,5,2-5,0.22000855207443237,25,1.8616248899517729
153,36,5,2-5,0.22000855207443237,32,2.065024220896235
154,485,5,2-5,0.22000855207443237,33,1.9241044998067174
155,700,5,2-5,0.22000855207443237,19,1.8988989990313947
156,6,5,2-5,0.22000855207443237,41,2.04395065451744
157,157,5,2-5,0.22000855207443237,22,2.0565961124660284
158,476,5,2-5,0.22000855207443237,28,1.9798643009009618
159,271,5,2-5,0.22000855207443237,12,1.8047034541138296
160,399,5,2-5,0.22000855207443237,18,2.121408134439724
161,300,5,2-5,0.22000855207443237,22,1.9800522737088342
162,446,5,2-5,0.22000855207443237,36,2.1950421997693366
163,542,5,2-5,0.22000855207443237,38,2.0612644546201513
164,693,5,2-5,0.22000855207443237,29,2.044977373134806
165,258,6,3-6,0.22000855207443237,25,1.871665214938329
166,550,6,3-6,0.22000855207443237,35,2.1748713391973653
167,100,6,3-6,0.22000855207443237,21,2.0857313902156394
168,129,6,3-6,0.22000855207443237,22,1.9573839082520137
169,186,6,3-6,0.22000855207443237,22,2.1468508667413784
170,650,6,3-6,0.22000855207443237,11,1.8388431056580024
171,438,6,3-6,0.22000855207443237,31,2.076250794782445
172,290,6,3-6,0.22000855207443237,28,2.1710474919348086
173,289,6,3-6,0.22000855207443237,30,1.9034964053571939
174,67,6,3-6,0.22000855207443237,41,1.8601649681396304
175,458,6,3-6,0.22000855207443237,21,2.061555329804927
176,90,6,3-6,0.22000855207443237,33,1.9642794564852328
177,77,6,3-6,0.22000855207443237,14,1.8703479684720894
178,292,6,3-6,0.22000855207443237,32,2.062530037864472
179,649,6,3-6,0.22000855207443237,36,1.9474634350707671
180,524,6,3-6,0.22000855207443237,11,1.9709886351210522
181,105,6,3-6,0.22000855207443237,20,1.904913970589426
182,372,6,3-6,0.22000855207443237,20,1.8061278953505837
183,617,6,3-6,0.22000855207443237,21,1.9850394097126116
184,527,6,3-6,0.22000855207443237,22,2.1170546357612543
185,555,6,3-6,0.22000855207443237,39,2.166216118597877
186,342,6,3-6,0.22000855207443237,29,1.930692088404541
187,211,6,3-6,0.22000855207443237,12,2.1972445097289177
188,539,6,3-6,0.22000855207443237,28,1.9837614431878248
189,24,6,3-6,0.22000855207443237,28,2.1526393563882493
190,538,6,3-6,0.22000855207443237,30,2.0164285480213153
191,642,6,3-6,0.22000855207443237,29,2.1452670146301567
192,379,6,3-6,0.22000855207443237,27,2.067396234690719
193,483,6,3-6,0.22000855207443237,22,2.0393134237301003
194,9,6,3-6,0.22000855207443237,23,1.9115780791546098
195,113,6,3-6,0.22000855207443237,20,2.0917051784525373
196,187,6,3-6,0.22000855207443237,13,2.198959806684006
197,376,6,3-6,0.22000855207443237,18,2.001134639479787
