row_index,original_trial_number,direction,tau_ms,n_points,status,reason,model,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
110,17,4,1,498,returned,,one_torus,True,3,`xtol` termination condition is satisfied.,30,2.490787178283673,175793.0754875207,,1409.8578445275512,0.00035607280093402345,0.03174990217926714,0.015517405672495295,0,0,0.0010080562883930323,0.008223812900474725,0.857429718875502,0.9996794086832888,0.11094392102529482,0.05823293172690763,4.0606400799179045,0.47914228802605185,1.0090302778606581,0.4505033323386698,0.053157924162654455,-0.19266241403687387,-0.21040282564311147,-0.22473591292223283,0.41206478607559655,-0.8131011514587947,0.4111801668032669,-0.5746210698487922,-0.582121903607682,-0.5752779462346858,0.7071161419176898,0.0007789965001064302,-0.7070969912267303
110,17,4,2,496,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,16,2.991831508252397,0.00031058743931749143,,1407.9502780089003,0.000897678475968692,0.0504792887064779,0.03855787896231341,0,0,0.0025481585883119474,0.0080756843373136,0.8850806451612904,0.999664498192464,0.1076585168651341,0.056451612903225805,4.00249760315055,1.020991204752784,1.1206668633389312,0.43090295571154996,0.10991839883605865,-0.15232880896426013,-0.1858184444785664,-0.20727829545328305,0.4202040094701386,-0.8036517997268995,0.42139337348899486,-0.5678328693409964,-0.595099729998305,-0.568702157416266,0.7078095951027051,-0.00031008164890533016,-0.7064031999700423
110,17,4,3,494,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,33,4.601852825453934,0.18688620802548,,1405.7394209266286,0.003163504773985036,0.09487967416147972,0.077809726747844,0,0,0.009002152568988562,0.008251624985806933,0.888663967611336,0.9996371390814637,0.11134485935636264,0.06680161943319839,3.9055577623408584,1.517812526349492,1.2048764716646232,0.43486377975610463,0.1690006222757529,-0.12104431881865886,-0.16561746482286008,-0.18884119958816142,0.4351960165084258,-0.7877781861946689,0.4359013151741153,-0.5568501834203012,-0.6159589912308254,-0.5572363900039919,0.7074760069700291,-0.00022467012458379988,-0.7067373267933982
110,17,4,4,492,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,31,8.65395277166509,0.1502599496200442,,1403.5456130054536,0.008901284352962174,0.15935182864373387,0.1316471786849614,0,0,0.025393005292101922,0.008151638675948205,0.9024390243902439,0.9996731792515471,0.10788146243909823,0.056910569105691054,3.7834373679882525,1.9243541062276115,1.2730066456699694,0.4081627563054132,0.2076021352305734,-0.06142134462696142,-0.12506674963999312,-0.16661535213449205,0.4536876097628397,-0.7664556359707189,0.4546573554182023,0.5424363480385661,0.6422965441119385,0.541496036685814,-0.7070575373140209,0.0009526329018843281,0.707155379966798
110,17,4,5,490,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,29,16.345193548308565,0.0009745088697730544,,1401.5707949787227,0.02014791793836012,0.24006263367251177,0.19773864797498714,0,0,0.057630068085782575,0.007812870790648681,0.8959183673469387,0.999689900427883,0.12572573884236163,0.06938775510204082,3.4074477477896132,2.2497322883646724,1.2364817240860804,0.4284038856577159,0.2828492541522484,0.22120891685321398,0.15291632080781217,-0.006560644246546109,0.4747846720465665,-0.7409594658161147,0.4749300845456574,0.5255264652589884,0.671547878585729,0.5223460357630759,-0.7059755303835581,0.0015864372918361837,0.7082344482686315
110,17,4,6,488,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,36,28.870026360568996,0.00033729498732997735,,1399.5226725482767,0.038196047954228374,0.3309704902206435,0.2707194559447315,0,0,0.10954146539689308,0.007353534016602442,0.8790983606557377,0.9997553952324423,0.13366348883243784,0.08401639344262295,3.2801578315127804,2.4490358995909527,1.2408524272018107,0.4384373396811757,0.32734668261531447,0.23772528014608177,0.1631765637639943,-0.03540946392995356,-0.4978140922218002,0.711091323979541,-0.4965181351630559,0.5060242727890322,0.7030950554948378,0.4995966155660406,0.7043582646154306,-0.002543992617360323,-0.7098400969003527
110,17,4,7,486,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,26,46.17500759594904,0.0007824598919589405,,1396.8987242648093,0.06328578459096645,0.426498403740804,0.34618809878904055,0,0,0.18190088839345384,0.007337536934712098,0.8950617283950617,0.9996979334833815,0.14636859113441084,0.06995884773662552,3.177919331757924,2.535019093869986,1.2191859192577128,0.46514757532836204,0.3710471732686974,0.25093617481139496,0.15306117238188177,-0.08925473847072452,-0.5220263889669787,0.6779069955556859,-0.5176200871277412,0.4849146386148486,0.7351383803577632,0.47373975448551436,0.7016738861305162,-0.00369690414516016,-0.7124886598537838
110,17,4,8,484,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,37,66.54630640957103,0.0966272214882675,,1393.6057891618545,0.09380008339878608,0.5196954353797736,0.4178121650371741,0,0,0.2700833455545724,0.007654688251333428,0.9111570247933884,0.9996060940142103,0.1630560470419658,0.05371900826446281,3.123729051185796,2.5650741264820884,1.1903023547793221,0.5093429111166694,0.41825084743392665,0.19785363749305407,0.07696380510273894,-0.15563972238051976,0.5491008394271328,-0.6399088350079989,0.5375918070604156,-0.4632516176047922,-0.7684223989618254,-0.4415030640417986,0.6956192974072595,-0.006610571156820213,-0.7183801872418333
110,17,4,9,482,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,119,87.54701138568105,0.001622188243336842,nearly_circular_orientation,1390.2584611092107,0.1266475994983199,0.604397606176675,0.4824180277791815,0,0,0.3652964663520952,0.007301937459808009,0.9004149377593361,0.9996546111436351,0.12394545485701931,0.05186721991701245,2.7264354009571656,2.712534514001874,1.1912085787238875,0.3379292759100397,0.3362063241534494,0.2547048865239964,0.2944099717845976,-0.010441538204128978,0.576920874390892,-0.593305577283357,0.5613829322804331,-0.7176349842640385,-0.6964178655280099,0.0014784896901015405,0.3900799072636445,-0.4037210033381079,-0.82755484253967
110,17,4,10,480,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,123,106.23962095260923,0.0011569751460227757,nearly_circular_orientation,1387.729628727239,0.1579475142944305,0.6757533533185393,0.5353808064346044,0,0,0.4566425945212506,0.007864832557022614,0.89375,0.9996744924130999,0.12749528956099546,0.06041666666666667,2.6736147941633077,2.6566623544909533,1.1626729800364939,0.3408732923565397,0.3387119361517468,0.25528993199495115,0.3980834720982299,0.0030877440627903657,0.614316655126632,-0.5195364317163221,0.5938829374150685,-0.7055421792077359,-0.024667292318720484,0.7082384895262765,-0.3533062136324538,-0.8540921617761587,-0.38170839471935497
