,normalized_3d_set_error,normalized_3d_set_error,rms_3d_set_distance,rms_3d_set_distance,mean_3d_set_distance,mean_3d_set_distance,native_mse,native_mse,native_mean_error,native_mean_error,native_frac_inside,native_frac_inside,native_r_squared,native_r_squared,native_hole_quality,native_hole_quality,native_frac_in_hole,native_frac_in_hole
model,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus
original_trial_number,,,,,,,,,,,,,,,,,,
48,0.2388229751403467,0.0003934050221017,1.083602779922356,0.0439796742446508,0.8326579092174962,0.0101733072231114,1.1741949846554578,0.0019342117466656,0.0086177230657464,0.0101733072231114,0.9017094017094016,0.9188034188034188,0.999764369756748,0.9996065949778984,0.1090446788068422,-0.0485902203252912,0.0363247863247863,0.0619658119658119
51,0.1467987388034041,0.0004528497416334,0.7558657335478803,0.0419817518659828,0.6217018518114577,0.0112064762849471,0.5713330071518752,0.0017624674897369,0.006460270091945,0.0112064762849471,0.9273504273504274,0.8782051282051282,0.999757793714107,0.9995471502583666,0.1151794869747036,0.0870386239736058,0.0427350427350427,0.0769230769230769
56,0.2413698587069699,0.0010063181051713,0.893867455025492,0.0577164020919524,0.721272950666176,0.0142037793209768,0.79899902715375,0.0033311830704399,0.0088319569417066,0.0142037793209768,0.905982905982906,0.8931623931623932,0.9995582752589008,0.9989936818948286,0.1716160145009916,-0.1076086793445922,0.0534188034188034,0.0854700854700854
63,0.2566502683867059,0.0014697614640088,0.917051456906812,0.069397890919159,0.7668843816955002,0.019228290030483,0.8409833746149062,0.0048160672640274,0.010548171940576,0.019228290030483,0.905982905982906,0.8653846153846154,0.9994729316469608,0.9985302385359912,0.1754339240087065,-0.1594872322368454,0.0534188034188034,0.1047008547008547
67,0.294899156393373,0.0011847525809261,0.851710572428355,0.0539845026802175,0.6915647206726201,0.0139361133175316,0.7254108991862362,0.0029143265296304,0.0113337327658025,0.0139361133175316,0.8931623931623932,0.8824786324786325,0.9993259477755992,0.998815247419074,0.1488840563422241,-0.0106748532811442,0.0811965811965812,0.0961538461538461
77,0.22156978617051,0.0007021077044102,1.0170412857994928,0.0572512776540937,0.8466754095359472,0.0136235683342457,1.0343729770206855,0.0032777087930261,0.007548000894487,0.0136235683342457,0.9102564102564102,0.905982905982906,0.9998100168327292,0.9992978922955896,0.1194750489806891,-0.0824692774292283,0.0576923076923076,0.0683760683760683
80,0.22072845512932,0.0008948537018889,0.8918342333297311,0.0567846556547185,0.6947202004091448,0.0152035202632486,0.7953682997388293,0.0032244971178249,0.0099361879812699,0.0152035202632486,0.9252136752136751,0.8803418803418803,0.999437263439746,0.999105146298111,0.1843530644479214,0.0011175720499611,0.0427350427350427,0.0854700854700854
82,0.2317471763393939,0.0009931504019754,0.901415277553181,0.0590099436746836,0.6943543877205883,0.0145927074801769,0.8125495026062783,0.0034821734524893,0.0088883435110841,0.0145927074801769,0.908119658119658,0.905982905982906,0.9995492956604356,0.9990068495980244,0.1459652349897391,-0.0204786838587451,0.0555555555555555,0.0641025641025641
85,0.2270549388711322,0.0008999714696684,0.8999609961676891,0.0566594797105057,0.7019126585134335,0.012738896411288,0.8099297946231394,0.0032102966410652,0.0095725124656061,0.012738896411288,0.9188034188034188,0.9123931623931624,0.9994530073346488,0.9991000285303316,0.1869624026140202,0.0132432372387658,0.0405982905982906,0.0534188034188034
86,0.2622200394286286,0.002023758022153,0.8984551340922755,0.0789301171171457,0.7264555670554415,0.0199184442591367,0.8072216279767688,0.0062299633881263,0.0100855332696333,0.0199184442591367,0.905982905982906,0.8888888888888888,0.999405702840022,0.997976241977847,0.2044972671038762,-0.2117365707685212,0.0363247863247863,0.0705128205128205
89,0.2477512955829785,0.0011415263883051,0.8363722127501836,0.0567720538651599,0.6733650024171214,0.0163788724190986,0.6995184782606383,0.0032230661000686,0.0107071658091554,0.0163788724190986,0.905982905982906,0.8910256410256411,0.9994135276882746,0.9988584736116948,0.1712804314673243,0.06609003146285,0.0534188034188034,0.0747863247863247
90,0.2502606247135006,0.0010826316270941,0.878732912472137,0.0577964263151198,0.7160059302033643,0.0144823909573924,0.7721715314617644,0.003340426894799,0.0105709944882291,0.0144823909573924,0.9123931623931624,0.9102564102564102,0.9994079037036272,0.998917368372906,0.1608455474154288,0.0148391822888521,0.0427350427350427,0.0598290598290598
