row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,model,status,reason,elapsed_seconds,cloud_sha256,warnings,n_points,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
37,54,628,2,1,short,one_torus,returned,,0.034118953975848854,5148568a0577c94b90bc1cb138b25fd241c0e2c5b6fc42b177caa39b4900ebd9,,468,True,2,`ftol` termination condition is satisfied.,28,79.15297804462425,0.1273856894298638,,1313.38090490154,0.11736580523418151,0.5739092357342239,0.46981373570870943,0,0,0.32937181086104106,0.009358717875598029,0.9252136752136753,0.999397900878339,0.12595148235293332,0.049145299145299144,3.7651109479874667,2.3634563125498085,1.3391662823431862,0.4742213051224054,0.29768082604212515,-0.11364319997397096,0.04935489639244351,-0.13956480025761145,0.5025984715628251,0.7266524706150362,0.4683705406312879,-0.5253970107890414,0.6869769615177264,-0.5020165688459017,-0.6865513509090372,0.00623227821183971,0.7270546068014879
37,54,628,2,1,short,two_torus,returned,,0.03287472692318261,5148568a0577c94b90bc1cb138b25fd241c0e2c5b6fc42b177caa39b4900ebd9,,468,True,2,`ftol` termination condition is satisfied.,31,5.496151358775222,9321.308438709093,near_optimizer_bound,1313.38090490154,0.005026279273596906,0.1187669845761392,0.037892921160191564,0,1,0.014105596625308888,0.037892921160191564,0.8418803418803419,0.9949737207264031,0.010172253129763331,0.10042735042735043,1.9720023913334808,1.296122863164149,1.2829383733137596,,,0.057638302119334885,-0.12371949359084032,-0.15041687849050644,0.365652924400085,0.6979933620790981,0.6157135741318104,-0.5181462324112919,0.7021907916241997,-0.48831605952923834,-0.7731897701818038,-0.1404754734825675,0.6184207472538886
38,60,647,2,3,short,one_torus,returned,,0.05181748000904918,d3373f1b6a56eb2f15906eed46849a812cce5b7f55fdede32fb38f730b044024,,468,True,2,`ftol` termination condition is satisfied.,29,163.66471792475636,0.01848824393027982,,1420.7606873754744,0.26483133279945426,0.8966484918884337,0.6976710192847617,0,0,0.8039785180058026,0.011247548831131002,0.9038461538461539,0.9993254075086574,0.1849556670128794,0.06196581196581197,2.7779877647435276,2.2568331861926882,1.0259005709162632,0.5138045799819421,0.4174140872892208,-0.18601113976846026,-0.276414894341207,-0.2991229469830157,0.7513513406935081,0.1661140967176924,-0.638652698819173,-0.5267057149530292,-0.43209114758330847,-0.732037109724608,-0.39755786078583016,0.8863990901675382,-0.23715901896313185
38,60,647,2,3,short,two_torus,returned,,0.041372523992322385,d3373f1b6a56eb2f15906eed46849a812cce5b7f55fdede32fb38f730b044024,,468,True,2,`ftol` termination condition is satisfied.,37,4.859509158596518,0.016603135250472523,collapsed_hole;active_optimizer_bound;near_optimizer_bound,1420.7606873754744,0.0014134656874747946,0.06550586327444116,0.013343369180208321,1,1,0.004291018123329779,0.013343369180208321,0.8910256410256411,0.9985865343125252,-0.09457376594795175,0.07905982905982906,1.6832077785135195,1.5995363982656596,1.7508105792215605,,,-0.4070296025684705,-0.23435634543022707,-0.07649769817758482,0.7861802637688183,0.5981422439247913,-0.15539127675586642,-0.10405680071122549,-0.1197312713399422,-0.9873381411080314,-0.6091738463564914,0.7923952793236054,-0.03188959421038986
39,50,10,2,0,short,one_torus,returned,,0.07441280107013881,38013329b14fe29b4ad66c1c0a23ceaa9d8c7c6056eee2f3a0d6b6258141676e,,468,True,2,`ftol` termination condition is satisfied.,44,134.40874198936962,0.0011128574668054676,,1409.5840916935142,0.19798905204985365,0.772223753747878,0.6272058342659208,0,0,0.5963295258524633,0.009019732246899122,0.905982905982906,0.9995409878748116,0.12333044425335463,0.06196581196581197,3.506888465768951,2.886598084558901,1.4012437534369615,0.4325061124303733,0.3560054241496333,-0.029851342503040557,0.055190796335886194,0.2985912191289049,-0.6650952136429555,-0.6401037315633298,-0.38459793242731016,-0.39947406055030843,0.7401102563240021,-0.5409780803595173,0.6309269622827317,-0.2061650341869372,-0.7479486258703759
39,50,10,2,0,short,two_torus,returned,,0.03631390200462192,38013329b14fe29b4ad66c1c0a23ceaa9d8c7c6056eee2f3a0d6b6258141676e,,468,True,2,`ftol` termination condition is satisfied.,34,3.3041787802904055,0.07853336143077232,collapsed_hole;near_optimizer_bound,1409.5840916935142,0.0009147148878920537,0.05248865474500048,0.014194783693450732,0,1,0.0027550588769398613,0.014194783693450732,0.8824786324786325,0.9990852851121079,-0.03270433361629488,0.08547008547008547,1.8640575157366175,1.5916688660176268,1.6437233356195697,,,0.11284395042531112,0.12396403006266282,0.02642137197499269,-0.6911300466935337,-0.6221190633751903,-0.36784117434226543,-0.389191162482959,0.7492265652093516,-0.5359009171738369,0.6089905562494495,-0.22721669165822037,-0.7599362324753829
40,52,412,2,0,short,one_torus,returned,,0.18842073495034128,6ad51bc9403af7347e1c4485010f0f77764398a346fcb697a7788180881e2eb0,,468,True,2,`ftol` termination condition is satisfied.,106,175.4981150517702,0.0011225020660765982,nearly_circular_orientation,1433.500904787523,0.26801997453123316,0.9060655954344723,0.7640449101333544,0,0,0.8209548632300248,0.00878749811631962,0.9102564102564102,0.9996220484716778,0.1066012885791774,0.053418803418803416,2.900098644038912,2.8904140395598947,1.2933091424982224,0.30915425246137973,0.3081218611445365,-0.0865856810417612,0.026716415445777707,0.17828439105067007,-0.5101454023512956,-0.44645965791092473,-0.7351363426720279,-0.3988655337328619,0.8800601654896185,-0.25768273344629045,0.7620091564136358,0.16176488795342137,-0.6270360169601075
40,52,412,2,0,short,two_torus,returned,,0.03185664699412882,6ad51bc9403af7347e1c4485010f0f77764398a346fcb697a7788180881e2eb0,,468,True,2,`ftol` termination condition is satisfied.,19,3.603697042784519,0.003386039417162891,active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,1433.500904787523,0.0011050840999756349,0.058180000991275564,0.014552757259358456,1,1,0.0033849125153448253,0.014552757259358456,0.9166666666666666,0.9988949159000243,0.05074857963540602,0.05555555555555555,1.8130051467448032,1.8130051467448032,1.7209977106767729,,,0.2187557611195793,0.12102008023972291,-0.05471137902829589,-0.5277397886199306,-0.7697435389120856,-0.35914565263885084,-0.609108245710212,0.637642296646336,-0.47159245809636063,0.5920117063988665,-0.030119525717244546,-0.8053663474812383
41,49,670,2,4,short,one_torus,returned,,0.09713231795467436,090030ee7ff00a1ec9a669364cbfe7520a57f87ec4a751510513b006f9dffde8,,468,True,2,`ftol` termination condition is satisfied.,54,105.45953837859915,0.0018818217773394425,,1262.621467364274,0.16982246423328387,0.6768792911199947,0.5441267950376845,0,0,0.45816557474710645,0.009650527210505041,0.9209401709401709,0.9993941299008875,0.1355276481988639,0.049145299145299144,2.9511775379995924,2.4988321255231485,1.177845667791043,0.3999661511425336,0.33866084121603535,-0.08809068768786729,-0.4717988483435451,-0.2973635266862788,0.7924754206837935,0.11026388157362167,-0.5998538022149107,0.5987690127344101,-0.32773155407034493,0.7307993554004384,-0.1160102452369843,-0.9383143955439298,-0.3257417966934618
41,49,670,2,4,short,two_torus,returned,,0.03539261792320758,090030ee7ff00a1ec9a669364cbfe7520a57f87ec4a751510513b006f9dffde8,,468,True,2,`ftol` termination condition is satisfied.,25,3.2909400270937823,0.000755411520992348,near_optimizer_bound,1262.621467364274,0.0015528798366239392,0.06472656850823719,0.016347303212728172,0,1,0.0041895286708515216,0.016347303212728172,0.8846153846153846,0.9984471201633761,0.057285598598531995,0.07051282051282051,1.6644388975802284,1.5525148065537,1.46357806652813,,,-0.10467441826951755,-0.18827544796028362,-0.1952166082811213,0.8433138600224568,0.24309039916361297,-0.4793003143409129,0.537080604693084,-0.3494570908062937,0.7677396471107276,0.01913524379777221,-0.9048683879535768,-0.4252611467382075
