time_ms,observed_lag_0,fitted_lag_0,observed_lag_1,fitted_lag_1,observed_lag_2,fitted_lag_2
-231.0,-0.464265912771225,-0.17791920953147453,1.025970220565796,0.6931695188726343,-1.351310133934021,-0.5149086089765654
-230.0,-0.6842317581176758,-0.28269353362615535,1.0706875324249268,0.7056923496350122,-1.187631607055664,-0.4130525091918764
-229.0,-0.8848726153373718,-0.38103609732746696,1.089678168296814,0.7012629375265088,-0.9807168841362,-0.3032848973670418
-228.0,-1.0575342178344727,-0.4706366518632799,1.0820786952972412,0.6799853376327332,-0.745320200920105,-0.1881844177929313
-227.0,-1.194830298423767,-0.5493903144309812,1.0466334819793701,0.6423594001424391,-0.4960508644580841,-0.07045499369059102
-226.0,-1.291079044342041,-0.6154470157889245,0.9819594025611877,0.5892690279417819,-0.2460111528635025,0.04713769294796717
-225.0,-1.3426209688186646,-0.667254961805858,0.886947751045227,0.5219614121001528,-0.0058564068749547005,0.16183117234673802
-224.0,-1.3480029106140137,-0.7035970879761643,0.761254072189331,0.44201773304442926,0.21661929786205292,0.2709310824718263
-223.0,-1.308012843132019,-0.7236196505168686,0.605795681476593,0.3513160157052936,0.41639548540115356,0.3718744645806472
-222.0,-1.2255489826202393,-0.7268522823886753,0.42315301299095154,0.25198701123694983,0.5907715559005737,0.46228997186469967
-221.0,-1.1053204536437988,-0.7132190430879861,0.217782124876976,0.14636414173024057,0.7387307286262512,0.5400535767735153
-220.0,-0.9533973336219788,-0.6830402026298308,-0.004014592617750168,0.03692868381050131,0.8602816462516785,0.6033384683516331
-219.0,-0.7766510844230652,-0.6370247178126617,-0.2343592345714569,-0.07374852114115547,0.955878734588623,0.6506579674078588
-218.0,-0.5821441411972046,-0.5762535775114586,-0.464265912771225,-0.18306746080840075,1.025970220565796,0.6809004513600866
-217.0,-0.37654104828834534,-0.5021544082490436,-0.6842317581176758,-0.28846003103945755,1.0706875324249268,0.6933554683064399
-216.0,-0.16562525928020477,-0.416467936607702,-0.8848726153373718,-0.3874503653650692,1.089678168296814,0.6877304268549077
-215.0,0.045994896441698074,-0.3212070963411143,-1.0575342178344727,-0.47771299768264863,1.0820786952972412,0.6641574696364873
-214.0,0.2549295723438263,-0.21860974083621842,-1.194830298423767,-0.5571274917575302,1.0466334819793701,0.6231903690302972
