row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,mode_1_G_0_0,mode_1_G_0_1,mode_1_G_0_2,mode_1_G_1_1,mode_1_G_1_2,mode_1_G_2_2,residual_rmse_lag_0,residual_rmse_lag_1,residual_rmse_lag_2,normalized_error,held_out_in_this_feature_fit
42,55,150,2,3,short,0.38543025127483455,-0.13613464717960957,-0.27159010519451526,0.39999362636193503,-0.18701059261179578,0.4188551781859407,0.8837193196061887,0.8843215747714768,0.883313490644864,0.7955956041674312,False
43,38,521,2,4,short,0.5776448298527472,-0.18778996860764638,-0.4601268987706012,0.5969425333551803,-0.1980288830564066,0.5920019807014106,0.817986622040792,0.82067750587039,0.8215118590293264,0.6958762522331956,True
44,65,131,2,0,short,0.3959181549826782,-0.21617028575860903,-0.11664935503025839,0.40840886138795107,-0.21908057552935128,0.30972900749160337,0.8701313259814414,0.8756407144203187,0.8742073540777845,0.8042002782895229,False
45,41,579,2,2,short,0.22415747937511407,-0.0562982139727,-0.17045219468004313,0.24190525785632574,-0.09810830115836615,0.21679980813701952,0.8562321720464653,0.8922759818206893,0.8926059131743481,0.8720536559973928,False
46,66,419,2,1,short,0.41696981124802995,-0.15378099157243252,-0.1856949545815595,0.3216746547446997,-0.13893722306277653,0.24507835477911885,1.024600217208897,0.9888154730234648,1.0027192264515685,0.8604983300627084,False
47,58,580,2,3,short,0.8856690310404818,-0.4794538016837532,-0.3231269860480065,0.8784018772478849,-0.4841410520261003,0.8197807221186189,0.6377288216680778,0.652554441952473,0.6539265124925054,0.4938125112292105,False
48,44,428,2,2,short,1.3667033504954584,-0.7263336823208574,-0.35590842274813056,1.1411745279041636,-0.6749251223651125,1.0813697269671652,0.660777210559958,0.6879422799279326,0.6564523799443417,0.4282165884792065,False
49,36,543,2,4,short,0.8126271988839799,-0.18399886997217993,-0.5237329294083922,0.764902873097166,-0.29924468079501343,0.5789316225476873,0.8075444298767895,0.8390792098663952,0.8784455910582614,0.6636479987363906,True
50,61,387,2,4,short,0.41715967819069655,-0.20719731812192319,-0.1729920679942314,0.3754685697354738,-0.19773030203392705,0.3669393396525381,0.7865729387948054,0.8087369290460158,0.822202295010887,0.7708746956838749,True
51,45,158,2,1,short,0.9397971119114674,-0.5266331116581935,-0.19434295263584267,0.8750047364166479,-0.503564878800194,0.6870596347138873,0.8319491447996401,0.7936036843032399,0.7906773258524524,0.6088597858799937,False
52,51,275,2,4,short,0.31170255180181683,-0.1586549424766428,-0.13581078573151162,0.2959983419893528,-0.1159255833032251,0.21826969876049818,0.7821338358162666,0.7892577741760002,0.8046074261179803,0.8201805951354526,True
53,63,254,2,0,short,0.44680611095895223,-0.18250452086236874,-0.31765465994750647,0.5693827183335038,-0.1899060939911303,0.43232864321650266,1.1108997985333429,1.0418810781096903,0.9756967848078217,0.8187276630800839,False
54,62,220,2,0,short,0.2710367723238402,-0.11736012137431728,-0.14135171538325172,0.24259123078017733,-0.10507357990217278,0.2178924787739559,0.7990466671097362,0.795100755501805,0.7977578003800877,0.8389606820078799,False
55,64,589,2,2,short,0.6102277097179103,-0.21032794509735694,-0.3287075153937386,0.6539667811349393,-0.3182702273909389,0.4973691695929916,0.917247706685507,1.0028727949308234,1.0117964289970656,0.7652765290455354,False
56,53,530,2,3,short,0.1971348164979969,-0.051874802796252936,-0.08303478433564017,0.13001216602033727,-0.06839642330054559,0.10496734866638341,0.9038862330831677,0.9032197124921812,0.9093358655681315,0.9193373350622,False
57,56,531,2,0,short,0.3762438053344356,-0.18089972261559809,-0.2221106860400462,0.3935821766687937,-0.1773983079530287,0.3945343157872359,0.884703934687709,0.8826107411020754,0.8819500532103147,0.8007211098594805,False
58,67,91,2,1,short,0.405495287714961,-0.17399586854154941,-0.18419650281868444,0.4321353040848241,-0.2056293166344207,0.3103597451050694,0.8653564618490385,0.8440543317284362,0.8482796474260456,0.791639375717847,False
59,37,96,2,2,short,0.24346230989026305,-0.11885857865027974,-0.11115093009603623,0.23762636236291196,-0.1264306414710007,0.23254165715931158,0.8132752529474762,0.8172249869385019,0.823333617871315,0.849173863540005,False
60,47,197,2,1,short,0.13209578543401843,-0.07703267394394922,-0.15215498016420465,0.213324900695899,-0.03320637741374357,0.2635519551740368,1.1604226431788127,1.0857862287426363,0.9745540260756846,0.9194380936008711,False
61,57,281,2,2,short,0.07558770317549098,-0.02219860479530094,-0.06042227637106656,0.07546829332717458,-0.035898595372805694,0.09003496845027467,0.9675046285262702,0.9669179981133544,0.9523890276686648,0.9584054297974027,False
62,48,401,2,4,short,0.4491516376333771,-0.25118397196063985,-0.16950331836433508,0.4426011043789013,-0.21758707203047012,0.38694771371782166,0.7801752793872733,0.7845688210168851,0.8058637063180389,0.7455585151425047,True
63,42,34,2,2,short,0.500638075225434,-0.1315482831682929,-0.43820138523629165,0.49761634728081394,-0.09402736943637807,0.47803781187683947,0.9517911743420282,0.960010077512303,0.921934732568413,0.7837665989859799,False
64,34,479,2,0,short,0.6676806638106364,-0.4144050470787555,-0.22084083748731842,0.6451795296771773,-0.3523662042726579,0.6904730273617208,0.8386505679509347,0.8556068177904969,0.8325656566703533,0.6802154153367966,False
65,40,117,2,1,short,0.5427092652878535,-0.2757632206656844,-0.22975346748310232,0.5126233753659982,-0.26582142219842897,0.49016427649819455,0.8198025517852318,0.8233609492612833,0.8373461694868664,0.7264794605429392,False
66,87,663,3,4,short,0.23230308041031542,-0.175158898170965,0.02425725813923879,0.17993118047886453,-0.1420254188664875,0.32243545969484483,1.1051507321698975,1.2951308461839508,1.3890392668833078,0.929580602659083,True
67,77,14,3,4,short,0.35326475417905867,-0.26115337151872137,-0.10371115142618022,0.4240225003106776,-0.22794087017933323,0.43218814284448215,0.8844716203879797,0.8459706604738599,0.8105617494438218,0.7808865803434005,True
68,76,540,3,0,short,0.30456500811678383,-0.08489333090138886,-0.23679788447328234,0.37145191464653743,-0.1427583094653233,0.3094201984471532,0.9825511268962404,0.9182202885078263,0.9107645654544513,0.8427507479527218,False
69,85,128,3,1,short,0.19727522181912716,-0.09316227445661521,-0.08039533610544325,0.18480154010585265,-0.11615018726517448,0.20144853815587596,0.8347452383500448,0.8430547164541617,0.8380923197497053,0.8786328629051241,False
70,68,420,3,2,short,0.3246825029125802,-0.12367736637500304,-0.19474333282078776,0.3055687902953931,-0.1316920440030956,0.28079357383300163,0.7753440981798756,0.7817653920732038,0.7921342430204614,0.8017330346882386,False
71,83,503,3,3,short,0.5132967883003093,-0.13114001165952396,-0.38666293117998585,0.5941376414103592,-0.2227305733695869,0.4756574900045667,0.7471524683126674,0.7533033351253389,0.8234246006797481,0.6949722638910953,False
72,84,636,3,2,short,0.3843961552290084,-0.15654360077159588,-0.28470635124586596,0.47340216496473164,-0.12857823670995172,0.3568283097339245,0.9848834594925862,0.9845953685873103,0.9492975022191655,0.8237597599858444,False
73,72,307,3,3,short,0.24903877407903274,-0.06261229913977273,-0.24113927490772963,0.2423684211542498,-0.07456017236052068,0.3141311826537191,0.8702559934569976,0.8787357091331517,0.8333590222325922,0.8470084511466778,False
74,69,612,3,3,short,0.3017818985195487,-0.08128356505642093,-0.29972055177156187,0.3443448420245588,-0.07548199643768548,0.3733487697369285,0.8874123465666957,0.9012360837292709,0.8775349840812258,0.8229106073896626,False
75,99,609,3,2,short,0.4856773178497232,-0.19024653850184114,-0.3973097563117137,0.5563002886677227,-0.14361798008986404,0.5108951924465269,1.006567149968136,0.986179424797592,0.9902195718256366,0.792666485585429,False
76,93,46,3,4,short,0.20184219182846994,-0.1512026141102814,-0.09417988107726004,0.31859986155664377,-0.18177971580252755,0.35403241002053676,0.9937245518806769,0.9309562454773292,0.9179140552277926,0.8608209998898374,True
77,89,615,3,0,short,0.4982948607822044,-0.31571116621710904,-0.17589416985710332,0.5281474440030277,-0.27793301430216366,0.5241608957589107,0.8617196292423689,0.8517432618390334,0.8168051165492712,0.7336445093408998,False
78,82,510,3,4,short,0.43276050513968056,-0.12251531466578312,-0.1489123802563933,0.266686972202256,-0.14549422204899976,0.20301953586786425,1.0349331273908489,0.9901566096110143,0.9168622751296323,0.8652611295330724,True
79,96,43,3,0,short,0.16962926852424282,-0.0702266512506543,-0.06648846346044848,0.12657469973986682,-0.07408281235473893,0.13195151634992225,0.8102841973290456,0.8153294812576153,0.8303348483631809,0.9038589997170963,False
80,86,147,3,3,short,0.2405765619702065,-0.11514476224560688,-0.07087819751102797,0.2491021256358495,-0.14567594526349809,0.18715750705946133,0.9328571556288827,0.8908481894448806,0.9121096148769334,0.8804906741390046,False
81,94,406,3,4,short,0.30412311943470405,-0.24627576358560332,-0.17495891405894937,0.4865074698021757,-0.20380524873767775,0.516430631855942,0.9677419249845541,1.1013095493566478,1.1628535123686738,0.8427999460559634,True
82,74,200,3,1,short,0.3692623939739441,-0.21504992107644355,-0.252708867976481,0.49289754501193,-0.16133467779433222,0.43181629871007343,0.8470370680952279,0.8444526382477406,0.8375677482031785,0.7673028386752321,False
83,79,48,3,0,short,0.7825930830822032,-0.42996825723788834,-0.5561987913694489,1.0090494606899527,-0.4116431219722246,1.0609318712729578,1.018760913846086,1.105067188343303,1.1210227137004058,0.7114882051163347,False
84,80,177,3,2,short,0.3912421726068529,-0.10193083108366972,-0.29190259546313674,0.4015384020775154,-0.11670270460303192,0.31686687760494114,0.8119643318795928,0.7896873917098779,0.8149284786819825,0.7783550898496947,False
85,97,319,3,3,short,0.13190388293865307,-0.0364590584685783,-0.06074532728026259,0.13973184848227319,-0.06674125523282402,0.08179132135068415,0.7395639282027163,0.7582920409431754,0.7820313862068136,0.9074847840898129,False
86,88,137,3,3,short,0.3899903682904009,-0.2555905494336631,-0.08434356114258745,0.4438345959298123,-0.2924568086115022,0.45583441526166724,0.7657977669601007,0.7577737135160125,0.7496716467619652,0.7279644810969506,False
87,71,309,3,2,short,0.32188378525515055,-0.17808612241646832,-0.01517195869518708,0.2912211969397104,-0.2018865031766157,0.23018867939265328,0.8140760381445629,0.8069079317421047,0.7947418058291614,0.822524534116099,False
88,91,416,3,0,short,0.32177061558983494,-0.10597279531166123,-0.2824225347451326,0.370093235376495,-0.15821889165360264,0.4361898551001936,0.868574871158886,0.8635028992363372,0.8620283655384854,0.7990823930264812,False
89,98,669,3,1,short,0.163213648834221,-0.11548250769474039,-0.12571293922806473,0.21902709399987869,-0.05480975722309474,0.24733073533909597,1.301534734649085,1.3509458091234794,1.382498211336686,0.9452230243539735,False
90,78,572,3,1,short,0.6176898926853628,-0.21653860989948776,-0.49411305004711814,0.703819759554951,-0.2774516023396468,0.7187174463467354,0.9353516750908673,0.9482849600254029,0.9465418193090736,0.7235263118950436,False
91,100,477,3,0,short,0.6503293935412127,-0.2591168163115771,-0.38700014202142535,0.6003038951209386,-0.2849855842650342,0.618338855296906,0.8011661369851166,0.8164404576296954,0.8002034321057557,0.6759274622346431,False
92,95,323,3,1,short,0.37729051928313817,-0.19133553773484402,-0.1688015119997782,0.3359493162579552,-0.1656445804243405,0.3397398108884664,0.8419337274267568,0.8588132119189645,0.8576325553344737,0.8055520429241623,False
93,92,196,3,2,short,0.1531275743651939,-0.04523222262622524,-0.06724505659529909,0.12944029968341925,-0.057895217564251006,0.081618943217872,1.0307168146624544,1.0339439729634174,1.0219046681242767,0.9457895862700297,False
94,90,494,3,3,short,0.6511464394568541,-0.40012794567835985,-0.33382340365077395,0.710714444992495,-0.3180364755698162,0.7599652773210046,0.8523535255445976,0.9118467044805805,0.9172434560288456,0.6935432255294456,False
95,75,51,3,4,short,0.17735847829553752,-0.12548675570881765,-0.07682075384746442,0.2571684089156612,-0.14704251781041383,0.2741553003606736,1.1180371182306765,1.072819336357088,1.0613227758282,0.9087400287536578,True
96,81,432,3,1,short,0.12407560286027028,-0.04788326175133396,-0.10857810828005895,0.15929534549352636,-0.04346743779019853,0.14677185092822512,0.778721856865087,0.7626033468620885,0.7624750958343517,0.8916557173812795,False
97,70,144,3,2,short,0.5605577623887401,-0.24299580188694284,-0.3564777632385428,0.5274738664514753,-0.2037169311205091,0.5307211659330341,0.8607865466814714,0.873197849769924,0.8781826512225602,0.737488043389142,False
98,73,216,3,1,short,0.2906015046125824,-0.12280322954803373,-0.1989186132423695,0.2572871547642729,-0.08172948313580622,0.26998294635560616,0.7167808581369034,0.7367828622221237,0.7312346432891235,0.7954189220066611,False
99,114,312,4,2,short,0.751095366680222,-0.17340751707914773,-0.6010872315600588,0.7466503895087964,-0.2455279667842522,0.6900470176347492,0.6691326645175479,0.7108752922198899,0.734427453069445,0.5772655375888944,False
