recording,monkey,day,method,permutation,macro_f1
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,39,0.1878710126702094
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,39,0.1952322190964505
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,39,0.1952647662311165
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,40,0.1351794307025025
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,40,0.1339981351330479
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,40,0.1528629905302155
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,40,0.1490128619365717
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,40,0.2194791589339914
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,41,0.1531465049788031
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,41,0.1452286211077059
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,41,0.2115551677364207
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,41,0.1685785488291015
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,41,0.1461653806767785
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,42,0.1351624900920675
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,42,0.1381674092984283
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,42,0.1663578709037352
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,42,0.1705557744290139
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,42,0.1410749024289918
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,43,0.134825651051397
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,43,0.1301457739664735
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,43,0.1325422791031575
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,43,0.1595763000833177
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,43,0.1749751610045728
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,44,0.1799814651979754
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,44,0.1220726495540059
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,44,0.1470929264609422
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,44,0.1395068895068895
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,44,0.1780770541766036
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,45,0.1528219746999916
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,45,0.1205907571855183
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,45,0.1520724545602371
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,45,0.1837179840385793
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,45,0.1593080814859155
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,46,0.1295153288946624
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,46,0.1126837147227824
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,46,0.1221459125726837
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,46,0.1343894493484657
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,46,0.1103427181295526
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,47,0.1391335723915846
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,47,0.1858102254317511
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,47,0.1537101396256326
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,47,0.1087269594359952
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,47,0.1061828004900091
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,48,0.1798981918484225
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,48,0.1478448071616175
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,48,0.1750035696437495
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,48,0.1649381777007293
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,48,0.1380866227677207
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,49,0.150321302527478
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,49,0.0980437559096929
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,49,0.1466706352929263
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,49,0.1957782309562064
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,49,0.1842429244603157
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,50,0.1453120953120953
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,50,0.1314005556807328
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,50,0.1595513717954172
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,50,0.1576226558042163
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,50,0.0984759718792624
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,51,0.1051961665169212
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,51,0.1166606503981686
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,51,0.113543739926702
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,51,0.147081886834469
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,51,0.159065017926477
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,52,0.156169421289955
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,52,0.1463857375205397
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,52,0.1759056344710522
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,52,0.2084493467551938
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,52,0.2422432970378175
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,53,0.1207988479022732
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,53,0.1199849085078287
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,53,0.1826610393771722
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,53,0.1796537508572459
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,53,0.2188084655978931
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,54,0.1386363498960565
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,54,0.1045497870336443
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,54,0.1079778065072182
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,54,0.1436477701093226
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,54,0.1427603713518994
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,55,0.1238173656187062
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,55,0.1791495398708008
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,55,0.161234827264239
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,55,0.1942680506530498
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,55,0.1179028016824329
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,56,0.1105184135713089
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,56,0.1689925069463016
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,56,0.1615931388064524
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,56,0.1386814323789113
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,56,0.171471889888405
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,57,0.1215484385533719
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,57,0.1012001884249611
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,57,0.1185546102825514
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,57,0.2086126363973527
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,57,0.1536138751478533
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,58,0.1014736221632773
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,58,0.1336102714454254
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,58,0.1115939032498175
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,58,0.1287509758001561
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,58,0.1881519675165596
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,59,0.1518486190742576
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,59,0.1668641663799615
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,59,0.1649581506786719
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,59,0.1720182558897822
