recording,monkey,day,analysis,method,true_direction,predicted_direction,fraction
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,2,1,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,2,2,0.5483870967741935
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,2,3,0.0
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,2,4,0.0
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,2,5,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,2,6,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,3,1,0.2903225806451613
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,3,2,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,3,3,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,3,4,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,3,5,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,3,6,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,4,1,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,4,2,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,4,3,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,4,4,0.4193548387096774
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,4,5,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,4,6,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,5,1,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,5,2,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,5,3,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,5,4,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,5,5,0.2903225806451613
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,5,6,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,6,1,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,6,2,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,6,3,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,6,4,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,6,5,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,power_frequency,6,6,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,1,1,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,1,2,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,1,3,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,1,4,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,1,5,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,1,6,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,2,1,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,2,2,0.3870967741935484
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,2,3,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,2,4,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,2,5,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,2,6,0.032258064516129
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,3,1,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,3,2,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,3,3,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,3,4,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,3,5,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,3,6,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,4,1,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,4,2,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,4,3,0.1612903225806451
