row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,power_frequency_1,power_frequency_2
117,120,206,4,4,short,5.0249169922806045,21.200000000000003
118,117,520,4,2,short,5.154886647011422,22.0
119,124,119,4,0,short,4.523066743523498,19.6
120,112,85,4,0,short,4.616873159487016,26.0
121,132,199,4,3,short,4.939582988532314,26.900000000000002
122,107,536,4,0,short,4.773371214646909,19.8
123,118,339,4,1,short,4.607481480685367,20.8
124,104,701,4,0,short,4.653132762689799,22.200000000000003
125,131,704,4,4,short,4.934086756050034,19.6
126,108,592,4,3,short,5.045750794921371,20.700000000000003
127,122,440,4,1,short,4.862774033386801,19.700000000000003
128,130,388,4,3,short,5.060407994228005,23.3
129,126,121,4,1,short,4.561149890294409,23.0
130,129,291,4,1,short,5.07615070847812,21.200000000000003
131,128,573,4,4,short,5.329803724023246,19.900000000000002
132,164,705,5,2,short,4.287784370663145,23.3
133,158,45,5,4,short,4.808385189904066,22.700000000000003
134,136,410,5,0,short,4.960724691495664,20.8
135,169,142,5,3,short,4.905843330472538,19.8
136,166,706,5,3,short,4.30952798894036,12.0
137,165,328,5,1,short,4.807006626180578,21.3
138,154,143,5,3,short,4.715837565286559,19.1
139,145,44,5,2,short,4.82914956864787,21.1
140,139,164,5,4,short,5.037070553836802,21.0
141,152,560,5,2,short,4.492239164170472,21.5
142,155,194,5,0,short,4.579038416601545,24.900000000000002
143,149,243,5,1,short,4.302807144665745,26.5
144,141,403,5,1,short,4.947469776538196,20.400000000000002
145,167,568,5,0,short,4.417206064173174,23.5
146,138,581,5,2,short,4.378586325317311,25.200000000000003
147,163,63,5,2,short,4.549626063627495,13.600000000000001
148,143,294,5,3,short,4.917921375662982,22.5
149,146,367,5,1,short,4.853553129618441,21.3
150,151,436,5,4,short,4.397564586820951,21.0
151,162,241,5,1,short,4.542335707548482,18.7
152,150,457,5,0,short,4.423236972531957,20.400000000000002
153,156,36,5,3,short,4.9321396059277625,20.1
154,147,485,5,4,short,4.949379917486396,19.700000000000003
155,159,700,5,4,short,4.995996314380403,20.6
156,168,6,5,4,short,4.606461171684134,22.5
157,161,157,5,0,short,4.951113150946203,20.1
158,157,476,5,4,short,4.928470903334609,21.700000000000003
159,142,271,5,2,short,4.827110163286135,20.400000000000002
160,135,399,5,1,short,4.751517371854543,19.5
161,137,300,5,3,short,4.416040741355314,23.400000000000002
162,148,446,5,2,short,4.422162625692759,16.0
163,144,542,5,3,short,4.940125353213827,22.200000000000003
164,140,693,5,0,short,4.666551815409801,24.0
165,190,258,6,0,short,4.948572175287148,21.6
166,185,550,6,3,short,4.911567382058766,21.200000000000003
167,171,100,6,3,short,4.887243260549617,20.900000000000002
168,178,129,6,4,short,5.011115172233398,19.0
169,186,186,6,4,short,4.522505292763435,24.1
170,187,650,6,1,short,4.7040537757413,22.0
171,176,438,6,3,short,4.78755542115868,19.200000000000003
172,193,290,6,1,short,4.295431280747233,20.200000000000003
173,182,289,6,2,short,4.735865663871998,18.7
174,199,67,6,2,short,4.344125410518315,20.900000000000002
175,174,458,6,3,short,4.74388255814377,23.0
176,180,90,6,2,short,4.560646195256127,18.900000000000002
177,198,77,6,2,short,4.950085722585944,21.200000000000003
178,172,292,6,4,short,4.864453005367325,24.1
179,183,649,6,1,short,4.703010411163901,20.700000000000003
180,184,524,6,0,short,4.7848976605752185,21.400000000000002
181,177,105,6,4,short,4.862052291813159,16.7
182,195,372,6,3,short,4.752144623248617,26.200000000000003
183,175,617,6,3,short,4.517758530421794,23.1
184,196,527,6,4,short,4.421787146477582,19.3
185,179,555,6,1,short,4.247264976869193,27.700000000000003
186,202,342,6,0,short,4.9425754048642565,20.0
187,200,211,6,2,short,4.7943818650518795,21.900000000000002
188,192,539,6,4,short,4.965251108798037,21.400000000000002
189,189,24,6,0,short,4.659656803215835,23.3
190,181,538,6,1,short,5.000537589812055,20.1
191,188,642,6,0,short,4.660750846950661,22.200000000000003
192,197,379,6,2,short,5.121798174982481,20.700000000000003
193,170,483,6,1,short,4.497440501137578,21.6
194,201,9,6,0,short,4.5537538208014245,19.700000000000003
195,194,113,6,2,short,4.712674877016994,22.8
196,173,187,6,0,short,4.8129697218514,20.5
197,191,376,6,1,short,4.626051126698571,26.1
