row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,model,n_points,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z,fit_status,unusable_reason,usable,warnings
10,30,517,1,0,short,one_torus,494,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,34,3.4102895722600657,2.5135446057799213,,1771.219849024127,0.0019050223854328674,0.08264618335596426,0.06530956098345383,0,0,0.006830391623307663,0.0074464259288468905,0.9089068825910931,0.9996376792202134,0.1947054869741823,0.03441295546558704,4.5232890146754094,1.0202227204735832,1.1160398958023687,0.8807091903275396,0.198642961611978,0.9049365365619553,0.8906982356414567,0.8198587282339088,0.42128042025758994,-0.8043862401978699,0.41890999521076255,-0.5680359642149837,-0.5941034043458924,-0.5695404184963303,0.7070063301443763,0.001980283808978405,-0.7072044454115212,returned,,True,
11,26,124,1,2,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,95,4.471439541682562,0.007185451136580767,,1105.696052469743,0.005153818270629743,0.10740362893338479,0.08722090625973308,0,0,0.011535539508060211,0.011799984085898683,0.8825910931174089,0.9990838943288713,0.22258171700489146,0.06275303643724696,3.1452967900301343,1.114667714662167,0.8279435727144238,0.7000855600151035,0.24810465381950245,-0.11321068135140322,-0.11511393324962287,-0.08476297559165731,0.4324300744465089,-0.7915325103465269,0.4318338983661149,-0.5592739903677572,-0.611126660191821,-0.5601221374833496,0.7072600896491812,0.0007001900957812064,-0.7069530927305304,returned,,True,
12,29,526,1,3,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,31,4.612907051096014,0.07958352533932145,,1529.3064568776213,0.003042634232640947,0.09705293202769008,0.07937210581472544,0,0,0.009419271615171431,0.0088276834519787,0.9048582995951417,0.9995595380678965,0.12658496262530258,0.04048582995951417,3.769658304797903,1.505613926804108,1.1518755233315492,0.47718205562313065,0.19058808265268365,-0.2261111518109411,-0.39311790916961153,-0.510239231976911,0.4298600570667397,-0.791691782767977,0.4341018917670261,-0.5617661681360019,-0.6109072200990749,-0.5578630125457448,0.706851542881986,-0.004060729910215605,-0.7073502716447858,returned,,True,
13,7,382,1,2,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,35,3.083370942317327,0.033944280219744716,,1148.990829363158,0.002430404755726103,0.07518550305999427,0.05586166486373239,0,0,0.005652859870384409,0.01422863858924162,0.8481781376518218,0.999027168456352,0.22898096769122175,0.0931174089068826,3.2803681286776083,1.166549620180789,0.8571645548703054,0.75114186848827,0.2671176608889057,0.21827416331937777,0.13237216562551468,0.018792228040441797,0.42717125416750384,-0.7948938934103382,0.43089258270630054,-0.5635755640506969,-0.6067390673755474,-0.5605803133567838,0.7070412316238386,-0.003376734825736252,-0.7071642627026357,returned,,True,
14,32,80,1,2,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,27,6.075043435527265,0.36010210678427157,active_optimizer_bound;near_optimizer_bound,1870.482199504063,0.0035525762475865246,0.11598051135930143,0.09631103440843129,1,1,0.013451479015165047,0.008652039811515109,0.9251012145748988,0.9996465684883684,0.1287041737187127,0.02834008097165992,4.9862312897666206,1.4162620213752484,1.3946164249479012,0.6417487781199328,0.18227883323033175,-0.15467040909813307,-0.08635519059565615,-0.015957289625615212,-0.4282893932763277,0.7974561101801539,-0.4250081739719036,0.5638694342653356,0.6033740709861176,0.5639068997280755,0.7061299148928465,0.0018662253331921536,-0.7080798404801729,returned,,True,
15,27,366,1,1,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,73,4.351966271700164,3.542791201917272,,1410.8934470343306,0.0032871091307903368,0.09689261901754201,0.07456501862139818,0,0,0.009388179620078544,0.008915337232049932,0.8825910931174089,0.9994693881884301,0.16185190531739543,0.05465587044534413,3.9437409540543613,1.1421706545218007,1.0656867811130104,0.6383019874921031,0.18486249663201693,0.2332347546098528,0.14981078426889485,0.06143348000149396,0.4264504632343445,-0.7984586604070936,0.42497502282794875,0.5636850701071028,0.6020474899252246,0.5655068183595023,-0.7073889624130668,-0.0016085691150505759,0.7068226569370615,returned,,True,
16,21,156,1,1,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,18,4.835861170077016,0.0011899485937474437,active_optimizer_bound;near_optimizer_bound,1925.8497026753735,0.00232037672638131,0.09511017294253285,0.0758408130997489,1,1,0.009045944997158507,0.007555428530275043,0.9352226720647774,0.9995842996579793,0.10482585867879275,0.02631578947368421,5.283209652136311,1.3687372641967575,1.488662717235644,0.5538169883653796,0.14347905902511388,0.6201133040234245,0.5942038395387798,0.48471133953897555,0.42733009522863075,-0.7966963426627058,0.4273920065927519,-0.5670332036388737,-0.6043713771528824,-0.5596504127107959,0.7041749325850936,-0.0031899945494884498,-0.7100193576597423,returned,,True,
17,33,690,1,1,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,29,4.368700891365423,0.29859711570209335,,1154.6441998116843,0.004909962025552425,0.10712718210590104,0.08433937598149105,0,0,0.011476233145950884,0.01196361950805173,0.8967611336032388,0.9988412622679328,0.23043597045460493,0.048582995951417005,3.017107591907943,0.9352736246319507,0.7604026038249173,0.6952501159074934,0.2155206853327309,0.13872422802343493,0.20801815028494922,0.2612970168644036,0.4317559216854343,-0.7983335484790204,0.419821830616029,-0.5618007410956816,-0.6021472665014126,-0.5672729473077486,0.7056675927036421,0.009067238643841994,-0.7084850272159761,returned,,True,
18,18,265,1,0,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,986,3.639113946355942,3.6747058978721396,,1218.4632105293701,0.002865443883840367,0.08406954363258345,0.06596555427138315,0,0,0.007067688166590852,0.011588643617622582,0.8866396761133604,0.999268242048623,0.18646078288002166,0.06275303643724696,3.505844377988731,1.3904775065237869,0.9958374681733677,0.6537024873754879,0.25926952444355966,0.02236759740597343,-0.0449770344874281,-0.11425941252046956,0.43620258319146354,-0.7863558160466256,0.4374606690734259,-0.5562172245974482,-0.6177732572430508,-0.5558584367394486,0.707354017078067,-0.0008562732280477325,-0.7068589401837403,returned,,True,
19,11,445,1,1,short,one_torus,494,True,2,`ftol` termination condition is satisfied.,17,5.328614225890975,0.0006057785828781848,,1078.7458969227562,0.005361689399511718,0.1082049004732789,0.08622165232097971,0,0,0.011708300486432191,0.010469244361651427,0.8987854251012146,0.9991048659147171,0.1387326596219232,0.06072874493927125,3.2962623356667726,1.6895489159299903,1.073529099072406,0.45729924063876265,0.2343956146683758,-0.22760535743323415,-0.2557486799658352,-0.24171656136776576,0.4480224773073117,-0.7740468647613478,0.4473559108583906,-0.54675155948226,-0.6331276852384191,-0.5479161125449388,0.7073461613873476,0.0008861921935436248,-0.7068667644131958,returned,,True,
