permutation_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
111,0.12603390915572285,0.1420365154804514,0.14396671405224318,0.17958485813680314,0.14779888938519606
112,0.14384494647652543,0.12892051908215105,0.13865034657308997,0.19199813135321184,0.17031878421006982
113,0.13475184810672702,0.17623383424819064,0.1817612681397598,0.16381616461073625,0.18430550747885943
114,0.1564872564872565,0.13620689655172413,0.12945351976710862,0.20264555270280704,0.14783741641114728
115,0.13122551063376464,0.13375524499483796,0.16197351154097586,0.14496623275921708,0.17132054184261314
116,0.15180152658606685,0.15149892140764354,0.14596844222469008,0.1286447674220885,0.13625682107835888
117,0.1647496728601776,0.1743601889317484,0.1736434204084236,0.15589409648651956,0.21161719961712078
118,0.12070101106095404,0.12616814266228962,0.15352816554761292,0.13722080895798083,0.17359384456158652
119,0.10309747121294431,0.11796212866110216,0.08823539152372324,0.16375479543759514,0.222690821586087
120,0.15407897514050317,0.13531977526321098,0.13593175815933772,0.1878222422603896,0.14011584081463566
121,0.11119760670841734,0.13115191913021726,0.13148315216021547,0.13611352831227455,0.179159669799873
122,0.1468869308926412,0.11475354030501089,0.1560246309194416,0.12142804982218093,0.17636839276638572
123,0.10429450055864183,0.12078333267702675,0.1594667195251455,0.1478658363051986,0.19714039646321213
124,0.12029032845256261,0.17910322201473794,0.1290106146447449,0.147257543561602,0.123525262668624
125,0.11649342095515484,0.1595610745106096,0.13073543694121864,0.12528197955600887,0.12054041506010733
126,0.11631489336407369,0.15341923270976335,0.16306262727590637,0.14401688856857597,0.19008440687722752
127,0.16780843795291678,0.14943249173134232,0.1364565205927332,0.20236155362286698,0.1728929810454415
128,0.161523151210921,0.12093537133559472,0.13062387439625692,0.14338743887874758,0.17700811721811707
129,0.1433396732049023,0.13868655820939768,0.17887098081140493,0.12085058661145619,0.20540804545108196
130,0.13599896663908673,0.12271144942445837,0.14316948751227934,0.19498141929648782,0.14520172262310227
131,0.16374419603274465,0.12445179421606799,0.15359086722831175,0.14259193015167823,0.1806667935368694
132,0.10343190126324214,0.14354729553697865,0.11124017181375351,0.17470528037546787,0.13485696569935698
133,0.1712681241078807,0.1262125273226106,0.17865961567454103,0.1623719280323054,0.23079774945972129
134,0.1323717477316907,0.10381701625015698,0.10887179760130579,0.14132684404000231,0.11341598882582489
135,0.17276575276575276,0.15346365776286475,0.22056185799951475,0.1115648047833467,0.18905477506911936
136,0.1406120443606927,0.1268450685117352,0.13555119703345012,0.2038466265318459,0.14943505202004365
137,0.1288513571454901,0.14039199030663277,0.12661408744578753,0.12909753855093756,0.18694327163080185
138,0.1607924027251033,0.12138492070065343,0.1483878407116788,0.1399009739397114,0.16591713692397544
139,0.17938189534813456,0.1697614608015249,0.22911952548467288,0.1678446949934229,0.16419442211533405
140,0.12734932899091586,0.12515514678558157,0.12165021925340681,0.14520787619180833,0.16757826141387785
141,0.11683934000065016,0.1662131622540758,0.14398677951459307,0.13541019298200455,0.15264443622141535
142,0.12526476078200216,0.11119717505126496,0.1508803629224079,0.1569180641948628,0.11689490262042579
143,0.14573225946591115,0.13424529230433413,0.13726295097132285,0.1688000816063714,0.17621880909552143
144,0.14552625314808487,0.14169132535654796,0.13064093747914596,0.1709681778309229,0.15976677390611818
145,0.11175858329388978,0.15082118459257393,0.12659758804337118,0.1682393619719187,0.17998977342248254
146,0.12403616816186992,0.1434734654514195,0.13447584318280156,0.1834579404715885,0.17391463181226527
147,0.1186720921355101,0.1833643850959751,0.17430333368321135,0.1823496289840043,0.130007299417032
148,0.14453875257184567,0.1932649590198381,0.16613028878768252,0.14919022419022418,0.19223311065580073
149,0.13549155225817958,0.1631769222398941,0.1425821121105431,0.10830570624874421,0.12931047907921722
150,0.11545646570384867,0.12303288497808106,0.12300400223380492,0.17575583620359736,0.21218742512841962
151,0.15194315355826424,0.15417656133031446,0.15557471264367814,0.12007720252785249,0.12561791403703168
152,0.10145205593384865,0.15862214418901843,0.12883244357672619,0.14355439642324888,0.14744541377788392
153,0.09186278003848407,0.11467023876344257,0.0804650996162234,0.1628800158118999,0.16716453676090648
154,0.1417249443565233,0.1306508967223253,0.14633937679883377,0.12120478283071823,0.171673986746681
155,0.12915255113272642,0.15575785869903516,0.18406585850437063,0.1752961266203353,0.17752114783658202
156,0.14619804832806396,0.16717547670134858,0.1319596610001565,0.16485753278278067,0.14307943015751942
157,0.14097172038348507,0.16668033069354035,0.1276000111345051,0.11957879851783564,0.12411891707807376
