row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,peak_power_1
95,75,51,3,4,short,5.062586625831769
96,81,432,3,1,short,4.502892736520926
97,70,144,3,2,short,5.019351884246579
98,73,216,3,1,short,4.860080503848158
99,114,312,4,2,short,5.192784603358887
100,101,400,4,2,short,4.356686575862728
101,106,333,4,2,short,5.02403068754332
102,109,459,4,4,short,4.932309050011355
103,121,606,4,1,short,4.701627748734017
104,125,86,4,0,short,4.470799748607731
105,110,242,4,0,short,4.781452922767916
106,115,248,4,1,short,4.732767895665822
107,103,89,4,4,short,4.804760877568959
108,133,691,4,4,short,4.330332697208023
109,102,94,4,3,short,5.024304150042313
110,119,17,4,0,short,4.948620504141387
111,105,109,4,4,short,4.806152749798423
112,127,695,4,3,short,5.090899048642448
113,134,116,4,2,short,4.703729543092618
114,116,361,4,1,short,5.034878811616237
115,111,283,4,3,short,5.06518506142072
116,123,511,4,2,short,4.672040258043465
117,120,206,4,4,short,5.0249169922806045
118,117,520,4,2,short,5.154886647011422
119,124,119,4,0,short,4.523066743523498
120,112,85,4,0,short,4.616873159487016
121,132,199,4,3,short,4.939582988532314
122,107,536,4,0,short,4.773371214646909
123,118,339,4,1,short,4.607481480685367
124,104,701,4,0,short,4.653132762689799
125,131,704,4,4,short,4.934086756050034
126,108,592,4,3,short,5.045750794921371
127,122,440,4,1,short,4.862774033386801
128,130,388,4,3,short,5.060407994228005
129,126,121,4,1,short,4.561149890294409
130,129,291,4,1,short,5.07615070847812
131,128,573,4,4,short,5.329803724023246
132,164,705,5,2,short,4.287784370663145
133,158,45,5,4,short,4.808385189904066
134,136,410,5,0,short,4.960724691495664
135,169,142,5,3,short,4.905843330472538
136,166,706,5,3,short,4.30952798894036
137,165,328,5,1,short,4.807006626180578
138,154,143,5,3,short,4.715837565286559
139,145,44,5,2,short,4.82914956864787
140,139,164,5,4,short,5.037070553836802
141,152,560,5,2,short,4.492239164170472
142,155,194,5,0,short,4.579038416601545
143,149,243,5,1,short,4.302807144665745
144,141,403,5,1,short,4.947469776538196
145,167,568,5,0,short,4.417206064173174
146,138,581,5,2,short,4.378586325317311
147,163,63,5,2,short,4.549626063627495
148,143,294,5,3,short,4.917921375662982
149,146,367,5,1,short,4.853553129618441
150,151,436,5,4,short,4.397564586820951
151,162,241,5,1,short,4.542335707548482
152,150,457,5,0,short,4.423236972531957
153,156,36,5,3,short,4.9321396059277625
154,147,485,5,4,short,4.949379917486396
155,159,700,5,4,short,4.995996314380403
156,168,6,5,4,short,4.606461171684134
157,161,157,5,0,short,4.951113150946203
158,157,476,5,4,short,4.928470903334609
159,142,271,5,2,short,4.827110163286135
160,135,399,5,1,short,4.751517371854543
161,137,300,5,3,short,4.416040741355314
162,148,446,5,2,short,4.422162625692759
163,144,542,5,3,short,4.940125353213827
164,140,693,5,0,short,4.666551815409801
165,190,258,6,0,short,4.948572175287148
166,185,550,6,3,short,4.911567382058766
167,171,100,6,3,short,4.887243260549617
168,178,129,6,4,short,5.011115172233398
169,186,186,6,4,short,4.522505292763435
170,187,650,6,1,short,4.7040537757413
171,176,438,6,3,short,4.78755542115868
172,193,290,6,1,short,4.295431280747233
173,182,289,6,2,short,4.735865663871998
174,199,67,6,2,short,4.344125410518315
175,174,458,6,3,short,4.74388255814377
176,180,90,6,2,short,4.560646195256127
177,198,77,6,2,short,4.950085722585944
178,172,292,6,4,short,4.864453005367325
179,183,649,6,1,short,4.703010411163901
180,184,524,6,0,short,4.7848976605752185
181,177,105,6,4,short,4.862052291813159
182,195,372,6,3,short,4.752144623248617
183,175,617,6,3,short,4.517758530421794
184,196,527,6,4,short,4.421787146477582
185,179,555,6,1,short,4.247264976869193
186,202,342,6,0,short,4.9425754048642565
187,200,211,6,2,short,4.7943818650518795
188,192,539,6,4,short,4.965251108798037
189,189,24,6,0,short,4.659656803215835
190,181,538,6,1,short,5.000537589812055
191,188,642,6,0,short,4.660750846950661
192,197,379,6,2,short,5.121798174982481
193,170,483,6,1,short,4.497440501137578
194,201,9,6,0,short,4.5537538208014245
195,194,113,6,2,short,4.712674877016994
196,173,187,6,0,short,4.8129697218514
197,191,376,6,1,short,4.626051126698571
