resample_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
109,0.15524037666842885,0.186257024186086,0.1484070721546942,0.21312080647131526,0.2042735430073416
110,0.20007798601516055,0.18715655204749718,0.20337994658125322,0.2114221572934354,0.26442557069570755
111,0.1952328923212586,0.1431497931190302,0.18460303315504598,0.24784702193235683,0.23203840400235087
112,0.12390501655207538,0.18057258131792295,0.1892041285647954,0.2068879582862225,0.1972897521581732
113,0.15667658476628576,0.15349913617642139,0.16947493898956997,0.2615631255427672,0.23615687503071403
114,0.2117383021153537,0.19603044511680123,0.23493091115394305,0.25320941934865987,0.22564547319282627
115,0.15221930410210727,0.23227940243747439,0.16224031597023514,0.20873294964975778,0.17932319982470898
116,0.1459668208932915,0.1754939024584878,0.16528352161706406,0.22106723141378334,0.2572001016289407
117,0.17520661390456496,0.18876383860311388,0.20342889402083952,0.20818570768261116,0.17814526835898434
118,0.14182417153925186,0.15929089884368342,0.19239479669544346,0.26157624049187134,0.2350246467640188
119,0.17882503828332388,0.1575892446860189,0.20877632651461156,0.2630688506991921,0.23797857450742502
120,0.189471509225307,0.1061423054070113,0.16304085997660278,0.19517615481850134,0.23409453618041823
121,0.15092837968805833,0.16535150937281193,0.19789254089774175,0.23437780996939062,0.23750569470944574
122,0.14933922997415486,0.10936616830766697,0.14173881673881675,0.18792591178145449,0.22476045022246538
123,0.17119065201431907,0.1671931789894331,0.16489358325675463,0.23937672192585832,0.26266587804616837
124,0.15528560337530437,0.175586277323765,0.17337570422777046,0.2381328272860815,0.23818014640985363
125,0.14429984590824282,0.1429759575062902,0.17229593207657093,0.2055775487827862,0.2323358927805681
126,0.1763519503774619,0.12220585143867925,0.22071654222498008,0.261540141239924,0.27191425985788736
127,0.12375697564424822,0.1553005234586541,0.22304854997057458,0.2250516462502463,0.1946460492371543
128,0.14705525134746655,0.1777138407961155,0.16364907246107788,0.25311195502010864,0.19588637033272083
129,0.16765571017854122,0.15013803381414217,0.21535939500878523,0.2382082165114968,0.23312270529680798
130,0.18317372142441313,0.1839672575326644,0.2099697371392056,0.25127359117490694,0.21767560951264175
131,0.16926953450173263,0.20572465933778997,0.20068495398169153,0.2250475219225219,0.22724764602955952
132,0.15930398561417344,0.1983400807485105,0.14782886870657996,0.212740072661056,0.19304710989493598
133,0.1714469866906491,0.1328432545591014,0.18953792147881376,0.25319455799331964,0.278234100542219
134,0.141153502677314,0.14812379560807235,0.15221824135834514,0.2209680174018822,0.24562672727466736
135,0.14872950931816664,0.15066120491766954,0.15701116408593377,0.1979016636402328,0.2540382403425882
