raw_trial_index,held_out,success,normalized_error,nfev,reason,temporal_design_rank,temporal_condition,shape_rank,shape_condition,frequency_at_bound,phase_gap_mode_1,phase_gap_mode_2,phase_gap_mode_3,recording,monkey,fold,phase_gap_mode_4
17,True,True,0.9064721459451858,5,,3,1.4224312670731951,2,1.082951498965391,False,0.0059326905569752,,,monkeyM_session-o080506002-22_lfp-2,M,0,
33,False,True,0.9676054273207928,32,,3,1.4205148942852988,2,1.1596259653286645,False,0.0028681603804034,,,monkeyM_session-o080506002-22_lfp-2,M,0,
19,False,True,0.7495331824849283,6,,3,1.4173752848728454,2,1.0413888126613702,False,0.0251728677493306,,,monkeyM_session-o080506002-22_lfp-2,M,0,
30,False,True,0.555645880051508,19,,3,1.4164953259133348,2,1.0589154424052254,False,0.0069905102426304,,,monkeyM_session-o080506002-22_lfp-2,M,0,
4,False,True,0.6646984675755472,14,,3,1.415051660918852,2,1.1063059041096577,False,0.0030098267314144,,,monkeyM_session-o080506002-22_lfp-2,M,0,
0,False,True,0.9140086167517686,9,,3,1.4178517844849927,2,1.1367138346800507,False,0.0189203060269893,,,monkeyM_session-o080506002-22_lfp-2,M,0,
32,False,True,0.9181801074997532,14,,3,1.4217678310728492,2,1.2381750548475563,True,0.0079999999987758,,,monkeyM_session-o080506002-22_lfp-2,M,0,
29,True,True,0.8695996154906337,7,,3,1.4212059348325168,2,1.037683163834148,False,0.0024037726215695,,,monkeyM_session-o080506002-22_lfp-2,M,0,
26,False,True,0.7873128289404465,16,,3,1.4225293523920215,2,1.0465185165169906,False,0.0096180705467441,,,monkeyM_session-o080506002-22_lfp-2,M,0,
15,True,True,0.8066325559953672,9,,3,1.4229327133081169,2,1.040618109877588,False,0.0121616451671733,,,monkeyM_session-o080506002-22_lfp-2,M,0,
2,True,True,0.9449547739315428,4,,3,1.42258304370446,2,1.0863606634371596,False,0.0027301149804621,,,monkeyM_session-o080506002-22_lfp-2,M,0,
14,False,True,0.970670950070642,12,,3,1.4210104703101665,2,1.194501700152952,False,0.0043356667410252,,,monkeyM_session-o080506002-22_lfp-2,M,0,
20,False,True,0.8816566760128978,5,,3,1.4189999428849,2,1.0781035209840188,False,0.0050212617011418,,,monkeyM_session-o080506002-22_lfp-2,M,0,
11,False,True,0.8268989819081649,7,,3,1.4230223750330822,2,1.0749572550271722,False,0.0031786020010109,,,monkeyM_session-o080506002-22_lfp-2,M,0,
66,False,True,0.7771056115548365,13,,3,1.420583512819108,2,1.1650396405995405,True,0.0039999998174158,,,monkeyM_session-o080506002-22_lfp-2,M,0,
64,False,True,0.8532334827444453,15,,3,1.41770278064813,2,1.1381407014899048,False,0.0037810077542443,,,monkeyM_session-o080506002-22_lfp-2,M,0,
45,True,True,0.9085990559609424,7,,3,1.4229981975819153,2,1.036036295892497,False,0.0101141047260764,,,monkeyM_session-o080506002-22_lfp-2,M,0,
68,False,True,0.6188267472513864,15,,3,1.4170846517235245,2,1.07063311418585,False,0.0022192930325166,,,monkeyM_session-o080506002-22_lfp-2,M,0,
57,False,True,0.777669183308252,17,,3,1.4231531163136804,2,1.1768486156205296,False,0.0210425821990276,,,monkeyM_session-o080506002-22_lfp-2,M,0,
43,False,True,0.7905078070312718,14,,3,1.4229629392713865,2,1.0082295367641545,False,0.0152952405026147,,,monkeyM_session-o080506002-22_lfp-2,M,0,
42,False,True,0.4210948667251837,7,,3,1.4168310649520386,2,1.0352283592940617,False,0.0062495254242873,,,monkeyM_session-o080506002-22_lfp-2,M,0,
53,False,True,0.2911765126169705,7,,3,1.4187669367867966,2,1.078696215246933,False,0.0026575594571012,,,monkeyM_session-o080506002-22_lfp-2,M,0,
63,False,True,0.4587532350563517,12,,3,1.4229390338066144,2,1.03817439562237,False,0.0052493242845077,,,monkeyM_session-o080506002-22_lfp-2,M,0,
67,True,True,0.6647117207195803,34,,3,1.423017771194928,2,1.041273137714967,False,0.0035908706987273,,,monkeyM_session-o080506002-22_lfp-2,M,0,
65,True,True,0.560964156002475,9,,3,1.421346576714813,2,1.1000006084651432,False,0.0101959575785897,,,monkeyM_session-o080506002-22_lfp-2,M,0,
47,False,True,0.97088914857327,9,,3,1.4159721558552094,2,1.0845854449912211,False,0.0241914751495238,,,monkeyM_session-o080506002-22_lfp-2,M,0,
37,False,True,0.5887506176899708,11,,3,1.4230189940778504,2,1.0378378257671392,False,0.0035027888057443,,,monkeyM_session-o080506002-22_lfp-2,M,0,
34,False,True,0.8688276208270448,16,,3,1.4205835128503397,2,1.1888266259607825,True,0.0039999999967319,,,monkeyM_session-o080506002-22_lfp-2,M,0,
39,False,True,0.9577125346269316,13,,3,1.4224202322575985,2,1.2896083498662307,False,0.0048402546489416,,,monkeyM_session-o080506002-22_lfp-2,M,0,
59,False,True,0.8340628120809807,10,,3,1.4236737837613775,2,1.1380555382785194,False,0.0034506277179735,,,monkeyM_session-o080506002-22_lfp-2,M,0,
51,False,True,0.6006948689752494,17,,3,1.417513208631353,2,1.1213300570386109,False,0.0043068789614011,,,monkeyM_session-o080506002-22_lfp-2,M,0,
41,True,True,0.8519247199292637,6,,3,1.4227554200255708,2,1.0448653541682291,False,0.0029552010941618,,,monkeyM_session-o080506002-22_lfp-2,M,0,
36,False,True,0.8945761864452086,8,,3,1.422536916641577,2,1.10411394447027,False,0.003000218742799,,,monkeyM_session-o080506002-22_lfp-2,M,0,
38,False,True,0.6794984549074051,15,,3,1.417645641658572,2,1.0219323772285778,False,0.0030375496786767,,,monkeyM_session-o080506002-22_lfp-2,M,0,
52,True,True,0.9622916707038244,8,,3,1.4210918460255957,2,1.1177167133497417,False,0.0038804770829941,,,monkeyM_session-o080506002-22_lfp-2,M,0,
55,False,True,0.6508843860236035,11,,3,1.418418093520656,2,1.0211490284077622,False,0.0040862563661603,,,monkeyM_session-o080506002-22_lfp-2,M,0,
54,True,True,0.7886592186975825,6,,3,1.4219100336783868,2,1.079111386295724,False,0.0032174002184106,,,monkeyM_session-o080506002-22_lfp-2,M,0,
35,False,True,0.4319468789582064,10,,3,1.4220212356943889,2,1.1072739485763476,False,0.0036080232851505,,,monkeyM_session-o080506002-22_lfp-2,M,0,
46,False,True,0.6931273695237042,12,,3,1.4179017883111733,2,1.030646125060431,False,0.0034176163864216,,,monkeyM_session-o080506002-22_lfp-2,M,0,
40,False,True,0.9224787907678752,9,,3,1.4163056432379342,2,1.040771297065936,False,0.0148928541608324,,,monkeyM_session-o080506002-22_lfp-2,M,0,
62,False,True,0.5913292873271402,9,,3,1.4227623533585598,2,1.1060052079712686,False,0.003392499343283,,,monkeyM_session-o080506002-22_lfp-2,M,0,
60,False,True,0.5891403991121814,12,,3,1.415510738264525,2,1.0889492113715242,False,0.0023704126583972,,,monkeyM_session-o080506002-22_lfp-2,M,0,
44,False,True,0.6523319417007897,22,,3,1.4169133938378289,2,1.058261163927744,False,0.0247698845421358,,,monkeyM_session-o080506002-22_lfp-2,M,0,
49,False,True,0.8477571896489502,10,,3,1.4223443165552685,2,1.0579578656434494,False,0.0052925629746773,,,monkeyM_session-o080506002-22_lfp-2,M,0,
61,False,True,0.8337132043053255,11,,3,1.4200988251666091,2,1.003005994979602,False,0.004080082754811,,,monkeyM_session-o080506002-22_lfp-2,M,0,
56,False,True,0.6258216979110514,11,,3,1.4217013713715636,2,1.038541344081252,False,0.0091519549628178,,,monkeyM_session-o080506002-22_lfp-2,M,0,
48,True,True,0.5119078457809063,9,,3,1.4149522476605283,2,1.0888988783642322,False,0.003148481020661,,,monkeyM_session-o080506002-22_lfp-2,M,0,
97,True,True,0.7010304077226377,7,,3,1.4221325227925756,2,1.0290558103415282,False,0.0037983023414636,,,monkeyM_session-o080506002-22_lfp-2,M,0,
71,False,True,0.8220904117099257,11,,3,1.4203529268652824,2,1.0640577766427086,False,0.0036202272053289,,,monkeyM_session-o080506002-22_lfp-2,M,0,
69,False,True,0.788051399050226,10,,3,1.4203348307592296,2,1.1533649409955078,False,0.0051011304902717,,,monkeyM_session-o080506002-22_lfp-2,M,0,
