row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,status,failure_reason,elapsed_seconds,centered_rms,geometry_usable,R1,R2,longest_H1_lifetime,normalized_H1_lifetime,H0_intervals,H0_infinite,H1_intervals,H1_infinite,H2_intervals,H2_infinite,plot_x
11,26,124,1,2,short,success,,11.058015657006765,1.4960785802757166,True,3.1452967900301343,1.114667714662167,0.4628112614154815,0.3093495672735243,494,1,159,0,16,0,0.9809604285100135
12,29,526,1,3,short,success,,12.357959176995791,1.7594777800406356,True,3.769658304797903,1.505613926804108,0.484205037355423,0.2751981541615377,494,1,192,0,8,0,1.039604924207699
13,7,382,1,2,short,success,,12.01933575491421,1.5250876588353532,True,3.2803681286776083,1.166549620180789,0.3912156820297241,0.2565201283764105,494,1,129,0,4,0,0.9444331908526142
14,32,80,1,2,short,success,,13.182455381960608,1.9458677276657264,True,4.9862312897666206,1.4162620213752484,0.8389623761177063,0.431150773605835,494,1,172,0,13,0,0.8691793646603223
15,27,366,1,1,short,success,,12.895482540945522,1.689988050070543,True,3.943740954054361,1.1421706545218009,0.4020483940839767,0.2379001402212249,494,1,147,0,8,0,1.1078351866013025
16,21,156,1,1,short,success,,14.940769774024377,1.974457186039952,True,5.283209652136311,1.3687372641967577,1.1599102020263672,0.5874577631904636,494,1,126,0,6,0,0.8364772386060583
17,33,690,1,1,short,success,,7.969776537036523,1.528834993341583,True,3.017107591907943,0.9352736246319509,0.351159393787384,0.2296908399642613,494,1,174,0,9,0,0.89827133330295
18,18,265,1,0,short,success,,10.872725542983972,1.5705173407736668,True,3.505844377988731,1.3904775065237869,0.3534306585788727,0.2250409144828455,494,1,173,0,7,0,0.9008387523718068
19,11,445,1,1,short,success,,10.297332506044768,1.4777334494478074,True,3.2962623356667726,1.6895489159299903,0.3979658335447311,0.2693082664491631,494,1,182,0,9,0,1.1477852906155963
20,4,462,1,2,short,success,,10.349077614024282,1.6301680710892053,True,4.087924240634141,1.2743709830990804,0.5580704212188721,0.3423391925753977,494,1,147,0,7,0,1.1397585318285457
21,14,152,1,3,short,success,,11.28725687903352,1.5430303819249556,True,3.402211744434303,1.232197232114436,0.5916735827922821,0.3834490815755421,494,1,161,0,11,0,0.924107887592416
22,25,188,1,0,short,success,,9.945584073895589,1.980139629379984,True,4.356214697475985,1.785124927041471,0.5082214176654816,0.2566593840781898,494,1,152,0,4,0,1.090269328429867
23,17,195,1,1,short,success,,9.598929835949091,1.3837039009233911,True,2.771188343639438,1.1493596888247963,0.4512070715427398,0.3260864345627952,494,1,149,0,9,0,1.040762243426206
24,16,205,1,4,short,success,,11.527042867033742,1.2148702928272452,True,2.942086898261827,1.5111213874656038,0.529134213924408,0.4355479074996617,494,1,195,0,10,0,1.1617138334487582
25,24,262,1,0,short,success,,10.074178584036416,1.5329420242105596,True,3.2018263477546944,1.112052750226711,0.5672243684530258,0.3700233665034639,494,1,162,0,6,0,0.8648033577892877
26,1,571,1,0,short,success,,12.24701826600358,1.5940050704217006,True,3.7162633247791046,1.424022767395906,0.5750296115875244,0.3607451583798274,494,1,162,0,8,0,0.9262055301744159
27,0,601,1,3,short,success,,12.053829777985811,1.5497905703397648,True,3.134294622545015,1.135818530755805,0.3941680341958999,0.2543363224293495,494,1,140,0,4,0,0.9831409476535515
28,8,349,1,1,short,success,,12.33639387995936,1.438873717047351,True,3.6570793009552007,1.1964506213756392,0.948691576719284,0.6593292833689757,494,1,137,0,10,0,0.8938508394663028
29,3,236,1,0,short,success,,10.379775387002155,1.5474517825262986,True,3.16183529049368,1.3289655639511309,0.5035874843597412,0.3254301620549413,494,1,174,0,10,0,1.0625060124374481
30,23,569,1,4,short,success,,16.49908165598754,2.1528668093438705,True,6.498906152172921,1.7556358731368051,1.3431576490402222,0.6238925897369269,494,1,157,0,8,0,1.1378211145436457
31,22,276,1,2,short,success,,11.884710359037854,1.6739998651734105,True,4.672473692090985,1.5602868339828555,0.7659508287906647,0.4575572822470445,494,1,152,0,7,0,0.8790420916393088
32,10,40,1,2,short,success,,10.026389578008091,1.6528240345098046,True,3.7937699881678704,1.3599423545676863,1.0918375849723816,0.660589126353187,494,1,154,0,7,0,1.1678944502479203
33,59,98,2,3,short,success,,10.159498800057918,1.716819194543437,True,4.0562398208049935,1.291771659687711,0.916463017463684,0.533814521864898,494,1,132,0,5,0,1.967726317710534
34,43,260,2,3,short,success,,12.313829072983935,1.77865721788139,True,3.9953775291268623,1.1842436689326037,0.6036127805709839,0.3393643106174019,494,1,144,0,4,0,2.0621702705152183
35,35,622,2,4,short,success,,8.978489813045599,1.2397549621495574,True,2.5600535608715576,0.9309231173840774,0.2951605916023254,0.2380797823874479,494,1,154,0,6,0,1.8862507974985343
36,39,198,2,3,short,success,,10.25995051895734,1.5690959867290395,True,3.567621031587516,1.4176677561908069,0.5104913413524628,0.3253410534919794,494,1,129,0,2,0,2.03221037532117
37,54,628,2,1,short,success,,9.990636100061238,1.6621764616161454,True,4.0391592652064965,1.810205138199482,0.6759610772132874,0.4066722714603032,494,1,155,0,6,0,1.8312921461093563
38,60,647,2,3,short,success,,10.682023719069548,1.8248458626564303,True,3.6946680022418303,1.2025548462289015,0.4091822206974029,0.2242283740621007,494,1,136,0,6,0,2.0531521768824
