latest_sample_index,x_t,x_t_minus3ms,x_t_minus6ms
273,1.064884066581726,0.5651441216468811,-0.13115254044532776
274,1.1366603374481201,0.7707337141036987,0.09983609616756439
275,1.1533857583999634,0.9406980276107788,0.3367445766925812
276,1.116478681564331,1.064884066581726,0.5651441216468811
277,1.0311100482940674,1.1366603374481201,0.7707337141036987
278,0.9055765867233276,1.1533857583999634,0.9406980276107788
279,0.7504132390022278,1.116478681564331,1.064884066581726
280,0.5773257613182068,1.0311100482940674,1.1366603374481201
281,0.3980373740196228,0.9055765867233276,1.1533857583999634
282,0.22316469252109528,0.7504132390022278,1.116478681564331
283,0.06123696640133858,0.5773257613182068,1.0311100482940674
284,-0.08204402029514313,0.3980373740196228,0.9055765867233276
285,-0.204228937625885,0.22316469252109528,0.7504132390022278
286,-0.3061857521533966,0.06123696640133858,0.5773257613182068
287,-0.39179176092147827,-0.08204402029514313,0.3980373740196228
288,-0.4672759175300598,-0.204228937625885,0.22316469252109528
289,-0.5402650237083435,-0.3061857521533966,0.06123696640133858
290,-0.6186144351959229,-0.39179176092147827,-0.08204402029514313
291,-0.7091342210769653,-0.4672759175300598,-0.204228937625885
292,-0.81635582447052,-0.5402650237083435,-0.3061857521533966
293,-0.9415126442909241,-0.6186144351959229,-0.39179176092147827
294,-1.0819092988967896,-0.7091342210769653,-0.4672759175300598
295,-1.2308144569396973,-0.81635582447052,-0.5402650237083435
296,-1.37794029712677,-0.9415126442909241,-0.6186144351959229
297,-1.5104808807373047,-1.0819092988967896,-0.7091342210769653
298,-1.6145923137664795,-1.2308144569396973,-0.81635582447052
299,-1.6771141290664673,-1.37794029712677,-0.9415126442909241
300,-1.6872646808624268,-1.5104808807373047,-1.0819092988967896
301,-1.6380172967910767,-1.6145923137664795,-1.2308144569396973
302,-1.526917815208435,-1.6771141290664673,-1.37794029712677
303,-1.3562498092651367,-1.6872646808624268,-1.5104808807373047
304,-1.1326006650924683,-1.6380172967910767,-1.6145923137664795
305,-0.8659985661506653,-1.526917815208435,-1.6771141290664673
306,-0.5688179135322571,-1.3562498092651367,-1.6872646808624268
307,-0.25464195013046265,-1.1326006650924683,-1.6380172967910767
308,0.06278928369283676,-0.8659985661506653,-1.526917815208435
309,0.37048065662384033,-0.5688179135322571,-1.3562498092651367
