row_index,original_trial_number,direction,homology_dimension,interval,birth,death,lifetime
39,10,2,0,182,0.0,0.1101241260766983,0.1101241260766983
39,10,2,0,183,0.0,0.1103333607316017,0.1103333607316017
39,10,2,0,184,0.0,0.1110976561903953,0.1110976561903953
39,10,2,0,185,0.0,0.111572265625,0.111572265625
39,10,2,0,186,0.0,0.1116753220558166,0.1116753220558166
39,10,2,0,187,0.0,0.1117522865533828,0.1117522865533828
39,10,2,0,188,0.0,0.1130430027842521,0.1130430027842521
39,10,2,0,189,0.0,0.1132255494594574,0.1132255494594574
39,10,2,0,190,0.0,0.1140080168843269,0.1140080168843269
39,10,2,0,191,0.0,0.1148985922336578,0.1148985922336578
39,10,2,0,192,0.0,0.1149784550070762,0.1149784550070762
39,10,2,0,193,0.0,0.1156202778220176,0.1156202778220176
39,10,2,0,194,0.0,0.1157986521720886,0.1157986521720886
39,10,2,0,195,0.0,0.1158065497875213,0.1158065497875213
39,10,2,0,196,0.0,0.115965224802494,0.115965224802494
39,10,2,0,197,0.0,0.1163872107863426,0.1163872107863426
39,10,2,0,198,0.0,0.1164239570498466,0.1164239570498466
39,10,2,0,199,0.0,0.1166779994964599,0.1166779994964599
39,10,2,0,200,0.0,0.1167949885129928,0.1167949885129928
39,10,2,0,201,0.0,0.1168180704116821,0.1168180704116821
39,10,2,0,202,0.0,0.1173999458551406,0.1173999458551406
39,10,2,0,203,0.0,0.1179083436727523,0.1179083436727523
39,10,2,0,204,0.0,0.1182046458125114,0.1182046458125114
39,10,2,0,205,0.0,0.1182407140731811,0.1182407140731811
39,10,2,0,206,0.0,0.1182950884103775,0.1182950884103775
39,10,2,0,207,0.0,0.1204360798001289,0.1204360798001289
39,10,2,0,208,0.0,0.1214845478534698,0.1214845478534698
39,10,2,0,209,0.0,0.1221245005726814,0.1221245005726814
39,10,2,0,210,0.0,0.1223288029432296,0.1223288029432296
39,10,2,0,211,0.0,0.1228669211268425,0.1228669211268425
39,10,2,0,212,0.0,0.1229474022984504,0.1229474022984504
39,10,2,0,213,0.0,0.1244925409555435,0.1244925409555435
39,10,2,0,214,0.0,0.1246599704027175,0.1246599704027175
39,10,2,0,215,0.0,0.1247361078858375,0.1247361078858375
39,10,2,0,216,0.0,0.125613659620285,0.125613659620285
39,10,2,0,217,0.0,0.1257481724023819,0.1257481724023819
39,10,2,0,218,0.0,0.1258659958839416,0.1258659958839416
39,10,2,0,219,0.0,0.1259011924266815,0.1259011924266815
39,10,2,0,220,0.0,0.1262222379446029,0.1262222379446029
39,10,2,0,221,0.0,0.1264517605304718,0.1264517605304718
39,10,2,0,222,0.0,0.1280898600816726,0.1280898600816726
39,10,2,0,223,0.0,0.1284707635641098,0.1284707635641098
39,10,2,0,224,0.0,0.1287636458873748,0.1287636458873748
39,10,2,0,225,0.0,0.1287921071052551,0.1287921071052551
39,10,2,0,226,0.0,0.1289798319339752,0.1289798319339752
39,10,2,0,227,0.0,0.1290748566389084,0.1290748566389084
39,10,2,0,228,0.0,0.1291287839412689,0.1291287839412689
39,10,2,0,229,0.0,0.1293465048074722,0.1293465048074722
39,10,2,0,230,0.0,0.1299674957990646,0.1299674957990646
39,10,2,0,231,0.0,0.1303883641958236,0.1303883641958236
39,10,2,0,232,0.0,0.1303975880146026,0.1303975880146026
39,10,2,0,233,0.0,0.1307185292243957,0.1307185292243957
39,10,2,0,234,0.0,0.1309597343206405,0.1309597343206405
39,10,2,0,235,0.0,0.1309932470321655,0.1309932470321655
39,10,2,0,236,0.0,0.1312207281589508,0.1312207281589508
39,10,2,0,237,0.0,0.1317550092935562,0.1317550092935562
39,10,2,0,238,0.0,0.1318366527557373,0.1318366527557373
39,10,2,0,239,0.0,0.131880909204483,0.131880909204483
39,10,2,0,240,0.0,0.131888598203659,0.131888598203659
39,10,2,0,241,0.0,0.1323514729738235,0.1323514729738235
39,10,2,0,242,0.0,0.1335013806819915,0.1335013806819915
39,10,2,0,243,0.0,0.1336039751768112,0.1336039751768112
39,10,2,0,244,0.0,0.1336954087018966,0.1336954087018966
39,10,2,0,245,0.0,0.133832648396492,0.133832648396492
39,10,2,0,246,0.0,0.1343954801559448,0.1343954801559448
39,10,2,0,247,0.0,0.1344733536243438,0.1344733536243438
39,10,2,0,248,0.0,0.135196566581726,0.135196566581726
39,10,2,0,249,0.0,0.1360650360584259,0.1360650360584259
39,10,2,0,250,0.0,0.1361086219549179,0.1361086219549179
39,10,2,0,251,0.0,0.1361561119556427,0.1361561119556427
39,10,2,0,252,0.0,0.1386017650365829,0.1386017650365829
39,10,2,0,253,0.0,0.1386504769325256,0.1386504769325256
39,10,2,0,254,0.0,0.1398286819458007,0.1398286819458007
39,10,2,0,255,0.0,0.1403019726276397,0.1403019726276397
39,10,2,0,256,0.0,0.1404035240411758,0.1404035240411758
39,10,2,0,257,0.0,0.1411731541156768,0.1411731541156768
39,10,2,0,258,0.0,0.1419786363840103,0.1419786363840103
39,10,2,0,259,0.0,0.1421320587396621,0.1421320587396621
39,10,2,0,260,0.0,0.1426761150360107,0.1426761150360107
39,10,2,0,261,0.0,0.1428060829639434,0.1428060829639434
39,10,2,0,262,0.0,0.1432079076766967,0.1432079076766967
39,10,2,0,263,0.0,0.1434691399335861,0.1434691399335861
39,10,2,0,264,0.0,0.1443262547254562,0.1443262547254562
39,10,2,0,265,0.0,0.1457311660051345,0.1457311660051345
39,10,2,0,266,0.0,0.1463161557912826,0.1463161557912826
39,10,2,0,267,0.0,0.1468593031167984,0.1468593031167984
39,10,2,0,268,0.0,0.147168293595314,0.147168293595314
39,10,2,0,269,0.0,0.1473891139030456,0.1473891139030456
39,10,2,0,270,0.0,0.1485372483730316,0.1485372483730316
39,10,2,0,271,0.0,0.1487556993961334,0.1487556993961334
39,10,2,0,272,0.0,0.1497057527303695,0.1497057527303695
39,10,2,0,273,0.0,0.1499142050743103,0.1499142050743103
39,10,2,0,274,0.0,0.1500657796859741,0.1500657796859741
39,10,2,0,275,0.0,0.1502840518951416,0.1502840518951416
39,10,2,0,276,0.0,0.1509212404489517,0.1509212404489517
39,10,2,0,277,0.0,0.1512655019760131,0.1512655019760131
39,10,2,0,278,0.0,0.1513304710388183,0.1513304710388183
39,10,2,0,279,0.0,0.1515266448259353,0.1515266448259353
39,10,2,0,280,0.0,0.1516010016202926,0.1516010016202926
39,10,2,0,281,0.0,0.1518307477235794,0.1518307477235794
39,10,2,0,282,0.0,0.1530946195125579,0.1530946195125579
39,10,2,0,283,0.0,0.153235912322998,0.153235912322998
39,10,2,0,284,0.0,0.1540618687868118,0.1540618687868118
39,10,2,0,285,0.0,0.1542336791753769,0.1542336791753769
39,10,2,0,286,0.0,0.1542450040578842,0.1542450040578842
39,10,2,0,287,0.0,0.1543837338685989,0.1543837338685989
39,10,2,0,288,0.0,0.1550848335027694,0.1550848335027694
39,10,2,0,289,0.0,0.1557840704917907,0.1557840704917907
39,10,2,0,290,0.0,0.1559778898954391,0.1559778898954391
39,10,2,0,291,0.0,0.156469240784645,0.156469240784645
39,10,2,0,292,0.0,0.1570118963718414,0.1570118963718414
39,10,2,0,293,0.0,0.1579490303993225,0.1579490303993225
39,10,2,0,294,0.0,0.1589956134557724,0.1589956134557724
39,10,2,0,295,0.0,0.1589984595775604,0.1589984595775604
39,10,2,0,296,0.0,0.1594480276107788,0.1594480276107788
39,10,2,0,297,0.0,0.1594915688037872,0.1594915688037872
39,10,2,0,298,0.0,0.1595884561538696,0.1595884561538696
39,10,2,0,299,0.0,0.1603976786136627,0.1603976786136627
39,10,2,0,300,0.0,0.1607489138841629,0.1607489138841629
39,10,2,0,301,0.0,0.1607639640569687,0.1607639640569687
39,10,2,0,302,0.0,0.1611481457948684,0.1611481457948684
39,10,2,0,303,0.0,0.1619986891746521,0.1619986891746521
39,10,2,0,304,0.0,0.1623551398515701,0.1623551398515701
39,10,2,0,305,0.0,0.1626774221658706,0.1626774221658706
39,10,2,0,306,0.0,0.1627261787652969,0.1627261787652969
39,10,2,0,307,0.0,0.1627845168113708,0.1627845168113708
39,10,2,0,308,0.0,0.162988394498825,0.162988394498825
39,10,2,0,309,0.0,0.1634913682937622,0.1634913682937622
39,10,2,0,310,0.0,0.1645322144031524,0.1645322144031524
39,10,2,0,311,0.0,0.1645706593990326,0.1645706593990326
39,10,2,0,312,0.0,0.1656046360731125,0.1656046360731125
39,10,2,0,313,0.0,0.165720134973526,0.165720134973526
39,10,2,0,314,0.0,0.1657203435897827,0.1657203435897827
39,10,2,0,315,0.0,0.1659063249826431,0.1659063249826431
39,10,2,0,316,0.0,0.1660651266574859,0.1660651266574859
39,10,2,0,317,0.0,0.1660689413547516,0.1660689413547516
39,10,2,0,318,0.0,0.1664040386676788,0.1664040386676788
39,10,2,0,319,0.0,0.1672321408987045,0.1672321408987045
39,10,2,0,320,0.0,0.1677547246217727,0.1677547246217727
39,10,2,0,321,0.0,0.1680440008640289,0.1680440008640289
39,10,2,0,322,0.0,0.1690420508384704,0.1690420508384704
39,10,2,0,323,0.0,0.1690506190061569,0.1690506190061569
39,10,2,0,324,0.0,0.1696445345878601,0.1696445345878601
39,10,2,0,325,0.0,0.1697317659854889,0.1697317659854889
39,10,2,0,326,0.0,0.1701692044734954,0.1701692044734954
39,10,2,0,327,0.0,0.1705286651849746,0.1705286651849746
39,10,2,0,328,0.0,0.171881228685379,0.171881228685379
39,10,2,0,329,0.0,0.1727889627218246,0.1727889627218246
39,10,2,0,330,0.0,0.173245221376419,0.173245221376419
39,10,2,0,331,0.0,0.1734797060489654,0.1734797060489654
39,10,2,0,332,0.0,0.1748419255018234,0.1748419255018234
39,10,2,0,333,0.0,0.1749865561723709,0.1749865561723709
