origin_ms,x_lag_0_ms,x_lag_1_ms,x_lag_2_ms,x_lag_3_ms,x_lag_4_ms,x_lag_5_ms,x_lag_6_ms,x_lag_7_ms,x_lag_8_ms
-185,-2.7719793,-2.6928613,-2.5518892,-2.3597946,-2.128864,-1.871793,-1.6006491,-1.3260474,-1.0566105
-184,-2.7811751,-2.7719793,-2.6928613,-2.5518892,-2.3597946,-2.128864,-1.871793,-1.6006491,-1.3260474
-183,-2.7159657,-2.7811751,-2.7719793,-2.6928613,-2.5518892,-2.3597946,-2.128864,-1.871793,-1.6006491
-182,-2.5760465,-2.7159657,-2.7811751,-2.7719793,-2.6928613,-2.5518892,-2.3597946,-2.128864,-1.871793
-181,-2.3654585,-2.5760465,-2.7159657,-2.7811751,-2.7719793,-2.6928613,-2.5518892,-2.3597946,-2.128864
-180,-2.0922961,-2.3654585,-2.5760465,-2.7159657,-2.7811751,-2.7719793,-2.6928613,-2.5518892,-2.3597946
-179,-1.767997,-2.0922961,-2.3654585,-2.5760465,-2.7159657,-2.7811751,-2.7719793,-2.6928613,-2.5518892
-178,-1.4063201,-1.767997,-2.0922961,-2.3654585,-2.5760465,-2.7159657,-2.7811751,-2.7719793,-2.6928613
-177,-1.0221575,-1.4063201,-1.767997,-2.0922961,-2.3654585,-2.5760465,-2.7159657,-2.7811751,-2.7719793
-176,-0.6303455,-1.0221575,-1.4063201,-1.767997,-2.0922961,-2.3654585,-2.5760465,-2.7159657,-2.7811751
-175,-0.2446204,-0.6303455,-1.0221575,-1.4063201,-1.767997,-2.0922961,-2.3654585,-2.5760465,-2.7159657
-174,0.12316872,-0.2446204,-0.6303455,-1.0221575,-1.4063201,-1.767997,-2.0922961,-2.3654585,-2.5760465
-173,0.4635331,0.12316872,-0.2446204,-0.6303455,-1.0221575,-1.4063201,-1.767997,-2.0922961,-2.3654585
-172,0.76950055,0.4635331,0.12316872,-0.2446204,-0.6303455,-1.0221575,-1.4063201,-1.767997,-2.0922961
-171,1.0365045,0.76950055,0.4635331,0.12316872,-0.2446204,-0.6303455,-1.0221575,-1.4063201,-1.767997
-170,1.262089,1.0365045,0.76950055,0.4635331,0.12316872,-0.2446204,-0.6303455,-1.0221575,-1.4063201
-169,1.4455189,1.262089,1.0365045,0.76950055,0.4635331,0.12316872,-0.2446204,-0.6303455,-1.0221575
-168,1.5873708,1.4455189,1.262089,1.0365045,0.76950055,0.4635331,0.12316872,-0.2446204,-0.6303455
-167,1.6891496,1.5873708,1.4455189,1.262089,1.0365045,0.76950055,0.4635331,0.12316872,-0.2446204
-166,1.7529591,1.6891496,1.5873708,1.4455189,1.262089,1.0365045,0.76950055,0.4635331,0.12316872
-165,1.7812397,1.7529591,1.6891496,1.5873708,1.4455189,1.262089,1.0365045,0.76950055,0.4635331
-164,1.7765858,1.7812397,1.7529591,1.6891496,1.5873708,1.4455189,1.262089,1.0365045,0.76950055
-163,1.741657,1.7765858,1.7812397,1.7529591,1.6891496,1.5873708,1.4455189,1.262089,1.0365045
-162,1.6791927,1.741657,1.7765858,1.7812397,1.7529591,1.6891496,1.5873708,1.4455189,1.262089
-161,1.5921209,1.6791927,1.741657,1.7765858,1.7812397,1.7529591,1.6891496,1.5873708,1.4455189
-160,1.4837288,1.5921209,1.6791927,1.741657,1.7765858,1.7812397,1.7529591,1.6891496,1.5873708
-159,1.3578371,1.4837288,1.5921209,1.6791927,1.741657,1.7765858,1.7812397,1.7529591,1.6891496
-158,1.2189127,1.3578371,1.4837288,1.5921209,1.6791927,1.741657,1.7765858,1.7812397,1.7529591
-157,1.0720642,1.2189127,1.3578371,1.4837288,1.5921209,1.6791927,1.741657,1.7765858,1.7812397
-156,0.9228848,1.0720642,1.2189127,1.3578371,1.4837288,1.5921209,1.6791927,1.741657,1.7765858
-155,0.77713925,0.9228848,1.0720642,1.2189127,1.3578371,1.4837288,1.5921209,1.6791927,1.741657
-154,0.64032054,0.77713925,0.9228848,1.0720642,1.2189127,1.3578371,1.4837288,1.5921209,1.6791927
-153,0.51714015,0.64032054,0.77713925,0.9228848,1.0720642,1.2189127,1.3578371,1.4837288,1.5921209
-152,0.41103894,0.51714015,0.64032054,0.77713925,0.9228848,1.0720642,1.2189127,1.3578371,1.4837288
-151,0.32381573,0.41103894,0.51714015,0.64032054,0.77713925,0.9228848,1.0720642,1.2189127,1.3578371
-150,0.25545302,0.32381573,0.41103894,0.51714015,0.64032054,0.77713925,0.9228848,1.0720642,1.2189127
-149,0.20418295,0.25545302,0.32381573,0.41103894,0.51714015,0.64032054,0.77713925,0.9228848,1.0720642
-148,0.16679344,0.20418295,0.25545302,0.32381573,0.41103894,0.51714015,0.64032054,0.77713925,0.9228848
-147,0.13913237,0.16679344,0.20418295,0.25545302,0.32381573,0.41103894,0.51714015,0.64032054,0.77713925
-146,0.11673807,0.13913237,0.16679344,0.20418295,0.25545302,0.32381573,0.41103894,0.51714015,0.64032054
-145,0.095506035,0.11673807,0.13913237,0.16679344,0.20418295,0.25545302,0.32381573,0.41103894,0.51714015
-144,0.07229454,0.095506035,0.11673807,0.13913237,0.16679344,0.20418295,0.25545302,0.32381573,0.41103894
-143,0.045379333,0.07229454,0.095506035,0.11673807,0.13913237,0.16679344,0.20418295,0.25545302,0.32381573
-142,0.014687884,0.045379333,0.07229454,0.095506035,0.11673807,0.13913237,0.16679344,0.20418295,0.25545302
-141,-0.018222222,0.014687884,0.045379333,0.07229454,0.095506035,0.11673807,0.13913237,0.16679344,0.20418295
-140,-0.05043531,-0.018222222,0.014687884,0.045379333,0.07229454,0.095506035,0.11673807,0.13913237,0.16679344
-139,-0.078152135,-0.05043531,-0.018222222,0.014687884,0.045379333,0.07229454,0.095506035,0.11673807,0.13913237
-138,-0.09728361,-0.078152135,-0.05043531,-0.018222222,0.014687884,0.045379333,0.07229454,0.095506035,0.11673807
-137,-0.10406121,-0.09728361,-0.078152135,-0.05043531,-0.018222222,0.014687884,0.045379333,0.07229454,0.095506035
-136,-0.09556454,-0.10406121,-0.09728361,-0.078152135,-0.05043531,-0.018222222,0.014687884,0.045379333,0.07229454
-135,-0.070089094,-0.09556454,-0.10406121,-0.09728361,-0.078152135,-0.05043531,-0.018222222,0.014687884,0.045379333
-134,-0.02730895,-0.070089094,-0.09556454,-0.10406121,-0.09728361,-0.078152135,-0.05043531,-0.018222222,0.014687884
-133,0.031779304,-0.02730895,-0.070089094,-0.09556454,-0.10406121,-0.09728361,-0.078152135,-0.05043531,-0.018222222
