row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,mode_1_G_0_0,mode_1_G_0_1,mode_1_G_0_2,mode_1_G_0_3,mode_1_G_0_4,mode_1_G_1_1,mode_1_G_1_2,mode_1_G_1_3,mode_1_G_1_4,mode_1_G_2_2,mode_1_G_2_3,mode_1_G_2_4,mode_1_G_3_3,mode_1_G_3_4,mode_1_G_4_4,mode_2_G_0_0,mode_2_G_0_1,mode_2_G_0_2,mode_2_G_0_3,mode_2_G_0_4,mode_2_G_1_1,mode_2_G_1_2,mode_2_G_1_3,mode_2_G_1_4,mode_2_G_2_2,mode_2_G_2_3,mode_2_G_2_4,mode_2_G_3_3,mode_2_G_3_4,mode_2_G_4_4,residual_rmse_lag_0,residual_rmse_lag_1,residual_rmse_lag_2,residual_rmse_lag_3,residual_rmse_lag_4,normalized_error,held_out_in_this_feature_fit
10,10,40,1,1,short,0.9833313322441735,-0.1676789594746994,-1.0092533532687986,0.49861518403272065,0.7955864837378614,1.1446082361376393,-0.19500428113521057,-1.0680518427255306,0.4706825716063539,1.1566141986333847,-0.18840115960988102,-1.0160118310899175,1.1187180091109599,-0.13067681210505583,0.9731242241252908,0.03832165579192114,-0.04117676125565957,0.006956305642287446,0.020261272323628697,-0.038959530943554824,0.054378501808578644,-0.025732243837587605,-0.005994436597054448,0.035668606812381216,0.03415647007602377,-0.024745429319214626,0.004086454685953176,0.035272949600096616,-0.030240584424519802,0.043393341750843153,0.7078428580928168,0.6514099203750909,0.6606011686855855,0.6644268619587562,0.6900396614394633,0.4500255657851832,True
11,1,571,1,1,short,0.3544272263566922,-0.10872123453635411,-0.2791095109291776,0.3136592216302208,0.1385473372770327,0.32915448383301343,-0.12848617980009142,-0.31861635499389196,0.28298056176151304,0.374765810427644,-0.08603079104015388,-0.3446885192417403,0.44479297907205695,-0.12210195442013413,0.4122924736986795,0.04172749719078878,-0.04162590779030427,0.014353436996064612,0.025460586322198317,-0.05629453691031543,0.0639421857532989,-0.05035034741524792,0.011214630925685993,0.03626687600580519,0.06285132366852912,-0.05009052993716462,0.012605973344524726,0.0753331080604194,-0.06683488469348506,0.09359536940003083,0.733314562961889,0.7394240140544597,0.7312364370295821,0.7005310130556409,0.716722688703761,0.7003836275067026,True
12,9,389,1,0,short,0.3046310977857308,-0.05581727617721458,-0.2588177377706122,0.1303748536834395,0.2543641571149052,0.2541818568459779,-0.06394600766401812,-0.2627922842954235,0.039317082933013316,0.27073584926631755,-0.0017045992196108584,-0.25533603416575845,0.2897550290213661,0.024716725895883848,0.24265528850752716,0.011441180303361437,-0.006326408823382195,-0.001949305635315968,0.014932352924379486,-0.01757120408083935,0.004751951113769263,-0.002841905429936736,-0.006560071131584494,0.008851689949584018,0.012586975415143907,-0.007848976523527111,0.005695942341964974,0.02178518096694766,-0.02410263191232204,0.027581455895682856,0.7222450264037948,0.7643121748208691,0.8069179165238597,0.842880508148369,0.9068170371637347,0.820822193692522,False
13,23,569,1,1,short,0.25072035398002496,-0.006204665242740687,-0.18247937100685419,0.09115570257971423,0.0865657037173826,0.24981600584372846,-0.0517871395957258,-0.13259482892715754,0.1490311739361334,0.14550946043925755,-0.03695137685033014,-0.09709639626274581,0.10118680979789858,-0.04744857788746121,0.12142559763420303,0.0454811871768588,-0.044242027744538684,0.0015762808030675354,0.024452911956997114,-0.04129151154787162,0.058436306830776684,-0.030626211503263646,0.004995127253960927,0.03371404328810687,0.055016530916482814,-0.05352674350832885,0.010758828955328202,0.06693992373200863,-0.03425990328457319,0.04019136189436457,0.9358230713473847,0.9070797244635093,0.8415920583091583,0.8446780809278515,0.8555582524540808,0.8713655638462979,True
14,18,265,1,3,short,0.7306144894649697,-0.13658474866634945,-0.5670385310732327,0.41881902751352573,0.326263857504579,0.7118765720275319,-0.1495418031108997,-0.5286344405217074,0.424519335640193,0.5352333695352742,-0.15737537354852082,-0.4339887923451347,0.535570606841613,-0.13153711199951423,0.48914407395440235,0.06164734227945001,-0.052851733247999834,0.02452550828799418,0.008555100514838234,-0.03754082404504618,0.06491918781139223,-0.05533865357179222,0.025636674014905173,0.009968293227421312,0.06980042509282464,-0.054292833684561746,0.023941388966096634,0.05662837950600291,-0.04256660117171906,0.048032388377480854,0.7455781221515475,0.7401139658151566,0.7572174289737345,0.7753178662246724,0.7837047513432178,0.6365048849891218,False
15,30,517,1,2,short,0.18958005513905218,-0.0542638493772495,-0.1867764128364264,0.1631172947420779,0.1395306776867238,0.24537488106701222,-0.09509116799459692,-0.22998536713634324,0.1603639615105782,0.28002702546830815,-0.04223672967439013,-0.26692688151841637,0.2865240124985754,-0.03968360184675321,0.2772524825737211,0.03820147162720161,-0.02862913559621284,0.009772168897418462,-0.007286946068484779,0.0008935250033335877,0.02224041875765559,-0.008928558627748516,0.0074175631099150955,-0.00278506244545127,0.005781423924190041,-0.00586434047922696,0.0045537235416709615,0.006266313426286055,-0.005442766200428426,0.00572138444293182,0.7617124556834497,0.7685669904747224,0.8113435094945771,0.8135540027987564,0.8140848945793419,0.8231342244786383,False
16,15,56,1,0,short,0.8310127084011029,-0.2888609646823851,-0.6986695724169187,0.5857012758976756,0.24381377114618868,0.9045376286464232,-0.18445426516421837,-0.6471238446567139,0.5323104309741153,0.8144758080249814,-0.2567325366749993,-0.5328897528319068,0.6574443845135698,-0.16851090198157354,0.5450437324845202,0.004959678111876024,-0.0032111200889427035,0.002757870493266602,0.00250463290713788,-0.00545832971747857,0.004284813063749896,-0.002174899126648918,0.0007772742241595461,0.0001547095578908559,0.0016022547931780003,0.0009693106348018434,-0.002438699348145249,0.0038737267520657856,-0.006431537637302932,0.011184130678310946,0.90685612947478,0.8957352430172727,0.8561154392652575,0.8713572980013202,0.8553230652592264,0.6708496837493712,False
17,6,16,1,4,short,0.4131625883313724,-0.10271853405259435,-0.3108187861895338,0.29693481621871776,-0.007608683730399857,0.4317653469973898,-0.14367357022247212,-0.20418239621665835,0.3218519067807818,0.3540002062499998,-0.15247871157283854,-0.16830282742741515,0.2552362627264614,-0.10814455231238194,0.25215275312272944,0.09007173700565281,-0.05753560761515642,0.043824604094739,0.003942662664385239,-0.029496448065990888,0.058431610933365526,-0.05613335346724207,0.02048746428594374,-0.003994213651456489,0.05784717762841296,-0.027942940577243672,0.015288874748845837,0.02458636328659951,-0.02552438333032335,0.03371347029107852,1.0062355388248545,0.9463246037035887,0.9535103076812114,1.0154844368193268,1.011815715927185,0.8325746531270612,False
18,26,124,1,4,short,0.2684970174380605,-0.03025314975601752,-0.222434930203156,0.12777040922136776,0.11488493961370208,0.2544094697711073,-0.048332187934120835,-0.17612783692191478,0.13583367794050594,0.2057365853087353,-0.05855880846365524,-0.13868020937584602,0.16501324059913347,-0.04119413316059084,0.13734427277210076,0.011342705517023238,-0.008955658180677362,-0.0014893213855117532,0.011906226255635734,-0.013823480729144789,0.015861508642418264,-0.006686209317985856,-0.0019640718069747687,0.008371590124944275,0.007227275239294165,-0.00821439631695976,0.004089259105385125,0.018788791014629425,-0.016661349174910623,0.017582354924083658,0.7228710002475034,0.7109653236978298,0.7022030875878702,0.7067611864292466,0.700031731991207,0.8203763059760897,False
19,31,437,1,4,short,0.5067203224364558,-0.1407348916221404,-0.49029087100428986,0.39899617736875104,0.36910474168998236,0.5742794030712852,-0.13734351137389722,-0.5722623469093384,0.4058728541679438,0.614176885133495,-0.1502326349974481,-0.6169534316767519,0.7120355445883487,-0.14769826982312256,0.7517870060924121,0.012705973345399963,-0.007996612652249336,-0.0030365451677572724,0.012757743675591614,-0.021560120767851087,0.015958421256131866,-0.013413453267243072,0.00279600416926097,0.014333947092647532,0.02222010378121586,-0.018232503244734306,0.004079697302841347,0.02353536206928895,-0.020890100908595277,0.03663782410421927,0.7245660409077872,0.7053026524372127,0.6993448993329056,0.691557773652805,0.6869101390221856,0.6005068411602416,False
