row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
101,115,248,4,1,short,4.85528191959952,20.8,4.044082671897393,4.815597751261056,5.554373289568526,5.740381220212859,5.092427743151378
102,105,109,4,2,short,4.85796971877656,22.700000000000003,4.37110426858434,4.810087574145607,4.3154331474733505,5.671511801905739,5.071183330560188
103,131,704,4,1,short,5.117969377648996,19.6,3.5091805130246234,4.181084968568479,4.646667889126591,5.795589139362129,5.149559522893515
104,133,691,4,0,short,4.579471107618907,20.700000000000003,3.380571714014154,3.8274531295393888,3.7368920253888676,5.405715944784462,5.4309696125844935
105,113,489,4,0,short,4.771849175763842,21.200000000000003,5.470144913489096,5.444060574958177,4.49936959182633,5.512369119420325,5.306213162957195
106,119,17,4,0,short,5.099079666375666,23.5,4.642683800552438,4.599693615143625,4.6386819311283976,5.997048839551438,5.620662850033543
107,104,701,4,2,short,4.938305836667622,22.5,4.2673839066844375,4.319341423978359,4.912168650835478,5.679180890474772,5.453255350601065
108,103,89,4,2,short,5.0008842477634605,22.6,5.023455678609099,5.376648358946273,5.387502557751705,5.905126999271896,5.369594842616398
109,121,606,4,3,short,4.950322815275147,22.6,4.830818207008997,5.208572197593652,4.953015396881916,5.748202989033911,5.427074697742042
110,112,85,4,4,short,4.755396700908689,26.1,4.858037991741803,4.691935775189666,4.538221037059588,5.65587851476597,5.488975146466754
111,129,291,4,4,short,5.040137327286178,21.200000000000003,3.609127880168552,3.4799663824586022,4.095447049983845,5.928429151493611,5.399495366521991
112,120,206,4,0,short,5.309248515745402,21.5,3.7348646047622283,4.581424341649396,4.682185406258102,6.220698320281725,5.464701650697879
113,102,94,4,1,short,5.007299303571956,19.8,4.59510888790262,4.598742746326479,4.4713935327747985,5.975673687386079,5.528475145743199
114,107,536,4,4,short,4.856559826114564,19.6,2.909808430862697,4.269251869979438,4.446378004169459,5.67271816740121,5.196248078997883
115,125,86,4,4,short,4.7250141199797095,23.5,4.750048654174812,5.139495991626925,4.793946916932755,5.708676928758058,5.16059325395538
116,111,283,4,1,short,4.895064695851638,22.400000000000002,4.613669364256942,4.614025761993879,3.976833377348296,5.885492658674472,5.371719849689312
117,130,388,4,4,short,4.995775091569949,22.900000000000002,3.6409858904418146,4.293939060570053,4.3802294345106105,5.843335479352804,5.39569500568693
118,110,242,4,4,short,4.948092053030391,19.6,2.909856987410566,3.4342299707697763,4.268305784845005,5.8393646273234285,5.3594170071517295
119,101,400,4,2,short,4.637158585102067,22.200000000000003,3.6733423299214203,3.829178105790854,4.221831065862265,5.547686876961996,5.287989275919803
120,124,119,4,1,short,4.594680832056,21.5,4.337561609645752,5.068463848995543,4.652373176357594,5.4780461886794,5.405766925060596
