monkey,recording,curve,x,y
T,monkeyT_session-y070215011-16_lfp-1,ami,34.0,0.06544179345254487
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,34.0,0.06576479881942049
T,monkeyT_session-y070215011-16_lfp-1,ami,35.0,0.07340768592225969
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,35.0,0.07298236745771704
T,monkeyT_session-y070215011-16_lfp-1,ami,36.0,0.0803593351473703
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,36.0,0.07943669040455953
T,monkeyT_session-y070215011-16_lfp-1,ami,37.0,0.08560397122341698
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,37.0,0.08411077840473825
T,monkeyT_session-y070215011-16_lfp-1,ami,38.0,0.08696328185474639
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,38.0,0.08678903061534621
T,monkeyT_session-y070215011-16_lfp-1,ami,39.0,0.0890464237504987
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,39.0,0.08790168126516051
T,monkeyT_session-y070215011-16_lfp-1,ami,40.0,0.08846108804265146
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,40.0,0.08711167335176592
T,monkeyT_session-y070215011-16_lfp-1,ami,41.0,0.08472814133243806
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,41.0,0.08418452466725253
T,monkeyT_session-y070215011-16_lfp-1,ami,42.0,0.08062048572596034
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,42.0,0.07948947422239894
T,monkeyT_session-y070215011-16_lfp-1,ami,43.0,0.07334923462037764
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,43.0,0.0734836979119666
T,monkeyT_session-y070215011-16_lfp-1,ami,44.0,0.06700672665770008
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,44.0,0.06703762977541258
T,monkeyT_session-y070215011-16_lfp-1,ami,45.0,0.06066089404729182
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,45.0,0.06060452646476609
T,monkeyT_session-y070215011-16_lfp-1,ami,46.0,0.054125886406613574
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,46.0,0.05423046371530865
T,monkeyT_session-y070215011-16_lfp-1,ami,47.0,0.04758975264543848
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,47.0,0.048251079341032066
